s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 9.800E+01, 2.145E+02, 3.997E+02, 5.217E+01
 9.900E+01, 2.397E+02, 3.737E+02, 5.142E+01
 1.000E+02, 2.629E+02, 3.483E+02, 5.076E+01
 1.010E+02, 2.846E+02, 3.237E+02, 5.018E+01
 1.020E+02, 3.049E+02, 2.998E+02, 4.965E+01
 1.030E+02, 3.243E+02, 2.768E+02, 4.919E+01
 1.040E+02, 3.425E+02, 2.549E+02, 4.876E+01
 1.050E+02, 3.592E+02, 2.340E+02, 4.835E+01
 1.060E+02, 3.752E+02, 2.143E+02, 4.795E+01
 1.070E+02, 3.899E+02, 1.958E+02, 4.755E+01
 1.080E+02, 4.031E+02, 1.786E+02, 4.714E+01
 1.090E+02, 4.151E+02, 1.628E+02, 4.673E+01
 1.100E+02, 4.258E+02, 1.483E+02, 4.631E+01
 1.110E+02, 4.356E+02, 1.352E+02, 4.589E+01
 1.120E+02, 4.445E+02, 1.234E+02, 4.547E+01
 1.130E+02, 4.525E+02, 1.128E+02, 4.506E+01
 1.140E+02, 4.596E+02, 1.034E+02, 4.465E+01
 1.150E+02, 4.659E+02, 9.507E+01, 4.426E+01
 1.160E+02, 4.717E+02, 8.783E+01, 4.389E+01
 1.170E+02, 4.772E+02, 8.141E+01, 4.351E+01
 1.180E+02, 4.824E+02, 7.577E+01, 4.314E+01
 1.190E+02, 4.872E+02, 7.088E+01, 4.276E+01
 1.200E+02, 4.917E+02, 6.660E+01, 4.240E+01
 1.210E+02, 4.961E+02, 6.281E+01, 4.204E+01
 1.220E+02, 5.004E+02, 5.951E+01, 4.169E+01
 1.230E+02, 5.047E+02, 5.666E+01, 4.137E+01
 1.240E+02, 5.090E+02, 5.413E+01, 4.107E+01
 1.250E+02, 5.132E+02, 5.192E+01, 4.079E+01
 1.260E+02, 5.172E+02, 5.001E+01, 4.052E+01
 1.270E+02, 5.212E+02, 4.834E+01, 4.025E+01
 1.280E+02, 5.251E+02, 4.688E+01, 3.994E+01
 1.290E+02, 5.288E+02, 4.563E+01, 3.959E+01
 1.300E+02, 5.324E+02, 4.455E+01, 3.921E+01
 1.310E+02, 5.357E+02, 4.359E+01, 3.880E+01
 1.320E+02, 5.388E+02, 4.275E+01, 3.837E+01
 1.330E+02, 5.417E+02, 4.201E+01, 3.795E+01
 1.340E+02, 5.444E+02, 4.135E+01, 3.753E+01
 1.350E+02, 5.467E+02, 4.075E+01, 3.715E+01
 1.360E+02, 5.489E+02, 4.022E+01, 3.679E+01
 1.370E+02, 5.506E+02, 3.974E+01, 3.645E+01
 1.380E+02, 5.520E+02, 3.930E+01, 3.612E+01
 1.390E+02, 5.530E+02, 3.890E+01, 3.579E+01
 1.400E+02, 5.538E+02, 3.855E+01, 3.546E+01
 1.410E+02, 5.541E+02, 3.822E+01, 3.512E+01
 1.420E+02, 5.541E+02, 3.792E+01, 3.477E+01
 1.430E+02, 5.537E+02, 3.764E+01, 3.441E+01
 1.440E+02, 5.529E+02, 3.738E+01, 3.404E+01
 1.450E+02, 5.518E+02, 3.713E+01, 3.366E+01
 1.460E+02, 5.502E+02, 3.690E+01, 3.327E+01
 1.470E+02, 5.482E+02, 3.667E+01, 3.287E+01
 1.480E+02, 5.458E+02, 3.644E+01, 3.246E+01
 1.490E+02, 5.429E+02, 3.620E+01, 3.204E+01
 1.500E+02, 5.395E+02, 3.596E+01, 3.161E+01
 1.510E+02, 5.357E+02, 3.572E+01, 3.118E+01
 1.520E+02, 5.314E+02, 3.548E+01, 3.075E+01
