s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-15","HRRPUA-20","HRRPUA-25","HRRPUA-35","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.342E+00
 1.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.696E+01
 1.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.002E+02
 1.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.555E+02
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.342E+00, 2.110E+02
 1.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.236E+01, 2.529E+02
 1.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.380E+01, 2.806E+02
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.245E+01, 2.919E+02
 2.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.342E+00, 1.235E+02, 2.895E+02
 2.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.432E+01, 1.541E+02, 2.718E+02
 2.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.555E+01, 1.799E+02, 2.499E+02
 2.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 6.262E+01, 1.987E+02, 2.266E+02
 2.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.085E+01, 2.116E+02, 2.025E+02
 2.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+02, 2.180E+02, 1.789E+02
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.201E+02, 2.184E+02, 1.566E+02
 3.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.369E+02, 2.118E+02, 1.360E+02
 3.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.507E+02, 2.007E+02, 1.168E+02
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.611E+02, 1.885E+02, 1.001E+02
 3.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.686E+02, 1.757E+02, 8.510E+01
 3.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.728E+02, 1.625E+02, 7.203E+01
 3.900E+01, 0.000E+00, 0.000E+00, 1.342E+00, 1.740E+02, 1.490E+02, 6.079E+01
 4.100E+01, 0.000E+00, 0.000E+00, 1.925E+01, 1.717E+02, 1.359E+02, 5.145E+01
 4.200E+01, 0.000E+00, 0.000E+00, 3.479E+01, 1.663E+02, 1.232E+02, 4.342E+01
 4.400E+01, 0.000E+00, 2.650E+01, 4.601E+01, 1.590E+02, 1.112E+02, 3.728E+01
 4.500E+01, 0.000E+00, 3.390E+01, 5.766E+01, 1.513E+02, 9.977E+01, 3.224E+01
 4.700E+01, 0.000E+00, 4.234E+01, 7.064E+01, 1.434E+02, 8.914E+01, 2.844E+01
 4.800E+01, 0.000E+00, 5.151E+01, 8.412E+01, 1.351E+02, 7.934E+01, 2.569E+01
 5.000E+01, 0.000E+00, 6.178E+01, 9.753E+01, 1.267E+02, 7.060E+01, 2.377E+01
 5.100E+01, 0.000E+00, 7.247E+01, 1.096E+02, 1.182E+02, 6.241E+01, 2.237E+01
 5.300E+01, 0.000E+00, 8.328E+01, 1.199E+02, 1.098E+02, 5.506E+01, 2.161E+01
 5.400E+01, 0.000E+00, 9.332E+01, 1.284E+02, 1.017E+02, 4.848E+01, 2.109E+01
 5.600E+01, 0.000E+00, 1.022E+02, 1.348E+02, 9.399E+01, 4.283E+01, 2.078E+01
 5.700E+01, 0.000E+00, 1.098E+02, 1.395E+02, 8.650E+01, 3.768E+01, 2.060E+01
 5.900E+01, 0.000E+00, 1.159E+02, 1.425E+02, 7.934E+01, 3.326E+01, 2.049E+01
 6.000E+01, 0.000E+00, 1.208E+02, 1.438E+02, 7.249E+01, 2.949E+01, 2.042E+01
