s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-35","HRRPUA-50"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 3.485E+00
 2.000E+01, 0.000E+00, 4.546E+00, 7.475E+01
 3.000E+01, 0.000E+00, 5.145E+01, 1.918E+02
 4.000E+01, 0.000E+00, 1.382E+02, 1.866E+02
 5.000E+01, 1.342E+01, 1.573E+02, 1.563E+02
 6.000E+01, 5.535E+01, 1.385E+02, 1.395E+02
 7.000E+01, 1.169E+02, 1.213E+02, 1.283E+02
 8.000E+01, 1.299E+02, 1.111E+02, 1.223E+02
 9.000E+01, 1.192E+02, 1.038E+02, 1.182E+02
 1.000E+02, 1.056E+02, 9.807E+01, 1.147E+02
 1.100E+02, 9.605E+01, 9.575E+01, 1.118E+02
 1.200E+02, 8.997E+01, 9.299E+01, 1.093E+02
 1.300E+02, 8.517E+01, 9.102E+01, 1.045E+02
 1.400E+02, 8.096E+01, 8.854E+01, 1.003E+02
 1.500E+02, 7.901E+01, 8.764E+01, 9.701E+01
 1.600E+02, 7.739E+01, 8.556E+01, 9.593E+01
 1.700E+02, 7.563E+01, 8.241E+01, 9.456E+01
 1.800E+02, 7.438E+01, 7.988E+01, 9.197E+01
 1.900E+02, 7.254E+01, 7.723E+01, 9.010E+01
 2.000E+02, 7.195E+01, 7.602E+01, 8.957E+01
 2.100E+02, 7.099E+01, 7.549E+01, 8.817E+01
 2.200E+02, 6.916E+01, 7.464E+01, 8.612E+01
 2.300E+02, 6.710E+01, 7.318E+01, 8.636E+01
 2.400E+02, 6.545E+01, 7.150E+01, 8.661E+01
 2.500E+02, 6.352E+01, 7.077E+01, 8.708E+01
 2.600E+02, 6.245E+01, 7.055E+01, 8.662E+01
 2.700E+02, 6.198E+01, 6.986E+01, 8.617E+01
 2.800E+02, 6.160E+01, 6.811E+01, 8.700E+01
 2.900E+02, 6.100E+01, 6.779E+01, 8.991E+01
 3.000E+02, 6.007E+01, 6.812E+01, 9.195E+01
 3.100E+02, 5.880E+01, 6.824E+01, 8.949E+01
 3.200E+02, 5.811E+01, 6.851E+01, 9.020E+01
 3.300E+02, 5.775E+01, 6.849E+01, 9.109E+01
 3.400E+02, 5.769E+01, 6.823E+01, 8.909E+01
 3.500E+02, 5.725E+01, 6.767E+01, 8.774E+01
 3.600E+02, 5.589E+01, 6.835E+01, 8.814E+01
 3.700E+02, 5.539E+01, 7.036E+01, 8.767E+01
 3.800E+02, 5.554E+01, 7.216E+01, 8.690E+01
 3.900E+02, 5.572E+01, 7.188E+01, 8.607E+01
 4.000E+02, 5.579E+01, 7.041E+01, 8.555E+01
 4.100E+02, 5.593E+01, 7.091E+01, 8.559E+01
 4.200E+02, 5.616E+01, 7.183E+01, 8.850E+01
 4.300E+02, 5.575E+01, 7.123E+01, 9.102E+01
 4.400E+02, 5.585E+01, 6.973E+01, 8.988E+01
 4.500E+02, 5.517E+01, 6.911E+01, 9.023E+01
 4.600E+02, 5.568E+01, 6.941E+01, 8.807E+01
 4.700E+02, 5.729E+01, 6.935E+01, 8.773E+01
 4.800E+02, 5.815E+01, 6.871E+01, 8.770E+01
 4.900E+02, 5.950E+01, 6.843E+01, 8.726E+01
 5.000E+02, 5.836E+01, 6.780E+01, 8.743E+01
 5.100E+02, 5.755E+01, 6.758E+01, 8.873E+01
 5.200E+02, 5.780E+01, 6.691E+01, 8.987E+01
 5.300E+02, 5.852E+01, 6.825E+01, 8.843E+01
 5.400E+02, 5.875E+01, 6.999E+01, 8.980E+01
 5.500E+02, 5.789E+01, 7.182E+01, 9.207E+01
 5.600E+02, 5.688E+01, 7.075E+01, 9.225E+01
 5.700E+02, 5.650E+01, 7.135E+01, 9.174E+01
 5.800E+02, 5.664E+01, 7.066E+01, 9.368E+01
 5.900E+02, 5.681E+01, 6.925E+01, 9.268E+01
 6.000E+02, 5.655E+01, 6.909E+01, 9.409E+01
 6.100E+02, 5.607E+01, 6.921E+01, 9.661E+01
 6.200E+02, 5.596E+01, 6.891E+01, 9.954E+01
 6.300E+02, 5.553E+01, 6.873E+01, 1.013E+02
 6.400E+02, 5.525E+01, 6.888E+01, 1.055E+02
 6.500E+02, 5.506E+01, 6.941E+01, 1.073E+02
