s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-35","HRRPUA-50","HRRPUA-65"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.992E+01
 3.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.260E+01
 4.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.300E+01
 4.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.353E+01
 4.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.315E+01
 4.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.211E+01
 4.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.108E+01
 5.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.005E+01
 5.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.899E+01
 5.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.793E+01
 5.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.687E+01
 5.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.607E+01
 5.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.531E+01
 6.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.514E+01
 6.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.533E+01
 6.500E+01, 0.000E+00, 0.000E+00, 1.251E+00, 3.591E+01
 6.700E+01, 0.000E+00, 0.000E+00, 6.464E+00, 3.789E+01
