s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-35","HRRPUA-50","HRRPUA-65"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.689E+01
 4.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.632E+02
 4.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.822E+02
 5.200E+01, 0.000E+00, 0.000E+00, 1.240E+02, 1.999E+02
 5.500E+01, 0.000E+00, 0.000E+00, 1.407E+02, 2.144E+02
 5.800E+01, 0.000E+00, 0.000E+00, 1.531E+02, 2.230E+02
 6.100E+01, 0.000E+00, 9.427E+01, 1.636E+02, 2.243E+02
 6.400E+01, 0.000E+00, 1.036E+02, 1.723E+02, 2.186E+02
 6.800E+01, 0.000E+00, 1.137E+02, 1.812E+02, 2.084E+02
 7.100E+01, 0.000E+00, 1.225E+02, 1.858E+02, 1.980E+02
 7.400E+01, 0.000E+00, 1.290E+02, 1.850E+02, 1.888E+02
 7.700E+01, 0.000E+00, 1.344E+02, 1.804E+02, 1.794E+02
 8.000E+01, 0.000E+00, 1.396E+02, 1.744E+02, 1.703E+02
 8.400E+01, 0.000E+00, 1.445E+02, 1.674E+02, 1.610E+02
 8.700E+01, 0.000E+00, 1.468E+02, 1.601E+02, 1.530E+02
 9.000E+01, 0.000E+00, 1.465E+02, 1.538E+02, 1.465E+02
 9.300E+01, 0.000E+00, 1.441E+02, 1.473E+02, 1.403E+02
 9.600E+01, 0.000E+00, 1.404E+02, 1.411E+02, 1.344E+02
 1.000E+02, 0.000E+00, 1.361E+02, 1.347E+02, 1.278E+02
 1.030E+02, 0.000E+00, 1.316E+02, 1.290E+02, 1.217E+02
 1.060E+02, 0.000E+00, 1.278E+02, 1.245E+02, 1.172E+02
 1.090E+02, 0.000E+00, 1.238E+02, 1.201E+02, 1.135E+02
 1.120E+02, 0.000E+00, 1.198E+02, 1.158E+02, 1.100E+02
