s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_7p25_020,HRRPUA-CONE_7p25_020,WALL TEMPERATURE-CONE_7p25_035,HRRPUA-CONE_7p25_035,WALL TEMPERATURE-CONE_7p25_050,HRRPUA-CONE_7p25_050,WALL TEMPERATURE-CONE_7p25_065,HRRPUA-CONE_7p25_065
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 2.000E+00, 4.450E+01, 0.000E+00, 5.762E+01, 0.000E+00, 7.075E+01, 0.000E+00, 8.387E+01, 0.000E+00
 4.000E+00, 7.599E+01, 0.000E+00, 1.125E+02, 0.000E+00, 1.487E+02, 0.000E+00, 1.845E+02, 0.000E+00
 6.000E+00, 9.847E+01, 0.000E+00, 1.513E+02, 0.000E+00, 2.031E+02, 0.000E+00, 2.540E+02, 0.000E+00
 8.000E+00, 1.136E+02, 0.000E+00, 1.772E+02, 0.000E+00, 2.390E+02, 0.000E+00, 2.989E+02, 0.000E+00
 1.000E+01, 1.257E+02, 0.000E+00, 1.976E+02, 0.000E+00, 2.670E+02, 0.000E+00, 3.334E+02, 0.000E+00
 1.200E+01, 1.358E+02, 0.000E+00, 2.145E+02, 0.000E+00, 2.898E+02, 0.000E+00, 3.611E+02, 0.000E+00
 1.400E+01, 1.446E+02, 0.000E+00, 2.290E+02, 0.000E+00, 3.090E+02, 0.000E+00, 3.840E+02, 0.000E+00
 1.600E+01, 1.525E+02, 0.000E+00, 2.418E+02, 0.000E+00, 3.257E+02, 0.000E+00, 4.034E+02, 0.000E+00
 1.800E+01, 1.596E+02, 0.000E+00, 2.533E+02, 0.000E+00, 3.404E+02, 0.000E+00, 4.203E+02, 0.000E+00
 2.000E+01, 1.662E+02, 0.000E+00, 2.636E+02, 0.000E+00, 3.535E+02, 0.000E+00, 4.352E+02, 2.500E+01
 2.200E+01, 1.723E+02, 0.000E+00, 2.732E+02, 0.000E+00, 3.654E+02, 0.000E+00, 4.485E+02, 3.384E+01
 2.400E+01, 1.780E+02, 0.000E+00, 2.820E+02, 0.000E+00, 3.763E+02, 0.000E+00, 4.604E+02, 4.240E+01
 2.600E+01, 1.834E+02, 0.000E+00, 2.902E+02, 0.000E+00, 3.862E+02, 0.000E+00, 4.712E+02, 5.091E+01
 2.800E+01, 1.885E+02, 0.000E+00, 2.979E+02, 0.000E+00, 3.955E+02, 0.000E+00, 4.812E+02, 6.055E+01
 3.000E+01, 1.933E+02, 0.000E+00, 3.051E+02, 0.000E+00, 4.040E+02, 0.000E+00, 4.903E+02, 7.337E+01
 3.200E+01, 1.979E+02, 0.000E+00, 3.119E+02, 0.000E+00, 4.121E+02, 0.000E+00, 4.987E+02, 8.651E+01
 3.400E+01, 2.024E+02, 0.000E+00, 3.184E+02, 0.000E+00, 4.196E+02, 0.000E+00, 5.066E+02, 9.966E+01
 3.600E+01, 2.066E+02, 0.000E+00, 3.246E+02, 0.000E+00, 4.267E+02, 0.000E+00, 5.139E+02, 1.128E+02
 3.800E+01, 2.107E+02, 0.000E+00, 3.305E+02, 0.000E+00, 4.334E+02, 1.502E+01, 5.209E+02, 1.259E+02
 4.000E+01, 2.147E+02, 0.000E+00, 3.362E+02, 0.000E+00, 4.398E+02, 2.443E+01, 5.274E+02, 1.370E+02
 4.200E+01, 2.186E+02, 0.000E+00, 3.416E+02, 0.000E+00, 4.459E+02, 3.348E+01, 5.336E+02, 1.473E+02
 4.400E+01, 2.223E+02, 0.000E+00, 3.468E+02, 0.000E+00, 4.517E+02, 4.233E+01, 5.394E+02, 1.576E+02
 4.600E+01, 2.260E+02, 0.000E+00, 3.518E+02, 0.000E+00, 4.572E+02, 5.102E+01, 5.450E+02, 1.678E+02
 4.800E+01, 2.296E+02, 0.000E+00, 3.567E+02, 0.000E+00, 4.626E+02, 5.956E+01, 5.503E+02, 1.779E+02
 5.000E+01, 2.330E+02, 0.000E+00, 3.614E+02, 0.000E+00, 4.677E+02, 6.799E+01, 5.554E+02, 1.881E+02
 5.200E+01, 2.364E+02, 0.000E+00, 3.660E+02, 0.000E+00, 4.726E+02, 7.676E+01, 5.603E+02, 1.956E+02
 5.400E+01, 2.398E+02, 0.000E+00, 3.704E+02, 0.000E+00, 4.773E+02, 8.593E+01, 5.650E+02, 1.993E+02
 5.600E+01, 2.430E+02, 0.000E+00, 3.747E+02, 0.000E+00, 4.819E+02, 9.505E+01, 5.695E+02, 2.021E+02
 5.800E+01, 2.462E+02, 0.000E+00, 3.789E+02, 0.000E+00, 4.864E+02, 1.038E+02, 5.738E+02, 2.043E+02
 6.000E+01, 2.493E+02, 0.000E+00, 3.830E+02, 0.000E+00, 4.906E+02, 1.118E+02, 5.780E+02, 2.063E+02
 6.200E+01, 2.524E+02, 0.000E+00, 3.869E+02, 0.000E+00, 4.948E+02, 1.198E+02, 5.820E+02, 2.077E+02
 6.400E+01, 2.554E+02, 0.000E+00, 3.908E+02, 0.000E+00, 4.988E+02, 1.277E+02, 5.859E+02, 2.070E+02
 6.600E+01, 2.584E+02, 0.000E+00, 3.945E+02, 0.000E+00, 5.027E+02, 1.357E+02, 5.896E+02, 2.061E+02
 6.800E+01, 2.613E+02, 0.000E+00, 3.982E+02, 0.000E+00, 5.064E+02, 1.433E+02, 5.932E+02, 2.052E+02
 7.000E+01, 2.641E+02, 0.000E+00, 4.018E+02, 0.000E+00, 5.101E+02, 1.482E+02, 5.967E+02, 2.043E+02
 7.200E+01, 2.669E+02, 0.000E+00, 4.053E+02, 0.000E+00, 5.137E+02, 1.525E+02, 6.001E+02, 2.034E+02
 7.400E+01, 2.697E+02, 0.000E+00, 4.087E+02, 8.521E+00, 5.171E+02, 1.560E+02, 6.034E+02, 2.026E+02
 7.600E+01, 2.724E+02, 0.000E+00, 4.120E+02, 1.331E+01, 5.205E+02, 1.584E+02, 6.066E+02, 2.016E+02
 7.800E+01, 2.751E+02, 0.000E+00, 4.152E+02, 1.793E+01, 5.237E+02, 1.607E+02, 6.097E+02, 2.007E+02
 8.000E+01, 2.777E+02, 0.000E+00, 4.184E+02, 2.245E+01, 5.269E+02, 1.629E+02, 6.127E+02, 1.998E+02
