s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-35","HRRPUA-50","HRRPUA-75","HRRPUA-100"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.556E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.414E+02
 1.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.323E+02
 1.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.744E+02
 1.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.902E+02
 1.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.879E+02
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.717E+02
 1.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 8.462E+02
 1.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.093E+02
 1.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.614E+02
 1.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.003E+03
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.032E+03
 2.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.556E+00, 1.052E+03
 2.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.101E+02, 1.062E+03
 2.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.535E+02, 1.065E+03
 2.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.494E+02, 1.062E+03
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.317E+02, 1.056E+03
 2.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 5.004E+02, 1.046E+03
 2.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 5.614E+02, 1.035E+03
 2.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 6.163E+02, 1.024E+03
 2.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 6.665E+02, 1.014E+03
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.109E+02, 1.002E+03
 3.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.496E+02, 9.877E+02
 3.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.826E+02, 9.724E+02
 3.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.101E+02, 9.528E+02
 3.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.308E+02, 9.294E+02
 3.500E+01, 0.000E+00, 0.000E+00, 1.799E+02, 8.464E+02, 9.009E+02
 3.600E+01, 0.000E+00, 0.000E+00, 2.303E+02, 8.564E+02, 8.650E+02
