s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-70"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 7.032E+00
 2.000E+01, 0.000E+00, 9.188E+00, 1.203E+02
 3.000E+01, 0.000E+00, 8.671E+01, 2.260E+02
 4.000E+01, 0.000E+00, 1.685E+02, 2.126E+02
 5.000E+01, 0.000E+00, 1.756E+02, 1.879E+02
 6.000E+01, 0.000E+00, 1.602E+02, 1.704E+02
 7.000E+01, 0.000E+00, 1.456E+02, 1.538E+02
 8.000E+01, 0.000E+00, 1.352E+02, 1.416E+02
 9.000E+01, 0.000E+00, 1.245E+02, 1.343E+02
 1.000E+02, 0.000E+00, 1.158E+02, 1.296E+02
 1.100E+02, 1.460E+01, 1.091E+02, 1.219E+02
 1.200E+02, 5.237E+01, 1.049E+02, 1.161E+02
 1.300E+02, 9.058E+01, 1.024E+02, 1.148E+02
 1.400E+02, 1.160E+02, 9.813E+01, 1.127E+02
 1.500E+02, 1.142E+02, 9.343E+01, 1.088E+02
 1.600E+02, 1.082E+02, 9.042E+01, 1.066E+02
 1.700E+02, 1.013E+02, 8.987E+01, 1.065E+02
 1.800E+02, 9.507E+01, 8.873E+01, 1.052E+02
 1.900E+02, 9.042E+01, 8.690E+01, 1.024E+02
 2.000E+02, 8.636E+01, 8.429E+01, 9.828E+01
 2.100E+02, 8.172E+01, 8.322E+01, 9.660E+01
 2.200E+02, 7.773E+01, 8.323E+01, 9.577E+01
 2.300E+02, 7.431E+01, 8.288E+01, 9.491E+01
 2.400E+02, 7.136E+01, 8.160E+01, 9.434E+01
 2.500E+02, 6.908E+01, 7.964E+01, 9.387E+01
 2.600E+02, 6.744E+01, 7.697E+01, 9.312E+01
 2.700E+02, 6.657E+01, 7.562E+01, 9.155E+01
 2.800E+02, 6.529E+01, 7.517E+01, 9.083E+01
 2.900E+02, 6.343E+01, 7.461E+01, 8.998E+01
 3.000E+02, 6.139E+01, 7.410E+01, 8.942E+01
 3.100E+02, 5.956E+01, 7.375E+01, 9.018E+01
 3.200E+02, 5.819E+01, 7.346E+01, 9.189E+01
 3.300E+02, 5.787E+01, 7.318E+01, 9.303E+01
 3.400E+02, 5.767E+01, 7.256E+01, 9.318E+01
 3.500E+02, 5.720E+01, 7.156E+01, 9.314E+01
 3.600E+02, 5.663E+01, 7.104E+01, 9.492E+01
 3.700E+02, 5.581E+01, 7.065E+01, 9.573E+01
 3.800E+02, 5.456E+01, 7.009E+01, 9.569E+01
 3.900E+02, 5.380E+01, 6.982E+01, 9.546E+01
 4.000E+02, 5.341E+01, 7.023E+01, 9.402E+01
 4.100E+02, 5.342E+01, 7.126E+01, 9.213E+01
 4.200E+02, 5.342E+01, 7.222E+01, 9.227E+01
 4.300E+02, 5.331E+01, 7.273E+01, 9.237E+01
 4.400E+02, 5.283E+01, 7.278E+01, 9.235E+01
 4.500E+02, 5.225E+01, 7.261E+01, 9.147E+01
 4.600E+02, 5.153E+01, 7.338E+01, 9.005E+01
 4.700E+02, 5.030E+01, 7.453E+01, 8.875E+01
 4.800E+02, 4.931E+01, 7.473E+01, 8.711E+01
 4.900E+02, 4.866E+01, 7.473E+01, 8.607E+01
 5.000E+02, 4.844E+01, 7.470E+01, 8.376E+01
 5.100E+02, 4.826E+01, 7.429E+01, 8.217E+01
 5.200E+02, 4.803E+01, 7.302E+01, 8.263E+01
 5.300E+02, 4.779E+01, 7.192E+01, 8.421E+01
 5.400E+02, 4.758E+01, 7.198E+01, 8.465E+01
 5.500E+02, 4.743E+01, 7.215E+01, 8.391E+01
 5.600E+02, 4.730E+01, 7.211E+01, 8.399E+01
 5.700E+02, 4.719E+01, 7.213E+01, 8.392E+01
 5.800E+02, 4.706E+01, 7.156E+01, 8.301E+01
