s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_28p00_020","HRRPUA-CONE_28p00_020","WALL TEMPERATURE-CONE_28p00_025","HRRPUA-CONE_28p00_025","WALL TEMPERATURE-CONE_28p00_035","HRRPUA-CONE_28p00_035","WALL TEMPERATURE-CONE_28p00_050","HRRPUA-CONE_28p00_050","WALL TEMPERATURE-CONE_28p00_075","HRRPUA-CONE_28p00_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.672E+02, 0.000E+00, 1.996E+02, 0.000E+00, 2.607E+02, 0.000E+00, 3.431E+02, 0.000E+00, 4.595E+02, 0.000E+00
 2.000E+01, 2.731E+02, 0.000E+00, 3.232E+02, 0.000E+00, 4.107E+02, 0.000E+00, 5.166E+02, 0.000E+00, 6.486E+02, 1.069E+02
 3.000E+01, 3.134E+02, 0.000E+00, 3.661E+02, 0.000E+00, 4.544E+02, 0.000E+00, 5.576E+02, 6.674E+00, 6.833E+02, 3.637E+02
 4.000E+01, 3.369E+02, 0.000E+00, 3.900E+02, 0.000E+00, 4.769E+02, 0.000E+00, 5.775E+02, 1.323E+02, 6.996E+02, 3.947E+02
 5.000E+01, 3.523E+02, 0.000E+00, 4.052E+02, 0.000E+00, 4.907E+02, 0.000E+00, 5.895E+02, 2.655E+02, 7.093E+02, 3.267E+02
 6.000E+01, 3.633E+02, 0.000E+00, 4.157E+02, 0.000E+00, 5.002E+02, 3.149E+01, 5.976E+02, 2.967E+02, 7.159E+02, 2.725E+02
 7.000E+01, 3.716E+02, 0.000E+00, 4.237E+02, 0.000E+00, 5.073E+02, 1.578E+02, 6.037E+02, 2.752E+02, 7.210E+02, 2.284E+02
 8.000E+01, 3.783E+02, 0.000E+00, 4.302E+02, 0.000E+00, 5.131E+02, 2.249E+02, 6.087E+02, 2.473E+02, 7.251E+02, 1.904E+02
 9.000E+01, 3.840E+02, 0.000E+00, 4.355E+02, 0.000E+00, 5.179E+02, 2.486E+02, 6.129E+02, 2.237E+02, 7.286E+02, 1.824E+02
