s,kW/m2,kW/m2
Time,"HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00
 1.300E+01, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00
 2.600E+01, 0.000E+00, 0.000E+00
 3.200E+01, 0.000E+00, 0.000E+00
 3.900E+01, 0.000E+00, 0.000E+00
 4.500E+01, 0.000E+00, 7.762E+01
 5.200E+01, 0.000E+00, 1.762E+02
 5.800E+01, 1.101E+01, 1.750E+02
 6.400E+01, 1.166E+02, 1.736E+02
 7.100E+01, 1.307E+02, 1.721E+02
 7.700E+01, 1.301E+02, 1.706E+02
 8.400E+01, 1.294E+02, 1.691E+02
 9.000E+01, 1.286E+02, 1.676E+02
 9.600E+01, 1.279E+02, 1.662E+02
 1.030E+02, 1.271E+02, 1.657E+02
 1.090E+02, 1.263E+02, 1.655E+02
 1.160E+02, 1.254E+02, 1.652E+02
 1.220E+02, 1.245E+02, 1.650E+02
 1.280E+02, 1.237E+02, 1.648E+02
 1.350E+02, 1.233E+02, 1.656E+02
 1.410E+02, 1.231E+02, 1.667E+02
 1.480E+02, 1.230E+02, 1.678E+02
 1.540E+02, 1.229E+02, 1.681E+02
 1.600E+02, 1.227E+02, 1.677E+02
 1.670E+02, 1.226E+02, 1.673E+02
 1.730E+02, 1.225E+02, 1.668E+02
 1.800E+02, 1.230E+02, 1.663E+02
 1.860E+02, 1.235E+02, 1.659E+02
 1.920E+02, 1.241E+02, 1.654E+02
 1.990E+02, 1.247E+02, 1.650E+02
 2.050E+02, 1.250E+02, 1.635E+02
 2.120E+02, 1.248E+02, 1.585E+02
 2.180E+02, 1.246E+02, 1.533E+02
 2.240E+02, 1.243E+02, 1.485E+02
 2.310E+02, 1.241E+02, 1.433E+02
 2.370E+02, 1.238E+02, 1.381E+02
 2.440E+02, 1.236E+02, 1.329E+02
 2.500E+02, 1.233E+02, 1.277E+02
 2.560E+02, 1.231E+02, 1.229E+02
 2.630E+02, 1.228E+02, 1.177E+02
 2.690E+02, 1.226E+02, 1.124E+02
 2.760E+02, 1.217E+02, 1.072E+02
 2.820E+02, 1.190E+02, 1.020E+02
 2.880E+02, 1.164E+02, 9.720E+01
 2.950E+02, 1.135E+02, 9.155E+01
