s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-35","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.800E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.900E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.300E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.700E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.900E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.100E+01, 0.000E+00, 0.000E+00, 1.145E+02
 3.300E+01, 0.000E+00, 0.000E+00, 2.579E+02
 3.500E+01, 0.000E+00, 0.000E+00, 2.895E+02
 3.700E+01, 0.000E+00, 0.000E+00, 3.080E+02
 3.800E+01, 0.000E+00, 0.000E+00, 3.135E+02
 4.000E+01, 0.000E+00, 0.000E+00, 3.106E+02
 4.200E+01, 0.000E+00, 0.000E+00, 3.002E+02
 4.400E+01, 0.000E+00, 0.000E+00, 2.897E+02
 4.600E+01, 0.000E+00, 0.000E+00, 2.801E+02
 4.800E+01, 0.000E+00, 0.000E+00, 2.715E+02
 5.000E+01, 0.000E+00, 0.000E+00, 2.639E+02
 5.200E+01, 0.000E+00, 0.000E+00, 2.570E+02
 5.400E+01, 0.000E+00, 0.000E+00, 2.518E+02
 5.600E+01, 0.000E+00, 0.000E+00, 2.487E+02
 5.700E+01, 0.000E+00, 0.000E+00, 2.476E+02
 5.900E+01, 0.000E+00, 0.000E+00, 2.476E+02
 6.100E+01, 0.000E+00, 0.000E+00, 2.479E+02
 6.300E+01, 0.000E+00, 0.000E+00, 2.482E+02
 6.500E+01, 0.000E+00, 0.000E+00, 2.483E+02
 6.700E+01, 0.000E+00, 0.000E+00, 2.484E+02
 6.900E+01, 0.000E+00, 0.000E+00, 2.485E+02
 7.100E+01, 0.000E+00, 0.000E+00, 2.484E+02
 7.300E+01, 0.000E+00, 0.000E+00, 2.481E+02
 7.500E+01, 0.000E+00, 0.000E+00, 2.476E+02
 7.600E+01, 0.000E+00, 0.000E+00, 2.470E+02
 7.800E+01, 0.000E+00, 0.000E+00, 2.464E+02
 8.000E+01, 0.000E+00, 0.000E+00, 2.456E+02
 8.200E+01, 0.000E+00, 4.229E+01, 2.448E+02
 8.400E+01, 0.000E+00, 1.650E+02, 2.441E+02
 8.600E+01, 0.000E+00, 1.984E+02, 2.434E+02
 8.800E+01, 0.000E+00, 2.162E+02, 2.427E+02
 9.000E+01, 0.000E+00, 2.277E+02, 2.421E+02
 9.200E+01, 0.000E+00, 2.336E+02, 2.417E+02
 9.400E+01, 0.000E+00, 2.339E+02, 2.414E+02
 9.500E+01, 0.000E+00, 2.307E+02, 2.412E+02
 9.700E+01, 0.000E+00, 2.260E+02, 2.411E+02
 9.900E+01, 0.000E+00, 2.199E+02, 2.410E+02
 1.010E+02, 0.000E+00, 2.142E+02, 2.409E+02
 1.030E+02, 0.000E+00, 2.089E+02, 2.410E+02
 1.050E+02, 0.000E+00, 2.041E+02, 2.411E+02
 1.070E+02, 0.000E+00, 1.997E+02, 2.413E+02
 1.090E+02, 0.000E+00, 1.957E+02, 2.414E+02
 1.110E+02, 0.000E+00, 1.919E+02, 2.416E+02
 1.130E+02, 0.000E+00, 1.890E+02, 2.419E+02
 1.140E+02, 0.000E+00, 1.873E+02, 2.421E+02
 1.160E+02, 0.000E+00, 1.862E+02, 2.423E+02
 1.180E+02, 0.000E+00, 1.854E+02, 2.426E+02
 1.200E+02, 0.000E+00, 1.853E+02, 2.431E+02
 1.220E+02, 0.000E+00, 1.855E+02, 2.436E+02
 1.240E+02, 0.000E+00, 1.856E+02, 2.440E+02
 1.260E+02, 0.000E+00, 1.857E+02, 2.443E+02
 1.280E+02, 0.000E+00, 1.858E+02, 2.444E+02
 1.300E+02, 0.000E+00, 1.859E+02, 2.443E+02
 1.320E+02, 0.000E+00, 1.859E+02, 2.440E+02
 1.330E+02, 0.000E+00, 1.859E+02, 2.438E+02
 1.350E+02, 0.000E+00, 1.859E+02, 2.436E+02
 1.370E+02, 0.000E+00, 1.858E+02, 2.433E+02
 1.390E+02, 0.000E+00, 1.856E+02, 2.430E+02
 1.410E+02, 0.000E+00, 1.853E+02, 2.426E+02
 1.430E+02, 0.000E+00, 1.849E+02, 2.422E+02
 1.450E+02, 0.000E+00, 1.844E+02, 2.418E+02
 1.470E+02, 1.240E+01, 1.840E+02, 2.415E+02
 1.490E+02, 8.055E+01, 1.835E+02, 2.411E+02
 1.510E+02, 1.427E+02, 1.831E+02, 2.407E+02
 1.520E+02, 1.553E+02, 1.828E+02, 2.403E+02
 1.540E+02, 1.645E+02, 1.825E+02, 2.398E+02
 1.560E+02, 1.742E+02, 1.821E+02, 2.391E+02
 1.580E+02, 1.812E+02, 1.817E+02, 2.382E+02
 1.600E+02, 1.853E+02, 1.813E+02, 2.372E+02
 1.620E+02, 1.866E+02, 1.810E+02, 2.361E+02
 1.640E+02, 1.848E+02, 1.808E+02, 2.347E+02
 1.660E+02, 1.810E+02, 1.806E+02, 2.331E+02
 1.680E+02, 1.771E+02, 1.805E+02, 2.315E+02
 1.700E+02, 1.733E+02, 1.804E+02, 2.299E+02
 1.710E+02, 1.706E+02, 1.803E+02, 2.288E+02
 1.730E+02, 1.681E+02, 1.803E+02, 2.278E+02
