s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.300E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.700E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.900E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+01, 0.000E+00, 0.000E+00, 6.301E+00
 2.300E+01, 0.000E+00, 0.000E+00, 8.515E+01
 2.400E+01, 0.000E+00, 0.000E+00, 1.354E+02
 2.600E+01, 0.000E+00, 0.000E+00, 1.500E+02
 2.700E+01, 0.000E+00, 0.000E+00, 1.580E+02
 2.800E+01, 0.000E+00, 0.000E+00, 1.606E+02
 3.000E+01, 0.000E+00, 0.000E+00, 1.613E+02
 3.100E+01, 0.000E+00, 0.000E+00, 1.593E+02
 3.300E+01, 0.000E+00, 0.000E+00, 1.550E+02
 3.400E+01, 0.000E+00, 0.000E+00, 1.500E+02
 3.500E+01, 0.000E+00, 0.000E+00, 1.464E+02
 3.700E+01, 0.000E+00, 0.000E+00, 1.417E+02
 3.800E+01, 0.000E+00, 0.000E+00, 1.381E+02
 4.000E+01, 0.000E+00, 0.000E+00, 1.361E+02
 4.100E+01, 0.000E+00, 0.000E+00, 1.354E+02
 4.200E+01, 0.000E+00, 0.000E+00, 1.358E+02
 4.400E+01, 0.000E+00, 0.000E+00, 1.373E+02
 4.500E+01, 0.000E+00, 0.000E+00, 1.395E+02
 4.700E+01, 0.000E+00, 0.000E+00, 1.423E+02
 4.800E+01, 0.000E+00, 0.000E+00, 1.453E+02
 4.900E+01, 0.000E+00, 9.222E+01, 1.474E+02
 5.100E+01, 0.000E+00, 1.010E+02, 1.502E+02
 5.200E+01, 0.000E+00, 1.084E+02, 1.527E+02
 5.400E+01, 0.000E+00, 1.137E+02, 1.545E+02
 5.500E+01, 0.000E+00, 1.176E+02, 1.560E+02
 5.600E+01, 0.000E+00, 1.192E+02, 1.566E+02
 5.800E+01, 0.000E+00, 1.201E+02, 1.574E+02
 5.900E+01, 0.000E+00, 1.200E+02, 1.582E+02
 6.100E+01, 0.000E+00, 1.185E+02, 1.592E+02
 6.200E+01, 0.000E+00, 1.163E+02, 1.608E+02
 6.300E+01, 0.000E+00, 1.146E+02, 1.623E+02
 6.500E+01, 0.000E+00, 1.116E+02, 1.651E+02
 6.600E+01, 0.000E+00, 1.086E+02, 1.683E+02
 6.800E+01, 0.000E+00, 1.060E+02, 1.721E+02
 6.900E+01, 0.000E+00, 1.038E+02, 1.760E+02
 7.000E+01, 0.000E+00, 1.027E+02, 1.785E+02
 7.200E+01, 0.000E+00, 1.016E+02, 1.822E+02
 7.300E+01, 0.000E+00, 1.010E+02, 1.858E+02
 7.500E+01, 0.000E+00, 1.010E+02, 1.892E+02
 7.600E+01, 0.000E+00, 1.016E+02, 1.924E+02
 7.700E+01, 0.000E+00, 1.022E+02, 1.946E+02
 7.900E+01, 0.000E+00, 1.034E+02, 1.977E+02
 8.000E+01, 0.000E+00, 1.048E+02, 2.007E+02
 8.200E+01, 0.000E+00, 1.064E+02, 2.038E+02
 8.300E+01, 0.000E+00, 1.081E+02, 2.067E+02
 8.400E+01, 0.000E+00, 1.093E+02, 2.085E+02
 8.600E+01, 0.000E+00, 1.109E+02, 2.110E+02
 8.700E+01, 0.000E+00, 1.124E+02, 2.133E+02
 8.900E+01, 0.000E+00, 1.138E+02, 2.150E+02
 9.000E+01, 0.000E+00, 1.149E+02, 2.165E+02
 9.100E+01, 0.000E+00, 1.155E+02, 2.174E+02
 9.300E+01, 0.000E+00, 1.162E+02, 2.187E+02
 9.400E+01, 0.000E+00, 1.168E+02, 2.202E+02
 9.600E+01, 0.000E+00, 1.172E+02, 2.219E+02
 9.700E+01, 0.000E+00, 1.176E+02, 2.235E+02
 9.800E+01, 0.000E+00, 1.179E+02, 2.246E+02
 1.000E+02, 0.000E+00, 1.185E+02, 2.256E+02
 1.010E+02, 0.000E+00, 1.192E+02, 2.262E+02
 1.030E+02, 0.000E+00, 1.203E+02, 2.259E+02
 1.040E+02, 0.000E+00, 1.216E+02, 2.251E+02
 1.050E+02, 0.000E+00, 1.226E+02, 2.245E+02
 1.070E+02, 0.000E+00, 1.244E+02, 2.237E+02
 1.080E+02, 0.000E+00, 1.263E+02, 2.231E+02
 1.100E+02, 0.000E+00, 1.284E+02, 2.229E+02
 1.110E+02, 0.000E+00, 1.306E+02, 2.230E+02
 1.120E+02, 0.000E+00, 1.320E+02, 2.233E+02
 1.140E+02, 0.000E+00, 1.341E+02, 2.238E+02
 1.150E+02, 0.000E+00, 1.361E+02, 2.245E+02
 1.170E+02, 0.000E+00, 1.381E+02, 2.252E+02
 1.180E+02, 0.000E+00, 1.400E+02, 2.258E+02
 1.190E+02, 0.000E+00, 1.412E+02, 2.262E+02
 1.210E+02, 0.000E+00, 1.430E+02, 2.268E+02
 1.220E+02, 0.000E+00, 1.448E+02, 2.273E+02
 1.240E+02, 0.000E+00, 1.465E+02, 2.279E+02
 1.250E+02, 0.000E+00, 1.482E+02, 2.283E+02
 1.260E+02, 0.000E+00, 1.493E+02, 2.286E+02
 1.280E+02, 0.000E+00, 1.510E+02, 2.288E+02
 1.290E+02, 0.000E+00, 1.526E+02, 2.288E+02
 1.310E+02, 0.000E+00, 1.542E+02, 2.285E+02
