s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_4p00_025","HRRPUA-CONE_4p00_025","WALL TEMPERATURE-CONE_4p00_035","HRRPUA-CONE_4p00_035","WALL TEMPERATURE-CONE_4p00_050","HRRPUA-CONE_4p00_050","WALL TEMPERATURE-CONE_4p00_075","HRRPUA-CONE_4p00_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 9.091E+01, 0.000E+00, 1.162E+02, 0.000E+00, 1.539E+02, 0.000E+00, 2.155E+02, 0.000E+00
 2.000E+01, 1.511E+02, 0.000E+00, 1.992E+02, 0.000E+00, 2.692E+02, 0.000E+00, 3.791E+02, 0.000E+00
 3.000E+01, 1.854E+02, 0.000E+00, 2.452E+02, 0.000E+00, 3.302E+02, 0.000E+00, 4.577E+02, 0.000E+00
 4.000E+01, 2.141E+02, 0.000E+00, 2.828E+02, 0.000E+00, 3.780E+02, 0.000E+00, 5.149E+02, 1.223E+01
 5.000E+01, 2.400E+02, 0.000E+00, 3.159E+02, 0.000E+00, 4.184E+02, 0.000E+00, 5.603E+02, 6.193E+01
 6.000E+01, 2.638E+02, 0.000E+00, 3.454E+02, 0.000E+00, 4.530E+02, 0.000E+00, 5.969E+02, 9.276E+01
 7.000E+01, 2.856E+02, 0.000E+00, 3.718E+02, 0.000E+00, 4.826E+02, 0.000E+00, 6.265E+02, 9.518E+01
 8.000E+01, 3.056E+02, 0.000E+00, 3.952E+02, 0.000E+00, 5.078E+02, 2.428E-01, 6.506E+02, 9.239E+01
 9.000E+01, 3.239E+02, 0.000E+00, 4.160E+02, 0.000E+00, 5.294E+02, 1.372E+01, 6.702E+02, 9.087E+01
 1.000E+02, 3.406E+02, 0.000E+00, 4.344E+02, 0.000E+00, 5.477E+02, 3.281E+01, 6.863E+02, 9.538E+01
 1.100E+02, 3.557E+02, 0.000E+00, 4.506E+02, 0.000E+00, 5.633E+02, 4.284E+01, 6.994E+02, 1.028E+02
 1.200E+02, 3.695E+02, 0.000E+00, 4.648E+02, 0.000E+00, 5.766E+02, 5.249E+01, 7.101E+02, 1.108E+02
 1.300E+02, 3.819E+02, 0.000E+00, 4.773E+02, 0.000E+00, 5.878E+02, 6.096E+01, 7.190E+02, 1.203E+02
