s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_32p00_015","HRRPUA-CONE_32p00_015","WALL TEMPERATURE-CONE_32p00_020","HRRPUA-CONE_32p00_020","WALL TEMPERATURE-CONE_32p00_025","HRRPUA-CONE_32p00_025","WALL TEMPERATURE-CONE_32p00_035","HRRPUA-CONE_32p00_035","WALL TEMPERATURE-CONE_32p00_050","HRRPUA-CONE_32p00_050","WALL TEMPERATURE-CONE_32p00_075","HRRPUA-CONE_32p00_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.475E+02, 0.000E+00, 1.850E+02, 0.000E+00, 2.210E+02, 0.000E+00, 2.881E+02, 0.000E+00, 3.774E+02, 4.436E+01, 5.013E+02, 6.294E+01
 2.000E+01, 2.364E+02, 0.000E+00, 2.940E+02, 0.000E+00, 3.459E+02, 4.118E+01, 4.346E+02, 3.223E+01, 5.396E+02, 1.267E+02, 6.686E+02, 2.038E+02
 3.000E+01, 2.709E+02, 0.000E+00, 3.321E+02, 0.000E+00, 3.853E+02, 6.440E+01, 4.729E+02, 7.551E+01, 5.740E+02, 1.844E+02, 6.971E+02, 3.449E+02
 4.000E+01, 2.915E+02, 0.000E+00, 3.536E+02, 0.000E+00, 4.065E+02, 2.413E+01, 4.924E+02, 1.014E+02, 5.909E+02, 2.507E+02, 7.109E+02, 2.564E+02
 5.000E+01, 3.052E+02, 0.000E+00, 3.673E+02, 0.000E+00, 4.197E+02, 1.753E+01, 5.042E+02, 1.309E+02, 6.009E+02, 1.864E+02, 7.190E+02, 1.572E+02
 6.000E+01, 3.150E+02, 0.000E+00, 3.769E+02, 0.000E+00, 4.289E+02, 2.495E+01, 5.122E+02, 1.756E+02, 6.077E+02, 1.251E+02, 7.246E+02, 1.264E+02
 7.000E+01, 3.225E+02, 0.000E+00, 3.842E+02, 2.967E+01, 4.358E+02, 5.432E+01, 5.183E+02, 1.252E+02, 6.130E+02, 9.603E+01, 7.290E+02, 1.042E+02
 8.000E+01, 3.286E+02, 0.000E+00, 3.901E+02, 5.242E+01, 4.413E+02, 9.867E+01, 5.232E+02, 8.307E+01, 6.172E+02, 8.073E+01, 7.325E+02, 9.323E+01
 9.000E+01, 3.337E+02, 0.000E+00, 3.950E+02, 3.376E+01, 4.459E+02, 2.849E+01, 5.274E+02, 5.453E+01, 6.208E+02, 7.453E+01, 7.355E+02, 8.360E+01
 1.000E+02, 3.381E+02, 0.000E+00, 3.992E+02, 3.107E+01, 4.499E+02, 1.465E+01, 5.309E+02, 4.209E+01, 6.238E+02, 7.155E+01, 7.381E+02, 7.221E+01
 1.100E+02, 3.420E+02, 0.000E+00, 4.029E+02, 3.769E+01, 4.534E+02, 1.322E+01, 5.340E+02, 3.506E+01, 6.266E+02, 6.964E+01, 7.404E+02, 6.172E+01
 1.200E+02, 3.455E+02, 0.000E+00, 4.062E+02, 3.384E+01, 4.565E+02, 1.204E+01, 5.368E+02, 2.972E+01, 6.290E+02, 6.727E+01, 7.424E+02, 5.682E+01
 1.300E+02, 3.486E+02, 1.122E+01, 4.092E+02, 2.893E+01, 4.593E+02, 1.139E+01, 5.393E+02, 2.493E+01, 6.312E+02, 6.245E+01, 7.443E+02, 5.322E+01
 1.400E+02, 3.515E+02, 5.553E+01, 4.119E+02, 2.496E+01, 4.619E+02, 1.083E+01, 5.416E+02, 2.354E+01, 6.332E+02, 5.752E+01, 7.459E+02, 5.302E+01
 1.500E+02, 3.541E+02, 2.836E+01, 4.143E+02, 2.181E+01, 4.642E+02, 1.058E+01, 5.437E+02, 2.443E+01, 6.350E+02, 5.254E+01, 7.475E+02, 5.315E+01
 1.600E+02, 3.565E+02, 9.457E+00, 4.166E+02, 1.990E+01, 4.663E+02, 1.045E+01, 5.456E+02, 2.534E+01, 6.366E+02, 4.753E+01, 7.488E+02, 5.592E+01
 1.700E+02, 3.587E+02, 4.584E+00, 4.187E+02, 1.907E+01, 4.683E+02, 1.031E+01, 5.473E+02, 2.602E+01, 6.381E+02, 4.250E+01, 7.501E+02, 6.115E+01
 1.800E+02, 3.607E+02, 3.087E+00, 4.206E+02, 1.796E+01, 4.701E+02, 1.020E+01, 5.489E+02, 2.573E+01, 6.395E+02, 3.956E+01, 7.513E+02, 7.158E+01
 1.900E+02, 3.626E+02, 2.959E+00, 4.224E+02, 1.634E+01, 4.717E+02, 1.025E+01, 5.504E+02, 2.517E+01, 6.408E+02, 3.902E+01, 7.524E+02, 8.502E+01
 2.000E+02, 3.644E+02, 3.190E+00, 4.240E+02, 1.439E+01, 4.733E+02, 1.048E+01, 5.517E+02, 2.381E+01, 6.420E+02, 3.864E+01, 7.534E+02, 9.908E+01
 2.100E+02, 3.660E+02, 3.017E+00, 4.255E+02, 1.247E+01, 4.747E+02, 1.062E+01, 5.530E+02, 2.196E+01, 6.430E+02, 3.840E+01, 7.543E+02, 1.202E+02
 2.200E+02, 3.675E+02, 2.740E+00, 4.270E+02, 1.098E+01, 4.760E+02, 1.061E+01, 5.541E+02, 2.015E+01, 6.440E+02, 3.977E+01, 7.551E+02, 1.421E+02
 2.300E+02, 3.689E+02, 2.462E+00, 4.283E+02, 9.781E+00, 4.772E+02, 1.060E+01, 5.552E+02, 1.880E+01, 6.450E+02, 4.311E+01, 7.559E+02, 1.669E+02
 2.400E+02, 3.703E+02, 2.184E+00, 4.295E+02, 8.615E+00, 4.783E+02, 1.058E+01, 5.562E+02, 1.758E+01, 6.458E+02, 4.665E+01, 7.566E+02, 1.921E+02
 2.500E+02, 3.715E+02, 1.905E+00, 4.306E+02, 7.733E+00, 4.794E+02, 1.057E+01, 5.571E+02, 1.645E+01, 6.466E+02, 5.241E+01, 7.572E+02, 2.161E+02
