s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-35","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.415E+01
 3.000E+01, 0.000E+00, 0.000E+00, 2.399E+00, 1.947E+02
 4.000E+01, 0.000E+00, 0.000E+00, 4.218E+01, 4.449E+02
 5.000E+01, 0.000E+00, 0.000E+00, 1.243E+02, 6.173E+02
 6.000E+01, 0.000E+00, 0.000E+00, 2.741E+02, 6.261E+02
 7.000E+01, 0.000E+00, 0.000E+00, 3.999E+02, 5.867E+02
 8.000E+01, 0.000E+00, 1.584E+01, 4.793E+02, 5.508E+02
 9.000E+01, 0.000E+00, 5.162E+01, 4.763E+02, 5.316E+02
 1.000E+02, 0.000E+00, 1.216E+02, 4.554E+02, 5.348E+02
 1.100E+02, 0.000E+00, 2.214E+02, 4.314E+02, 5.648E+02
 1.200E+02, 0.000E+00, 3.042E+02, 4.129E+02, 6.254E+02
 1.300E+02, 0.000E+00, 3.736E+02, 4.032E+02, 7.047E+02
 1.400E+02, 0.000E+00, 3.866E+02, 4.018E+02, 7.445E+02
 1.500E+02, 0.000E+00, 3.813E+02, 4.116E+02, 6.678E+02
 1.600E+02, 0.000E+00, 3.658E+02, 4.356E+02, 5.787E+02
 1.700E+02, 0.000E+00, 3.498E+02, 4.715E+02, 5.323E+02
 1.800E+02, 0.000E+00, 3.372E+02, 5.190E+02, 5.177E+02
 1.900E+02, 0.000E+00, 3.275E+02, 5.585E+02, 5.015E+02
 2.000E+02, 0.000E+00, 3.228E+02, 5.573E+02, 4.770E+02
 2.100E+02, 0.000E+00, 3.232E+02, 5.059E+02, 4.567E+02
 2.200E+02, 0.000E+00, 3.290E+02, 4.527E+02, 4.432E+02
 2.300E+02, 0.000E+00, 3.425E+02, 4.153E+02, 4.252E+02
 2.400E+02, 6.771E+00, 3.611E+02, 3.975E+02, 4.077E+02
 2.500E+02, 3.112E+01, 3.893E+02, 3.921E+02, 3.933E+02
