s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-35","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 1.019E+00, 1.559E+00, 2.565E+00, 4.757E+00
 2.000E+01, 4.703E+00, 7.056E+00, 1.233E+01, 4.387E+01
 3.000E+01, 9.661E+00, 2.526E+01, 7.146E+01, 1.666E+02
 4.000E+01, 3.743E+01, 7.785E+01, 1.341E+02, 1.487E+02
 5.000E+01, 7.417E+01, 1.078E+02, 1.165E+02, 5.520E+01
 6.000E+01, 8.852E+01, 9.450E+01, 6.737E+01, 1.785E+01
 7.000E+01, 7.901E+01, 6.881E+01, 2.056E+01, 1.106E+01
 8.000E+01, 6.544E+01, 3.084E+01, 1.214E+01, 8.820E+00
 9.000E+01, 4.045E+01, 1.332E+01, 8.608E+00, 8.858E+00
 1.000E+02, 1.689E+01, 9.322E+00, 6.829E+00, 9.857E+00
 1.100E+02, 1.042E+01, 7.105E+00, 6.385E+00, 2.014E+00
 1.200E+02, 7.700E+00, 5.716E+00, 6.655E+00, 0.000E+00
 1.300E+02, 6.080E+00, 5.207E+00, 7.199E+00, 0.000E+00
 1.400E+02, 5.088E+00, 5.007E+00, 4.876E+00, 0.000E+00
 1.500E+02, 4.406E+00, 5.243E+00, 0.000E+00, 0.000E+00
 1.600E+02, 4.214E+00, 5.568E+00, 0.000E+00, 0.000E+00
 1.700E+02, 4.098E+00, 5.960E+00, 0.000E+00, 0.000E+00
 1.800E+02, 4.273E+00, 1.373E+00, 0.000E+00, 0.000E+00
 1.900E+02, 4.481E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+02, 4.735E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+02, 4.751E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.200E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.300E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.400E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.500E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
