s,kW/m2,kW/m2
Time,"HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00
 1.700E+01, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00
 3.300E+01, 0.000E+00, 0.000E+00
 4.100E+01, 0.000E+00, 0.000E+00
 4.900E+01, 0.000E+00, 0.000E+00
 5.700E+01, 0.000E+00, 0.000E+00
 6.500E+01, 0.000E+00, 1.151E+01
 7.300E+01, 0.000E+00, 9.914E+01
 8.100E+01, 0.000E+00, 9.762E+01
 9.000E+01, 0.000E+00, 9.533E+01
 9.800E+01, 0.000E+00, 9.302E+01
 1.060E+02, 0.000E+00, 9.066E+01
 1.140E+02, 4.941E+01, 8.724E+01
 1.220E+02, 7.301E+01, 8.357E+01
 1.300E+02, 7.198E+01, 7.992E+01
 1.380E+02, 7.083E+01, 7.176E+01
 1.460E+02, 6.968E+01, 5.799E+01
 1.540E+02, 6.850E+01, 4.446E+01
 1.620E+02, 6.728E+01, 4.847E+01
 1.710E+02, 6.545E+01, 6.851E+01
 1.790E+02, 6.334E+01, 7.815E+01
 1.870E+02, 6.135E+01, 8.398E+01
 1.950E+02, 5.936E+01, 8.803E+01
 2.030E+02, 5.651E+01, 9.004E+01
 2.110E+02, 4.957E+01, 9.005E+01
 2.190E+02, 4.207E+01, 9.005E+01
 2.270E+02, 3.453E+01, 8.921E+01
 2.350E+02, 3.078E+01, 8.743E+01
 2.430E+02, 3.983E+01, 8.565E+01
 2.520E+02, 5.090E+01, 8.375E+01
 2.600E+02, 5.605E+01, 8.041E+01
 2.680E+02, 5.998E+01, 7.476E+01
 2.760E+02, 6.248E+01, 6.776E+01
 2.840E+02, 6.469E+01, 5.385E+01
 2.920E+02, 6.627E+01, 4.855E+01
 3.000E+02, 6.636E+01, 5.286E+01
 3.080E+02, 6.636E+01, 5.483E+01
 3.160E+02, 6.637E+01, 5.640E+01
 3.240E+02, 6.617E+01, 5.755E+01
 3.330E+02, 6.522E+01, 5.699E+01
 3.410E+02, 6.419E+01, 5.624E+01
 3.490E+02, 6.322E+01, 5.552E+01
 3.570E+02, 6.225E+01, 5.481E+01
 3.650E+02, 6.128E+01, 5.410E+01
 3.730E+02, 5.925E+01, 5.339E+01
