s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-25","HRRPUA-35","HRRPUA-50","HRRPUA-65"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 1.729E+00, 2.281E+00, 3.583E+00, 6.031E+00, 9.068E+00
 2.000E+01, 7.493E+00, 9.820E+00, 1.531E+01, 2.552E+01, 3.711E+01
 3.000E+01, 1.332E+01, 1.745E+01, 2.613E+01, 4.035E+01, 5.610E+01
 4.000E+01, 1.852E+01, 2.320E+01, 3.363E+01, 4.881E+01, 5.735E+01
 5.000E+01, 2.212E+01, 2.787E+01, 3.802E+01, 4.567E+01, 4.077E+01
 6.000E+01, 2.564E+01, 3.062E+01, 3.608E+01, 3.253E+01, 2.101E+01
 7.000E+01, 2.658E+01, 2.935E+01, 3.078E+01, 1.838E+01, 1.412E+01
 8.000E+01, 2.552E+01, 2.751E+01, 2.046E+01, 1.263E+01, 1.332E+01
 9.000E+01, 2.422E+01, 2.174E+01, 1.338E+01, 1.100E+01, 1.314E+01
 1.000E+02, 2.002E+01, 1.507E+01, 1.007E+01, 1.084E+01, 1.325E+01
 1.100E+02, 1.493E+01, 1.082E+01, 8.548E+00, 1.073E+01, 1.348E+01
 1.200E+02, 1.051E+01, 8.697E+00, 8.436E+00, 1.083E+01, 1.370E+01
 1.300E+02, 8.630E+00, 7.014E+00, 8.352E+00, 1.098E+01, 1.387E+01
 1.400E+02, 7.012E+00, 6.821E+00, 8.287E+00, 1.114E+01, 1.403E+01
 1.500E+02, 6.012E+00, 6.750E+00, 8.333E+00, 1.126E+01, 1.437E+01
 1.600E+02, 5.948E+00, 6.699E+00, 8.424E+00, 1.137E+01, 1.474E+01
 1.700E+02, 5.894E+00, 6.654E+00, 8.518E+00, 1.148E+01, 1.505E+01
 1.800E+02, 5.853E+00, 6.652E+00, 8.611E+00, 1.171E+01, 1.536E+01
 1.900E+02, 5.819E+00, 6.710E+00, 8.686E+00, 1.196E+01, 1.569E+01
 2.000E+02, 5.793E+00, 6.769E+00, 8.754E+00, 1.219E+01, 1.597E+01
 2.100E+02, 5.825E+00, 6.830E+00, 8.810E+00, 1.239E+01, 1.645E+01
 2.200E+02, 5.870E+00, 6.891E+00, 8.884E+00, 1.260E+01, 1.709E+01
 2.300E+02, 5.915E+00, 6.942E+00, 9.034E+00, 1.283E+01, 1.784E+01
 2.400E+02, 5.962E+00, 6.988E+00, 9.186E+00, 1.300E+01, 1.844E+01
 2.500E+02, 6.008E+00, 7.030E+00, 9.328E+00, 1.327E+01, 1.771E+01
 2.600E+02, 6.049E+00, 7.065E+00, 9.460E+00, 1.364E+01, 8.842E+00
 2.700E+02, 6.084E+00, 7.105E+00, 9.571E+00, 1.410E+01, 0.000E+00
 2.800E+02, 6.118E+00, 7.194E+00, 9.695E+00, 1.462E+01, 0.000E+00
 2.900E+02, 6.147E+00, 7.295E+00, 9.836E+00, 1.506E+01, 0.000E+00
 3.000E+02, 6.173E+00, 7.391E+00, 9.957E+00, 1.509E+01, 0.000E+00
 3.100E+02, 6.207E+00, 7.482E+00, 1.006E+01, 1.286E+01, 0.000E+00
 3.200E+02, 6.279E+00, 7.568E+00, 1.022E+01, 2.976E+00, 0.000E+00
 3.300E+02, 6.356E+00, 7.641E+00, 1.043E+01, 0.000E+00, 0.000E+00
 3.400E+02, 6.430E+00, 7.713E+00, 1.069E+01, 0.000E+00, 0.000E+00
 3.500E+02, 6.499E+00, 7.799E+00, 1.097E+01, 0.000E+00, 0.000E+00
 3.600E+02, 6.569E+00, 7.890E+00, 1.128E+01, 0.000E+00, 0.000E+00
 3.700E+02, 6.629E+00, 7.971E+00, 1.159E+01, 0.000E+00, 0.000E+00
 3.800E+02, 6.683E+00, 8.036E+00, 1.168E+01, 0.000E+00, 0.000E+00
 3.900E+02, 6.739E+00, 8.110E+00, 1.148E+01, 0.000E+00, 0.000E+00
 4.000E+02, 6.805E+00, 8.236E+00, 9.768E+00, 0.000E+00, 0.000E+00
 4.100E+02, 6.875E+00, 8.370E+00, 3.520E+00, 0.000E+00, 0.000E+00
 4.200E+02, 6.940E+00, 8.533E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.300E+02, 6.990E+00, 8.713E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.400E+02, 7.040E+00, 8.902E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.500E+02, 7.112E+00, 9.111E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.600E+02, 7.214E+00, 9.306E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.700E+02, 7.317E+00, 9.364E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.800E+02, 7.443E+00, 9.389E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.900E+02, 7.579E+00, 8.730E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+02, 7.719E+00, 7.452E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.100E+02, 7.876E+00, 2.304E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.200E+02, 8.036E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.300E+02, 8.153E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.400E+02, 8.176E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.500E+02, 8.193E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.600E+02, 7.663E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.700E+02, 6.690E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.800E+02, 3.920E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.900E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.100E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.200E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.300E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.400E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.500E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.600E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.700E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.800E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.900E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.100E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.200E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.300E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.400E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.500E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.600E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.700E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.800E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.900E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.100E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.200E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.300E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.340E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
