s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_3p00_075,HRRPUA-CONE_3p00_075,WALL TEMPERATURE-CONE_5p50_050,HRRPUA-CONE_5p50_050,WALL TEMPERATURE-CONE_5p50_075,HRRPUA-CONE_5p50_075,WALL TEMPERATURE-CONE_5p50_092,HRRPUA-CONE_5p50_092,WALL TEMPERATURE-CONE_9p00_075,HRRPUA-CONE_9p00_075
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 2.000E+00, 8.092E+01, 0.000E+00, 6.206E+01, 0.000E+00, 7.958E+01, 0.000E+00, 9.150E+01, 0.000E+00, 8.092E+01, 0.000E+00
 4.000E+00, 1.754E+02, 0.000E+00, 1.250E+02, 0.000E+00, 1.734E+02, 0.000E+00, 2.060E+02, 0.000E+00, 1.755E+02, 0.000E+00
 6.000E+00, 2.405E+02, 0.000E+00, 1.698E+02, 0.000E+00, 2.393E+02, 0.000E+00, 2.857E+02, 0.000E+00, 2.405E+02, 0.000E+00
 8.000E+00, 2.835E+02, 0.000E+00, 1.999E+02, 0.000E+00, 2.829E+02, 0.000E+00, 3.376E+02, 0.000E+00, 2.837E+02, 0.000E+00
 1.000E+01, 3.175E+02, 0.000E+00, 2.240E+02, 0.000E+00, 3.170E+02, 0.000E+00, 3.776E+02, 0.000E+00, 3.178E+02, 0.000E+00
 1.200E+01, 3.454E+02, 0.000E+00, 2.441E+02, 0.000E+00, 3.452E+02, 0.000E+00, 4.101E+02, 0.000E+00, 3.461E+02, 0.000E+00
 1.400E+01, 3.689E+02, 0.000E+00, 2.616E+02, 0.000E+00, 3.691E+02, 0.000E+00, 4.373E+02, 0.000E+00, 3.701E+02, 0.000E+00
 1.600E+01, 3.891E+02, 0.000E+00, 2.771E+02, 0.000E+00, 3.899E+02, 0.000E+00, 4.606E+02, 0.000E+00, 3.908E+02, 0.000E+00
 1.800E+01, 4.068E+02, 0.000E+00, 2.911E+02, 0.000E+00, 4.083E+02, 0.000E+00, 4.809E+02, 0.000E+00, 4.090E+02, 0.000E+00
 2.000E+01, 4.226E+02, 0.000E+00, 3.038E+02, 0.000E+00, 4.246E+02, 0.000E+00, 4.987E+02, 0.000E+00, 4.252E+02, 0.000E+00
 2.200E+01, 4.369E+02, 0.000E+00, 3.155E+02, 0.000E+00, 4.393E+02, 0.000E+00, 5.145E+02, 0.000E+00, 4.398E+02, 0.000E+00
 2.400E+01, 4.499E+02, 0.000E+00, 3.262E+02, 0.000E+00, 4.526E+02, 0.000E+00, 5.286E+02, 0.000E+00, 4.531E+02, 0.000E+00
 2.600E+01, 4.619E+02, 0.000E+00, 3.361E+02, 0.000E+00, 4.647E+02, 0.000E+00, 5.413E+02, 0.000E+00, 4.651E+02, 0.000E+00
 2.800E+01, 4.732E+02, 0.000E+00, 3.453E+02, 0.000E+00, 4.757E+02, 0.000E+00, 5.527E+02, 0.000E+00, 4.761E+02, 0.000E+00
 3.000E+01, 4.837E+02, 0.000E+00, 3.539E+02, 0.000E+00, 4.857E+02, 0.000E+00, 5.630E+02, 1.185E+02, 4.863E+02, 0.000E+00
 3.200E+01, 4.935E+02, 0.000E+00, 3.618E+02, 0.000E+00, 4.949E+02, 0.000E+00, 5.724E+02, 2.152E+02, 4.956E+02, 0.000E+00
 3.400E+01, 5.029E+02, 0.000E+00, 3.693E+02, 0.000E+00, 5.034E+02, 0.000E+00, 5.810E+02, 3.444E+02, 5.043E+02, 0.000E+00
 3.600E+01, 5.118E+02, 0.000E+00, 3.763E+02, 0.000E+00, 5.113E+02, 0.000E+00, 5.888E+02, 4.172E+02, 5.123E+02, 0.000E+00
 3.800E+01, 5.203E+02, 0.000E+00, 3.829E+02, 0.000E+00, 5.186E+02, 0.000E+00, 5.960E+02, 4.590E+02, 5.197E+02, 0.000E+00
 4.000E+01, 5.284E+02, 0.000E+00, 3.891E+02, 0.000E+00, 5.253E+02, 8.251E+01, 6.027E+02, 4.735E+02, 5.266E+02, 0.000E+00
 4.200E+01, 5.361E+02, 0.000E+00, 3.950E+02, 0.000E+00, 5.316E+02, 1.233E+02, 6.089E+02, 4.769E+02, 5.331E+02, 0.000E+00
 4.400E+01, 5.435E+02, 0.000E+00, 4.005E+02, 0.000E+00, 5.375E+02, 1.869E+02, 6.146E+02, 4.902E+02, 5.391E+02, 0.000E+00
 4.600E+01, 5.506E+02, 0.000E+00, 4.058E+02, 0.000E+00, 5.430E+02, 2.698E+02, 6.199E+02, 4.907E+02, 5.447E+02, 0.000E+00
 4.800E+01, 5.575E+02, 0.000E+00, 4.108E+02, 0.000E+00, 5.482E+02, 3.207E+02, 6.249E+02, 4.796E+02, 5.500E+02, 0.000E+00
 5.000E+01, 5.640E+02, 0.000E+00, 4.155E+02, 0.000E+00, 5.531E+02, 3.709E+02, 6.296E+02, 4.642E+02, 5.550E+02, 0.000E+00
 5.200E+01, 5.704E+02, 0.000E+00, 4.200E+02, 0.000E+00, 5.577E+02, 4.167E+02, 6.341E+02, 4.456E+02, 5.597E+02, 8.965E+01
 5.400E+01, 5.764E+02, 0.000E+00, 4.244E+02, 0.000E+00, 5.621E+02, 4.350E+02, 6.382E+02, 4.277E+02, 5.641E+02, 1.312E+02
 5.600E+01, 5.823E+02, 1.220E+02, 4.285E+02, 0.000E+00, 5.663E+02, 4.424E+02, 6.422E+02, 4.179E+02, 5.683E+02, 1.692E+02
 5.800E+01, 5.880E+02, 2.503E+02, 4.325E+02, 0.000E+00, 5.702E+02, 4.303E+02, 6.459E+02, 4.178E+02, 5.722E+02, 2.256E+02
 6.000E+01, 5.934E+02, 3.660E+02, 4.363E+02, 0.000E+00, 5.740E+02, 4.256E+02, 6.495E+02, 4.226E+02, 5.760E+02, 2.896E+02
 6.200E+01, 5.987E+02, 4.058E+02, 4.400E+02, 0.000E+00, 5.776E+02, 4.153E+02, 6.529E+02, 4.285E+02, 5.796E+02, 3.341E+02
 6.400E+01, 6.037E+02, 4.166E+02, 4.435E+02, 0.000E+00, 5.810E+02, 3.977E+02, 6.561E+02, 4.517E+02, 5.830E+02, 3.569E+02
 6.600E+01, 6.086E+02, 4.228E+02, 4.469E+02, 0.000E+00, 5.843E+02, 3.891E+02, 6.593E+02, 4.649E+02, 5.862E+02, 3.772E+02
 6.800E+01, 6.134E+02, 4.068E+02, 4.502E+02, 0.000E+00, 5.875E+02, 3.897E+02, 6.622E+02, 4.711E+02, 5.893E+02, 3.969E+02
 7.000E+01, 6.179E+02, 3.820E+02, 4.534E+02, 0.000E+00, 5.906E+02, 3.823E+02, 6.651E+02, 4.840E+02, 5.922E+02, 4.057E+02
 7.200E+01, 6.223E+02, 3.628E+02, 4.565E+02, 0.000E+00, 5.935E+02, 3.743E+02, 6.679E+02, 4.903E+02, 5.950E+02, 4.090E+02
 7.400E+01, 6.266E+02, 3.615E+02, 4.594E+02, 0.000E+00, 5.964E+02, 3.699E+02, 6.705E+02, 4.849E+02, 5.977E+02, 4.077E+02
