s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-25","HRRPUA-35","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.122E+01
 2.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.483E+02
 2.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.520E+02
 2.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.914E+02
 2.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.223E+02
 2.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.481E+02
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.713E+02
 3.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.892E+02
 3.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.013E+02
 3.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.040E+02
 3.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.003E+02
 3.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.676E+02, 3.899E+02
 3.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.941E+02, 3.777E+02
 4.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.129E+02, 3.655E+02
 4.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.303E+02, 3.543E+02
 4.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.461E+02, 3.446E+02
 4.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.603E+02, 3.348E+02
 4.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.739E+02, 3.267E+02
 4.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.848E+02, 3.192E+02
 5.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.948E+02, 3.118E+02
 5.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.010E+02, 3.043E+02
 5.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.033E+02, 2.969E+02
 5.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.019E+02, 2.894E+02
 5.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.986E+02, 2.820E+02
 5.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.924E+02, 2.744E+02
 5.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.857E+02, 2.670E+02
 6.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.788E+02, 2.594E+02
 6.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.720E+02, 2.519E+02
 6.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.659E+02, 2.445E+02
 6.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.605E+02, 2.379E+02
 6.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.550E+02, 2.314E+02
 6.800E+01, 0.000E+00, 0.000E+00, 1.293E+02, 2.497E+02, 2.249E+02
 6.900E+01, 0.000E+00, 0.000E+00, 1.481E+02, 2.452E+02, 2.183E+02
 7.100E+01, 0.000E+00, 0.000E+00, 1.607E+02, 2.410E+02, 2.122E+02
 7.200E+01, 0.000E+00, 0.000E+00, 1.723E+02, 2.368E+02, 2.067E+02
 7.400E+01, 0.000E+00, 0.000E+00, 1.832E+02, 2.325E+02, 2.012E+02
 7.500E+01, 0.000E+00, 0.000E+00, 1.933E+02, 2.283E+02, 1.957E+02
 7.700E+01, 0.000E+00, 0.000E+00, 2.026E+02, 2.241E+02, 1.903E+02
 7.800E+01, 0.000E+00, 0.000E+00, 2.114E+02, 2.199E+02, 1.858E+02
 8.000E+01, 0.000E+00, 0.000E+00, 2.200E+02, 2.156E+02, 1.818E+02
 8.100E+01, 0.000E+00, 0.000E+00, 2.267E+02, 2.114E+02, 1.777E+02
 8.300E+01, 0.000E+00, 0.000E+00, 2.331E+02, 2.072E+02, 1.744E+02
 8.400E+01, 0.000E+00, 0.000E+00, 2.376E+02, 2.030E+02, 1.719E+02
 8.600E+01, 0.000E+00, 0.000E+00, 2.402E+02, 1.988E+02, 1.696E+02
 8.700E+01, 0.000E+00, 0.000E+00, 2.413E+02, 1.945E+02, 1.673E+02
 8.900E+01, 0.000E+00, 0.000E+00, 2.401E+02, 1.903E+02, 1.678E+02
 9.000E+01, 0.000E+00, 0.000E+00, 2.384E+02, 1.861E+02, 1.686E+02
 9.200E+01, 0.000E+00, 0.000E+00, 2.349E+02, 1.820E+02, 1.694E+02
 9.300E+01, 0.000E+00, 0.000E+00, 2.305E+02, 1.783E+02, 1.705E+02
 9.500E+01, 0.000E+00, 0.000E+00, 2.263E+02, 1.747E+02, 1.724E+02
 9.600E+01, 0.000E+00, 0.000E+00, 2.219E+02, 1.710E+02, 1.744E+02
 9.800E+01, 0.000E+00, 0.000E+00, 2.176E+02, 1.673E+02, 1.764E+02
 9.900E+01, 0.000E+00, 0.000E+00, 2.134E+02, 1.636E+02, 1.784E+02
 1.010E+02, 0.000E+00, 0.000E+00, 2.099E+02, 1.601E+02, 1.803E+02
 1.020E+02, 0.000E+00, 0.000E+00, 2.064E+02, 1.570E+02, 1.823E+02
 1.040E+02, 0.000E+00, 0.000E+00, 2.030E+02, 1.539E+02, 1.843E+02
 1.050E+02, 0.000E+00, 0.000E+00, 1.994E+02, 1.508E+02, 1.863E+02
 1.070E+02, 0.000E+00, 0.000E+00, 1.964E+02, 1.477E+02, 1.882E+02
 1.080E+02, 0.000E+00, 0.000E+00, 1.938E+02, 1.446E+02, 1.902E+02
 1.100E+02, 0.000E+00, 0.000E+00, 1.911E+02, 1.417E+02, 1.922E+02
 1.110E+02, 0.000E+00, 0.000E+00, 1.884E+02, 1.393E+02, 1.941E+02
 1.130E+02, 0.000E+00, 0.000E+00, 1.858E+02, 1.370E+02, 1.956E+02
 1.140E+02, 0.000E+00, 0.000E+00, 1.831E+02, 1.348E+02, 1.962E+02
 1.160E+02, 0.000E+00, 0.000E+00, 1.804E+02, 1.325E+02, 1.966E+02
 1.170E+02, 0.000E+00, 0.000E+00, 1.778E+02, 1.307E+02, 1.971E+02
 1.190E+02, 0.000E+00, 0.000E+00, 1.751E+02, 1.293E+02, 1.975E+02
 1.200E+02, 0.000E+00, 0.000E+00, 1.724E+02, 1.280E+02, 1.979E+02
 1.220E+02, 0.000E+00, 0.000E+00, 1.697E+02, 1.266E+02, 1.986E+02
 1.230E+02, 0.000E+00, 0.000E+00, 1.671E+02, 1.254E+02, 2.002E+02
 1.250E+02, 0.000E+00, 0.000E+00, 1.644E+02, 1.256E+02, 2.021E+02
 1.260E+02, 0.000E+00, 0.000E+00, 1.617E+02, 1.260E+02, 2.049E+02
 1.280E+02, 0.000E+00, 1.041E+02, 1.590E+02, 1.265E+02, 2.090E+02
 1.290E+02, 0.000E+00, 1.186E+02, 1.564E+02, 1.269E+02, 2.130E+02
 1.310E+02, 0.000E+00, 1.278E+02, 1.537E+02, 1.274E+02, 2.170E+02
