s,kW/m2,kW/m2
Time,"HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 1.677E+00, 2.780E+00
 2.000E+01, 5.668E+00, 8.781E+00
 3.000E+01, 7.302E+00, 1.924E+01
 4.000E+01, 2.010E+01, 1.165E+02
 5.000E+01, 7.714E+01, 3.898E+02
 6.000E+01, 2.249E+02, 3.750E+02
 7.000E+01, 3.445E+02, 1.659E+02
 8.000E+01, 2.537E+02, 3.282E+01
 9.000E+01, 1.316E+02, 1.459E+01
 1.000E+02, 3.409E+01, 1.233E+01
 1.100E+02, 1.544E+01, 1.071E+01
 1.200E+02, 1.048E+01, 4.862E+00
 1.300E+02, 9.327E+00, 0.000E+00
 1.400E+02, 8.271E+00, 0.000E+00
 1.500E+02, 7.864E+00, 0.000E+00
 1.600E+02, 1.117E+00, 0.000E+00
 1.700E+02, 0.000E+00, 0.000E+00
 1.800E+02, 0.000E+00, 0.000E+00
 1.900E+02, 0.000E+00, 0.000E+00
 2.000E+02, 0.000E+00, 0.000E+00
 2.100E+02, 0.000E+00, 0.000E+00
 2.200E+02, 0.000E+00, 0.000E+00
 2.300E+02, 0.000E+00, 0.000E+00
 2.400E+02, 0.000E+00, 0.000E+00
 2.500E+02, 0.000E+00, 0.000E+00
 2.600E+02, 0.000E+00, 0.000E+00
 2.700E+02, 0.000E+00, 0.000E+00
 2.800E+02, 0.000E+00, 0.000E+00
 2.900E+02, 0.000E+00, 0.000E+00
 3.000E+02, 0.000E+00, 0.000E+00
 3.100E+02, 0.000E+00, 0.000E+00
 3.150E+02, 0.000E+00, 0.000E+00
