s,kW/m2,kW/m2
Time,"HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+00, 0.000E+00, 0.000E+00
 5.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00
 1.100E+01, 0.000E+00, 0.000E+00
 1.400E+01, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00
 1.800E+01, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00
 2.200E+01, 0.000E+00, 0.000E+00
 2.500E+01, 0.000E+00, 0.000E+00
 2.700E+01, 0.000E+00, 0.000E+00
 2.900E+01, 0.000E+00, 0.000E+00
 3.100E+01, 0.000E+00, 1.363E+02
 3.300E+01, 0.000E+00, 2.769E+02
 3.600E+01, 0.000E+00, 2.804E+02
 3.800E+01, 0.000E+00, 2.837E+02
 4.000E+01, 0.000E+00, 2.861E+02
 4.200E+01, 0.000E+00, 2.884E+02
 4.400E+01, 2.049E+02, 2.906E+02
 4.700E+01, 2.082E+02, 2.922E+02
 4.900E+01, 2.102E+02, 2.922E+02
 5.100E+01, 2.118E+02, 2.911E+02
 5.300E+01, 2.134E+02, 2.896E+02
 5.600E+01, 2.153E+02, 2.882E+02
 5.800E+01, 2.170E+02, 2.875E+02
 6.000E+01, 2.182E+02, 2.874E+02
 6.200E+01, 2.191E+02, 2.875E+02
 6.400E+01, 2.197E+02, 2.860E+02
 6.600E+01, 2.198E+02, 2.826E+02
 6.900E+01, 2.194E+02, 2.753E+02
 7.100E+01, 2.184E+02, 2.661E+02
 7.300E+01, 2.176E+02, 2.584E+02
 7.500E+01, 2.170E+02, 2.508E+02
 7.700E+01, 2.166E+02, 2.431E+02
 8.000E+01, 2.164E+02, 2.334E+02
 8.200E+01, 2.164E+02, 2.237E+02
 8.400E+01, 2.164E+02, 2.161E+02
 8.600E+01, 2.159E+02, 2.084E+02
 8.800E+01, 2.144E+02, 2.009E+02
 9.100E+01, 2.114E+02, 1.920E+02
 9.300E+01, 2.070E+02, 1.844E+02
 9.500E+01, 2.028E+02, 1.794E+02
 9.700E+01, 1.985E+02, 1.751E+02
 1.000E+02, 1.931E+02, 1.699E+02
 1.020E+02, 1.877E+02, 1.643E+02
