s,kW/m2,kW/m2
Time,"HRRPUA-35","HRRPUA-50"
 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00
 3.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00
 5.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00
 1.100E+01, 0.000E+00, 0.000E+00
 1.200E+01, 0.000E+00, 0.000E+00
 1.300E+01, 0.000E+00, 0.000E+00
 1.400E+01, 0.000E+00, 0.000E+00
 1.500E+01, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00
 1.700E+01, 0.000E+00, 0.000E+00
 1.800E+01, 0.000E+00, 0.000E+00
 1.900E+01, 0.000E+00, 5.333E+01
 2.000E+01, 0.000E+00, 6.271E+01
 2.100E+01, 0.000E+00, 7.158E+01
 2.200E+01, 0.000E+00, 7.940E+01
 2.300E+01, 0.000E+00, 8.590E+01
 2.400E+01, 0.000E+00, 9.104E+01
 2.500E+01, 4.061E+01, 9.487E+01
 2.600E+01, 4.626E+01, 9.746E+01
 2.700E+01, 5.185E+01, 9.947E+01
 2.800E+01, 5.705E+01, 1.011E+02
 2.900E+01, 6.170E+01, 1.022E+02
 3.000E+01, 6.571E+01, 1.027E+02
 3.100E+01, 6.913E+01, 1.027E+02
 3.200E+01, 7.191E+01, 1.021E+02
 3.300E+01, 7.403E+01, 1.012E+02
 3.400E+01, 7.563E+01, 9.998E+01
 3.500E+01, 7.694E+01, 9.848E+01
 3.600E+01, 7.805E+01, 9.668E+01
 3.700E+01, 7.899E+01, 9.461E+01
 3.800E+01, 7.964E+01, 9.234E+01
 3.900E+01, 7.998E+01, 9.005E+01
 4.000E+01, 8.005E+01, 8.789E+01
 4.100E+01, 7.984E+01, 8.587E+01
 4.200E+01, 7.942E+01, 8.400E+01
 4.300E+01, 7.888E+01, 8.231E+01
 4.400E+01, 7.819E+01, 8.077E+01
 4.500E+01, 7.736E+01, 7.940E+01
 4.600E+01, 7.641E+01, 7.825E+01
 4.700E+01, 7.531E+01, 7.730E+01
 4.800E+01, 7.407E+01, 7.656E+01
 4.900E+01, 7.272E+01, 7.604E+01
 5.000E+01, 7.135E+01, 7.559E+01
 5.100E+01, 6.996E+01, 7.516E+01
 5.200E+01, 6.866E+01, 7.473E+01
 5.300E+01, 6.743E+01, 7.428E+01
 5.400E+01, 6.626E+01, 7.381E+01
 5.500E+01, 6.517E+01, 7.333E+01
 5.600E+01, 6.415E+01, 7.279E+01
 5.700E+01, 6.320E+01, 7.218E+01
 5.800E+01, 6.234E+01, 7.149E+01
 5.900E+01, 6.158E+01, 7.071E+01
 6.000E+01, 6.090E+01, 6.984E+01
 6.100E+01, 6.034E+01, 6.890E+01
 6.200E+01, 5.987E+01, 6.793E+01
 6.300E+01, 5.950E+01, 6.703E+01
 6.400E+01, 5.921E+01, 6.625E+01
 6.500E+01, 5.894E+01, 6.558E+01
 6.600E+01, 5.868E+01, 6.501E+01
 6.700E+01, 5.842E+01, 6.459E+01
 6.800E+01, 5.816E+01, 6.429E+01
 6.900E+01, 5.788E+01, 6.406E+01
 7.000E+01, 5.760E+01, 6.389E+01
 7.100E+01, 5.730E+01, 6.378E+01
 7.200E+01, 5.699E+01, 6.371E+01
 7.300E+01, 5.665E+01, 6.360E+01
 7.400E+01, 5.627E+01, 6.342E+01
 7.500E+01, 5.585E+01, 6.320E+01
 7.600E+01, 5.539E+01, 6.297E+01
 7.700E+01, 5.488E+01, 6.270E+01
 7.800E+01, 5.434E+01, 6.243E+01
 7.900E+01, 5.376E+01, 6.220E+01
 8.000E+01, 5.318E+01, 6.201E+01
 8.100E+01, 5.260E+01, 6.184E+01
 8.200E+01, 5.208E+01, 6.170E+01
 8.300E+01, 5.162E+01, 6.157E+01
 8.400E+01, 5.121E+01, 6.144E+01
 8.500E+01, 5.085E+01, 6.127E+01
 8.600E+01, 5.055E+01, 6.106E+01
 8.700E+01, 5.031E+01, 6.082E+01
 8.800E+01, 5.014E+01, 6.054E+01
 8.900E+01, 5.000E+01, 6.022E+01
 9.000E+01, 4.988E+01, 5.990E+01
 9.100E+01, 4.979E+01, 5.958E+01
 9.200E+01, 4.973E+01, 5.928E+01
 9.300E+01, 4.969E+01, 5.899E+01
 9.400E+01, 4.963E+01, 5.872E+01
 9.500E+01, 4.954E+01, 5.845E+01
 9.600E+01, 4.942E+01, 5.820E+01
 9.700E+01, 4.929E+01, 5.794E+01
 9.800E+01, 4.915E+01, 5.768E+01
 9.900E+01, 4.899E+01, 5.740E+01
 1.000E+02, 4.883E+01, 5.711E+01
 1.010E+02, 4.866E+01, 5.680E+01
 1.020E+02, 4.852E+01, 5.648E+01
 1.030E+02, 4.841E+01, 5.617E+01
 1.040E+02, 4.830E+01, 5.588E+01
 1.050E+02, 4.820E+01, 5.562E+01
 1.060E+02, 4.811E+01, 5.538E+01
 1.070E+02, 4.803E+01, 5.518E+01
 1.080E+02, 4.796E+01, 5.502E+01
 1.090E+02, 4.787E+01, 5.489E+01
 1.100E+02, 4.776E+01, 5.478E+01
 1.110E+02, 4.763E+01, 5.470E+01
 1.120E+02, 4.749E+01, 5.463E+01
 1.130E+02, 4.733E+01, 5.457E+01
 1.140E+02, 4.715E+01, 5.447E+01
 1.150E+02, 4.696E+01, 5.433E+01
 1.160E+02, 4.676E+01, 5.413E+01
 1.170E+02, 4.656E+01, 5.389E+01
