s,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_16p00_040","HRRPUA-CONE_16p00_040","WALL TEMPERATURE-CONE_16p00_050","HRRPUA-CONE_16p00_050"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 2.870E+02, 0.000E+00, 3.417E+02, 0.000E+00
 2.000E+01, 4.416E+02, 0.000E+00, 5.095E+02, 0.000E+00
 3.000E+01, 4.843E+02, 0.000E+00, 5.501E+02, 0.000E+00
 4.000E+01, 5.081E+02, 0.000E+00, 5.723E+02, 0.000E+00
 5.000E+01, 5.243E+02, 0.000E+00, 5.873E+02, 0.000E+00
 6.000E+01, 5.365E+02, 0.000E+00, 5.985E+02, 3.977E+00
 7.000E+01, 5.461E+02, 0.000E+00, 6.073E+02, 8.929E+01
 8.000E+01, 5.539E+02, 0.000E+00, 6.144E+02, 2.519E+02
 9.000E+01, 5.604E+02, 0.000E+00, 6.203E+02, 3.889E+02
 1.000E+02, 5.657E+02, 0.000E+00, 6.252E+02, 4.464E+02
 1.100E+02, 5.703E+02, 0.000E+00, 6.293E+02, 4.970E+02
 1.200E+02, 5.741E+02, 6.087E+00, 6.327E+02, 5.405E+02
 1.300E+02, 5.774E+02, 3.300E+01, 6.357E+02, 4.595E+02
 1.400E+02, 5.802E+02, 1.381E+02, 6.381E+02, 3.705E+02
 1.500E+02, 5.825E+02, 2.473E+02, 6.403E+02, 2.833E+02
 1.600E+02, 5.846E+02, 3.138E+02, 6.421E+02, 2.039E+02
 1.700E+02, 5.863E+02, 3.407E+02, 6.436E+02, 1.419E+02
 1.800E+02, 5.878E+02, 3.459E+02, 6.449E+02, 1.132E+02
 1.900E+02, 5.891E+02, 3.720E+02, 6.460E+02, 9.957E+01
 2.000E+02, 5.902E+02, 4.111E+02, 6.470E+02, 8.530E+01
 2.100E+02, 5.912E+02, 4.095E+02, 6.478E+02, 8.087E+01
 2.200E+02, 5.920E+02, 3.658E+02, 6.485E+02, 7.808E+01
 2.300E+02, 5.927E+02, 3.243E+02, 6.491E+02, 7.529E+01
 2.400E+02, 5.933E+02, 2.878E+02, 6.496E+02, 7.250E+01
 2.500E+02, 5.938E+02, 2.385E+02, 6.501E+02, 6.970E+01
 2.600E+02, 5.943E+02, 1.801E+02, 6.504E+02, 6.692E+01
 2.700E+02, 5.946E+02, 1.314E+02, 6.507E+02, 6.480E+01
 2.800E+02, 5.950E+02, 1.026E+02, 6.510E+02, 6.300E+01
 2.900E+02, 5.952E+02, 8.391E+01, 6.513E+02, 6.120E+01
 3.000E+02, 5.955E+02, 7.337E+01, 6.515E+02, 5.940E+01
 3.100E+02, 5.957E+02, 6.783E+01, 6.516E+02, 5.759E+01
 3.200E+02, 5.959E+02, 6.474E+01, 6.518E+02, 5.579E+01
 3.300E+02, 5.960E+02, 6.167E+01, 6.519E+02, 5.398E+01
 3.400E+02, 5.962E+02, 5.862E+01, 6.520E+02, 5.217E+01
 3.500E+02, 5.963E+02, 5.659E+01, 6.521E+02, 5.037E+01
 3.600E+02, 5.964E+02, 5.524E+01, 6.522E+02, 4.866E+01
 3.700E+02, 5.965E+02, 5.390E+01, 6.522E+02, 4.726E+01
 3.800E+02, 5.965E+02, 5.256E+01, 6.523E+02, 4.588E+01
 3.900E+02, 5.966E+02, 5.125E+01, 6.523E+02, 4.449E+01
 4.000E+02, 5.966E+02, 5.021E+01, 6.524E+02, 4.311E+01
 4.100E+02, 5.967E+02, 4.925E+01, 6.524E+02, 4.172E+01
 4.200E+02, 5.967E+02, 4.828E+01, 6.524E+02, 4.034E+01
 4.300E+02, 5.968E+02, 4.732E+01, 6.525E+02, 3.895E+01
 4.400E+02, 5.968E+02, 4.636E+01, 6.525E+02, 3.757E+01
 4.500E+02, 5.968E+02, 4.540E+01, 6.525E+02, 3.619E+01
 4.600E+02, 5.968E+02, 4.443E+01, 6.525E+02, 3.504E+01
 4.700E+02, 5.969E+02, 4.347E+01, 6.525E+02, 3.400E+01
 4.800E+02, 5.969E+02, 4.251E+01, 6.526E+02, 3.296E+01
 4.900E+02, 5.969E+02, 4.155E+01, 6.526E+02, 3.192E+01
 5.000E+02, 5.969E+02, 4.059E+01, 6.526E+02, 3.088E+01
 5.100E+02, 5.969E+02, 3.963E+01, 6.526E+02, 2.984E+01
 5.200E+02, 5.969E+02, 3.866E+01, 6.526E+02, 2.880E+01
 5.300E+02, 5.969E+02, 3.771E+01, 6.526E+02, 2.776E+01
 5.400E+02, 5.969E+02, 3.707E+01, 6.526E+02, 2.671E+01
 5.500E+02, 5.969E+02, 3.658E+01, 6.526E+02, 2.573E+01
 5.600E+02, 5.969E+02, 3.609E+01, 6.526E+02, 2.491E+01
 5.700E+02, 5.969E+02, 3.561E+01, 6.526E+02, 2.409E+01
 5.800E+02, 5.969E+02, 3.512E+01, 6.526E+02, 2.328E+01
 5.900E+02, 5.969E+02, 3.464E+01, 6.526E+02, 2.246E+01
 6.000E+02, 5.970E+02, 3.415E+01, 6.526E+02, 2.165E+01
 6.100E+02, 5.970E+02, 3.367E+01, 6.526E+02, 2.083E+01
 6.200E+02, 5.970E+02, 3.318E+01, 6.526E+02, 2.002E+01
 6.300E+02, 5.970E+02, 3.269E+01, 6.526E+02, 1.920E+01
 6.400E+02, 5.970E+02, 3.221E+01, 6.526E+02, 1.839E+01
 6.500E+02, 5.970E+02, 3.172E+01, 6.526E+02, 1.772E+01
 6.600E+02, 5.970E+02, 3.124E+01, 6.526E+02, 1.710E+01
 6.700E+02, 5.970E+02, 3.075E+01, 6.526E+02, 1.648E+01
 6.800E+02, 5.970E+02, 3.026E+01, 6.526E+02, 1.587E+01
 6.900E+02, 5.970E+02, 2.975E+01, 6.526E+02, 1.525E+01
 7.000E+02, 5.970E+02, 2.924E+01, 6.526E+02, 1.464E+01
 7.100E+02, 5.970E+02, 2.873E+01, 6.526E+02, 1.402E+01
 7.200E+02, 5.970E+02, 2.822E+01, 6.526E+02, 1.341E+01
 7.300E+02, 5.970E+02, 2.772E+01, 6.526E+02, 1.279E+01
 7.400E+02, 5.970E+02, 2.721E+01, 6.526E+02, 1.224E+01
 7.500E+02, 5.970E+02, 2.670E+01, 6.526E+02, 1.184E+01
 7.600E+02, 5.970E+02, 2.619E+01, 6.526E+02, 1.145E+01
 7.700E+02, 5.970E+02, 2.568E+01, 6.526E+02, 1.107E+01
 7.800E+02, 5.970E+02, 2.518E+01, 6.526E+02, 1.068E+01
 7.900E+02, 5.970E+02, 2.467E+01, 6.526E+02, 1.029E+01
 8.000E+02, 5.970E+02, 2.416E+01, 6.526E+02, 9.902E+00
 8.100E+02, 5.970E+02, 2.365E+01, 6.526E+02, 9.514E+00
 8.200E+02, 5.970E+02, 2.311E+01, 6.526E+02, 9.125E+00
 8.300E+02, 5.970E+02, 2.247E+01, 6.526E+02, 8.738E+00
 8.400E+02, 5.970E+02, 2.182E+01, 6.526E+02, 8.369E+00
 8.500E+02, 5.970E+02, 2.117E+01, 6.526E+02, 8.007E+00
 8.600E+02, 5.970E+02, 2.053E+01, 6.526E+02, 7.645E+00
 8.700E+02, 5.970E+02, 1.988E+01, 6.526E+02, 7.284E+00
 8.800E+02, 5.970E+02, 1.924E+01, 6.526E+02, 6.922E+00
 8.900E+02, 5.970E+02, 1.859E+01, 6.526E+02, 6.560E+00
 9.000E+02, 5.970E+02, 1.794E+01, 6.526E+02, 6.198E+00
 9.100E+02, 5.970E+02, 1.730E+01, 6.526E+02, 5.837E+00
 9.200E+02, 5.970E+02, 1.665E+01, 6.526E+02, 5.475E+00
 9.300E+02, 5.970E+02, 1.601E+01, 6.526E+02, 5.169E+00
 9.400E+02, 5.970E+02, 1.536E+01, 6.526E+02, 4.990E+00
 9.500E+02, 5.970E+02, 1.472E+01, 6.526E+02, 4.816E+00
 9.600E+02, 5.970E+02, 1.412E+01, 6.526E+02, 4.642E+00
 9.700E+02, 5.970E+02, 1.376E+01, 6.526E+02, 4.468E+00
 9.800E+02, 5.970E+02, 1.343E+01, 6.526E+02, 4.293E+00
 9.900E+02, 5.970E+02, 1.311E+01, 6.526E+02, 4.119E+00
 1.000E+03, 5.970E+02, 1.279E+01, 6.526E+02, 3.945E+00
 1.010E+03, 5.970E+02, 1.247E+01, 6.526E+02, 3.771E+00
 1.020E+03, 5.970E+02, 1.214E+01, 6.526E+02, 2.535E+00
 1.030E+03, 5.970E+02, 1.182E+01, 6.526E+02, 0.000E+00
 1.040E+03, 5.970E+02, 1.150E+01, 6.526E+02, 0.000E+00
 1.050E+03, 5.970E+02, 1.118E+01, 6.526E+02, 0.000E+00
