s,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_12p00_040","HRRPUA-CONE_12p00_040","WALL TEMPERATURE-CONE_12p00_050","HRRPUA-CONE_12p00_050"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.744E+02, 0.000E+00, 2.096E+02, 0.000E+00
 2.000E+01, 3.030E+02, 0.000E+00, 3.631E+02, 0.000E+00
 3.000E+01, 3.609E+02, 0.000E+00, 4.271E+02, 0.000E+00
 4.000E+01, 3.968E+02, 0.000E+00, 4.647E+02, 3.252E+01
 5.000E+01, 4.215E+02, 1.015E+00, 4.897E+02, 1.678E+02
 6.000E+01, 4.401E+02, 5.179E+01, 5.080E+02, 2.365E+02
 7.000E+01, 4.550E+02, 1.292E+02, 5.224E+02, 2.573E+02
 8.000E+01, 4.674E+02, 1.825E+02, 5.343E+02, 2.551E+02
 9.000E+01, 4.781E+02, 1.976E+02, 5.445E+02, 2.430E+02
 1.000E+02, 4.875E+02, 1.978E+02, 5.535E+02, 2.318E+02
 1.100E+02, 4.959E+02, 1.959E+02, 5.615E+02, 2.225E+02
 1.200E+02, 5.035E+02, 1.903E+02, 5.687E+02, 2.134E+02
 1.300E+02, 5.104E+02, 1.829E+02, 5.752E+02, 2.041E+02
 1.400E+02, 5.168E+02, 1.756E+02, 5.811E+02, 1.944E+02
 1.500E+02, 5.226E+02, 1.688E+02, 5.865E+02, 1.849E+02
 1.600E+02, 5.279E+02, 1.635E+02, 5.915E+02, 1.786E+02
 1.700E+02, 5.329E+02, 1.584E+02, 5.961E+02, 1.726E+02
 1.800E+02, 5.374E+02, 1.534E+02, 6.003E+02, 1.667E+02
 1.900E+02, 5.416E+02, 1.483E+02, 6.042E+02, 1.607E+02
 2.000E+02, 5.455E+02, 1.433E+02, 6.077E+02, 1.548E+02
 2.100E+02, 5.492E+02, 1.400E+02, 6.110E+02, 1.488E+02
 2.200E+02, 5.525E+02, 1.376E+02, 6.141E+02, 1.429E+02
 2.300E+02, 5.556E+02, 1.351E+02, 6.169E+02, 1.369E+02
 2.400E+02, 5.585E+02, 1.327E+02, 6.195E+02, 1.309E+02
 2.500E+02, 5.611E+02, 1.303E+02, 6.219E+02, 1.250E+02
 2.600E+02, 5.636E+02, 1.278E+02, 6.241E+02, 1.201E+02
 2.700E+02, 5.659E+02, 1.248E+02, 6.261E+02, 1.176E+02
 2.800E+02, 5.680E+02, 1.210E+02, 6.280E+02, 1.152E+02
 2.900E+02, 5.700E+02, 1.172E+02, 6.298E+02, 1.130E+02
 3.000E+02, 5.718E+02, 1.134E+02, 6.314E+02, 1.129E+02
 3.100E+02, 5.735E+02, 1.097E+02, 6.329E+02, 1.137E+02
 3.200E+02, 5.751E+02, 1.059E+02, 6.343E+02, 1.154E+02
 3.300E+02, 5.766E+02, 1.021E+02, 6.356E+02, 1.185E+02
 3.400E+02, 5.780E+02, 9.817E+01, 6.368E+02, 1.222E+02
 3.500E+02, 5.792E+02, 9.401E+01, 6.379E+02, 1.296E+02
 3.600E+02, 5.804E+02, 9.127E+01, 6.389E+02, 1.377E+02
