s,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_4p80_020,HRRPUA-CONE_4p80_020,WALL TEMPERATURE-CONE_4p80_025,HRRPUA-CONE_4p80_025
 7.700E+02, 4.345E+02, 1.856E+00, 4.829E+02, 3.570E+00
 7.800E+02, 4.346E+02, 1.862E+00, 4.829E+02, 3.618E+00
 7.900E+02, 4.348E+02, 1.868E+00, 4.830E+02, 3.666E+00
 8.000E+02, 4.349E+02, 1.875E+00, 4.831E+02, 3.715E+00
 8.100E+02, 4.350E+02, 1.881E+00, 4.832E+02, 3.776E+00
 8.200E+02, 4.351E+02, 1.887E+00, 4.832E+02, 3.840E+00
 8.300E+02, 4.352E+02, 1.894E+00, 4.833E+02, 3.904E+00
 8.400E+02, 4.353E+02, 1.901E+00, 4.833E+02, 3.968E+00
 8.500E+02, 4.354E+02, 1.936E+00, 4.834E+02, 4.032E+00
 8.600E+02, 4.354E+02, 1.980E+00, 4.834E+02, 4.096E+00
 8.700E+02, 4.355E+02, 2.024E+00, 4.835E+02, 4.160E+00
 8.800E+02, 4.356E+02, 2.068E+00, 4.835E+02, 4.225E+00
 8.900E+02, 4.356E+02, 2.112E+00, 4.835E+02, 4.301E+00
 9.000E+02, 4.357E+02, 2.156E+00, 4.836E+02, 4.381E+00
 9.100E+02, 4.358E+02, 2.200E+00, 4.836E+02, 4.461E+00
 9.200E+02, 4.358E+02, 2.244E+00, 4.836E+02, 4.541E+00
 9.300E+02, 4.359E+02, 2.288E+00, 4.837E+02, 4.621E+00
 9.400E+02, 4.359E+02, 2.332E+00, 4.837E+02, 4.701E+00
 9.500E+02, 4.359E+02, 2.376E+00, 4.837E+02, 4.781E+00
 9.600E+02, 4.360E+02, 2.420E+00, 4.837E+02, 3.317E+00
 9.700E+02, 4.360E+02, 2.464E+00, 4.837E+02, 0.000E+00
 9.800E+02, 4.360E+02, 2.512E+00, 4.838E+02, 0.000E+00
 9.900E+02, 4.361E+02, 2.562E+00, 4.838E+02, 0.000E+00
 1.000E+03, 4.361E+02, 2.612E+00, 4.838E+02, 0.000E+00
 1.010E+03, 4.361E+02, 2.662E+00, 4.838E+02, 0.000E+00
 1.020E+03, 4.362E+02, 2.713E+00, 4.838E+02, 0.000E+00
 1.030E+03, 4.362E+02, 2.763E+00, 4.838E+02, 0.000E+00
 1.040E+03, 4.362E+02, 2.813E+00, 4.838E+02, 0.000E+00
 1.050E+03, 4.362E+02, 2.864E+00, 4.838E+02, 0.000E+00
 1.060E+03, 4.362E+02, 2.914E+00, 4.839E+02, 0.000E+00
 1.070E+03, 4.363E+02, 2.964E+00, 4.839E+02, 0.000E+00
 1.080E+03, 4.363E+02, 3.014E+00, 4.839E+02, 0.000E+00
 1.090E+03, 4.363E+02, 3.065E+00, 4.839E+02, 0.000E+00
 1.100E+03, 4.363E+02, 3.115E+00, 4.839E+02, 0.000E+00
 1.110E+03, 4.363E+02, 3.162E+00, 4.839E+02, 0.000E+00
 1.120E+03, 4.363E+02, 3.206E+00, 4.839E+02, 0.000E+00
 1.130E+03, 4.363E+02, 3.250E+00, 4.839E+02, 0.000E+00
 1.140E+03, 4.364E+02, 3.294E+00, 4.839E+02, 0.000E+00
 1.150E+03, 4.364E+02, 3.338E+00, 4.839E+02, 0.000E+00
 1.160E+03, 4.364E+02, 3.382E+00, 4.839E+02, 0.000E+00
 1.170E+03, 4.364E+02, 3.426E+00, 4.839E+02, 0.000E+00
 1.180E+03, 4.364E+02, 3.470E+00, 4.839E+02, 0.000E+00
 1.190E+03, 4.364E+02, 3.514E+00, 4.839E+02, 0.000E+00
 1.200E+03, 4.364E+02, 3.558E+00, 4.839E+02, 0.000E+00
 1.210E+03, 4.364E+02, 3.602E+00, 4.839E+02, 0.000E+00
 1.220E+03, 4.364E+02, 3.646E+00, 4.839E+02, 0.000E+00
 1.230E+03, 4.364E+02, 3.690E+00, 4.839E+02, 0.000E+00
 1.240E+03, 4.364E+02, 3.739E+00, 4.839E+02, 0.000E+00
 1.250E+03, 4.364E+02, 3.795E+00, 4.839E+02, 0.000E+00
 1.260E+03, 4.364E+02, 3.852E+00, 4.839E+02, 0.000E+00
 1.270E+03, 4.364E+02, 3.908E+00, 4.839E+02, 0.000E+00
 1.280E+03, 4.364E+02, 3.965E+00, 4.839E+02, 0.000E+00
 1.290E+03, 4.364E+02, 4.021E+00, 4.840E+02, 0.000E+00
 1.300E+03, 4.364E+02, 4.078E+00, 4.840E+02, 0.000E+00
 1.310E+03, 4.365E+02, 4.134E+00, 4.840E+02, 0.000E+00
 1.320E+03, 4.365E+02, 4.191E+00, 4.840E+02, 0.000E+00
 1.330E+03, 4.365E+02, 4.248E+00, 4.840E+02, 0.000E+00
 1.340E+03, 4.365E+02, 4.304E+00, 4.840E+02, 0.000E+00
 1.350E+03, 4.365E+02, 4.361E+00, 4.840E+02, 0.000E+00
 1.360E+03, 4.365E+02, 4.417E+00, 4.840E+02, 0.000E+00
 1.370E+03, 4.365E+02, 4.477E+00, 4.840E+02, 0.000E+00
 1.380E+03, 4.365E+02, 4.545E+00, 4.840E+02, 0.000E+00
 1.390E+03, 4.365E+02, 4.614E+00, 4.840E+02, 0.000E+00
 1.400E+03, 4.365E+02, 4.683E+00, 4.840E+02, 0.000E+00
 1.410E+03, 4.365E+02, 4.753E+00, 4.840E+02, 0.000E+00
 1.420E+03, 4.365E+02, 4.822E+00, 4.840E+02, 0.000E+00
 1.430E+03, 4.365E+02, 4.891E+00, 4.840E+02, 0.000E+00
 1.440E+03, 4.365E+02, 4.960E+00, 4.840E+02, 0.000E+00
 1.450E+03, 4.365E+02, 5.029E+00, 4.840E+02, 0.000E+00
 1.460E+03, 4.365E+02, 5.098E+00, 4.840E+02, 0.000E+00
 1.470E+03, 4.365E+02, 5.167E+00, 4.840E+02, 0.000E+00
 1.480E+03, 4.365E+02, 5.237E+00, 4.840E+02, 0.000E+00
 1.490E+03, 4.365E+02, 5.306E+00, 4.840E+02, 0.000E+00
 1.500E+03, 4.365E+02, 2.978E+00, 4.840E+02, 0.000E+00
 1.510E+03, 4.365E+02, 0.000E+00, 4.840E+02, 0.000E+00
 1.520E+03, 4.365E+02, 0.000E+00, 4.840E+02, 0.000E+00
 1.530E+03, 4.365E+02, 0.000E+00, 4.840E+02, 0.000E+00
 1.540E+03, 4.365E+02, 0.000E+00, 4.840E+02, 0.000E+00
 1.550E+03, 4.365E+02, 0.000E+00, 4.840E+02, 0.000E+00
 1.560E+03, 4.365E+02, 0.000E+00, 4.840E+02, 0.000E+00
 1.570E+03, 4.365E+02, 0.000E+00, 4.840E+02, 0.000E+00
 1.580E+03, 4.365E+02, 0.000E+00, 4.840E+02, 0.000E+00
