s,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_1p19_025","HRRPUA-CONE_1p19_025","WALL TEMPERATURE-CONE_1p19_050","HRRPUA-CONE_1p19_050","WALL TEMPERATURE-CONE_1p19_075","HRRPUA-CONE_1p19_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 2.000E+00, 1.242E+02, 0.000E+00, 2.214E+02, 0.000E+00, 3.186E+02, 0.000E+00
 4.000E+00, 2.816E+02, 0.000E+00, 4.912E+02, 0.000E+00, 6.620E+02, 0.000E+00
 6.000E+00, 3.516E+02, 0.000E+00, 5.593E+02, 0.000E+00, 6.920E+02, 0.000E+00
 8.000E+00, 3.731E+02, 0.000E+00, 5.652E+02, 0.000E+00, 6.892E+02, 0.000E+00
 1.000E+01, 3.904E+02, 0.000E+00, 5.797E+02, 0.000E+00, 7.038E+02, 0.000E+00
 1.200E+01, 4.013E+02, 0.000E+00, 5.867E+02, 0.000E+00, 7.070E+02, 0.000E+00
 1.400E+01, 4.105E+02, 0.000E+00, 5.946E+02, 0.000E+00, 7.146E+02, 0.000E+00
 1.600E+01, 4.178E+02, 0.000E+00, 5.999E+02, 0.000E+00, 7.183E+02, 0.000E+00
 1.800E+01, 4.241E+02, 0.000E+00, 6.050E+02, 0.000E+00, 7.229E+02, 0.000E+00
 2.000E+01, 4.294E+02, 0.000E+00, 6.091E+02, 0.000E+00, 7.260E+02, 1.813E+01
 2.200E+01, 4.343E+02, 0.000E+00, 6.130E+02, 0.000E+00, 7.294E+02, 6.218E+01
 2.400E+01, 4.385E+02, 0.000E+00, 6.162E+02, 0.000E+00, 7.321E+02, 1.362E+02
 2.600E+01, 4.422E+02, 0.000E+00, 6.191E+02, 0.000E+00, 7.345E+02, 2.488E+02
 2.800E+01, 4.456E+02, 0.000E+00, 6.217E+02, 0.000E+00, 7.367E+02, 3.698E+02
 3.000E+01, 4.487E+02, 0.000E+00, 6.241E+02, 0.000E+00, 7.387E+02, 4.571E+02
 3.200E+01, 4.513E+02, 0.000E+00, 6.261E+02, 0.000E+00, 7.404E+02, 4.838E+02
 3.400E+01, 4.538E+02, 0.000E+00, 6.280E+02, 0.000E+00, 7.419E+02, 4.499E+02
 3.600E+01, 4.561E+02, 0.000E+00, 6.297E+02, 0.000E+00, 7.433E+02, 3.820E+02
 3.800E+01, 4.581E+02, 0.000E+00, 6.312E+02, 0.000E+00, 7.446E+02, 3.043E+02
 4.000E+01, 4.599E+02, 0.000E+00, 6.325E+02, 0.000E+00, 7.457E+02, 2.382E+02
 4.200E+01, 4.616E+02, 0.000E+00, 6.338E+02, 0.000E+00, 7.468E+02, 1.843E+02
 4.400E+01, 4.632E+02, 0.000E+00, 6.350E+02, 4.491E+00, 7.477E+02, 1.421E+02
 4.600E+01, 4.646E+02, 0.000E+00, 6.360E+02, 8.798E+00, 7.486E+02, 1.157E+02
 4.800E+01, 4.660E+02, 0.000E+00, 6.370E+02, 1.387E+01, 7.494E+02, 9.630E+01
 5.000E+01, 4.672E+02, 0.000E+00, 6.379E+02, 2.228E+01, 7.502E+02, 7.729E+01
 5.200E+01, 4.684E+02, 0.000E+00, 6.388E+02, 5.132E+01, 7.509E+02, 6.467E+01
 5.400E+01, 4.694E+02, 0.000E+00, 6.396E+02, 1.114E+02, 7.516E+02, 5.338E+01
 5.600E+01, 4.704E+02, 0.000E+00, 6.403E+02, 1.899E+02, 7.522E+02, 4.673E+01
 5.800E+01, 4.714E+02, 0.000E+00, 6.411E+02, 2.724E+02, 7.528E+02, 4.216E+01
 6.000E+01, 4.723E+02, 0.000E+00, 6.417E+02, 3.421E+02, 7.533E+02, 3.774E+01
 6.200E+01, 4.731E+02, 0.000E+00, 6.423E+02, 3.852E+02, 7.538E+02, 3.334E+01
 6.400E+01, 4.739E+02, 0.000E+00, 6.429E+02, 3.978E+02, 7.543E+02, 2.981E+01
 6.600E+01, 4.747E+02, 0.000E+00, 6.435E+02, 3.829E+02, 7.548E+02, 2.779E+01
 6.800E+01, 4.754E+02, 0.000E+00, 6.440E+02, 3.458E+02, 7.552E+02, 2.585E+01
 7.000E+01, 4.761E+02, 0.000E+00, 6.445E+02, 3.018E+02, 7.556E+02, 2.391E+01
 7.200E+01, 4.767E+02, 0.000E+00, 6.450E+02, 2.558E+02, 7.560E+02, 2.197E+01
 7.400E+01, 4.773E+02, 0.000E+00, 6.454E+02, 2.101E+02, 7.564E+02, 2.003E+01
 7.600E+01, 4.779E+02, 0.000E+00, 6.458E+02, 1.727E+02, 7.567E+02, 1.809E+01
 7.800E+01, 4.784E+02, 0.000E+00, 6.462E+02, 1.386E+02, 7.570E+02, 1.654E+01
 8.000E+01, 4.790E+02, 0.000E+00, 6.466E+02, 1.109E+02, 7.573E+02, 1.545E+01
 8.200E+01, 4.795E+02, 0.000E+00, 6.470E+02, 8.779E+01, 7.576E+02, 1.437E+01
 8.400E+01, 4.799E+02, 0.000E+00, 6.473E+02, 6.477E+01, 7.579E+02, 1.329E+01
 8.600E+01, 4.804E+02, 0.000E+00, 6.477E+02, 4.802E+01, 7.582E+02, 1.221E+01
 8.800E+01, 4.808E+02, 0.000E+00, 6.480E+02, 3.626E+01, 7.585E+02, 1.113E+01
 9.000E+01, 4.812E+02, 0.000E+00, 6.483E+02, 3.035E+01, 7.587E+02, 1.005E+01
 9.200E+01, 4.816E+02, 0.000E+00, 6.485E+02, 2.664E+01, 7.589E+02, 9.359E+00
 9.400E+01, 4.820E+02, 0.000E+00, 6.488E+02, 2.347E+01, 7.592E+02, 8.958E+00
 9.600E+01, 4.824E+02, 0.000E+00, 6.491E+02, 2.149E+01, 7.594E+02, 8.561E+00
