s,kW/m2,kW/m2
Time,"HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00
 8.000E+00, 0.000E+00, 0.000E+00
 1.200E+01, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00
 2.400E+01, 0.000E+00, 0.000E+00
 2.800E+01, 0.000E+00, 0.000E+00
 3.200E+01, 0.000E+00, 0.000E+00
 3.600E+01, 0.000E+00, 0.000E+00
 4.000E+01, 0.000E+00, 0.000E+00
 4.400E+01, 0.000E+00, 0.000E+00
 4.800E+01, 0.000E+00, 0.000E+00
 5.200E+01, 0.000E+00, 2.393E+02
 5.600E+01, 0.000E+00, 2.429E+02
 6.000E+01, 0.000E+00, 2.461E+02
 6.400E+01, 0.000E+00, 2.514E+02
 6.800E+01, 0.000E+00, 2.599E+02
 7.200E+01, 0.000E+00, 2.670E+02
 7.600E+01, 0.000E+00, 2.632E+02
 8.000E+01, 8.860E+01, 2.507E+02
 8.400E+01, 1.790E+02, 2.393E+02
 8.800E+01, 1.812E+02, 2.316E+02
 9.200E+01, 1.832E+02, 2.250E+02
 9.600E+01, 1.855E+02, 2.178E+02
 1.000E+02, 1.890E+02, 2.101E+02
 1.040E+02, 1.940E+02, 2.038E+02
 1.080E+02, 1.989E+02, 1.999E+02
 1.120E+02, 1.997E+02, 1.961E+02
 1.160E+02, 1.952E+02, 1.890E+02
 1.200E+02, 1.878E+02, 1.795E+02
 1.240E+02, 1.810E+02, 1.715E+02
 1.280E+02, 1.760E+02, 1.662E+02
 1.320E+02, 1.722E+02, 1.610E+02
 1.360E+02, 1.685E+02, 1.534E+02
 1.400E+02, 1.645E+02, 1.440E+02
 1.440E+02, 1.602E+02, 1.353E+02
 1.480E+02, 1.560E+02, 1.279E+02
 1.520E+02, 1.525E+02, 1.212E+02
 1.560E+02, 1.502E+02, 1.158E+02
 1.600E+02, 1.484E+02, 1.113E+02
 1.640E+02, 1.458E+02, 1.080E+02
 1.680E+02, 1.417E+02, 1.062E+02
 1.720E+02, 1.364E+02, 1.045E+02
 1.760E+02, 1.312E+02, 1.015E+02
 1.800E+02, 1.273E+02, 9.778E+01
 1.840E+02, 1.244E+02, 9.472E+01
