s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_0p50_015","HRRPUA-CONE_0p50_015","WALL TEMPERATURE-CONE_0p50_020","HRRPUA-CONE_0p50_020","WALL TEMPERATURE-CONE_0p50_025","HRRPUA-CONE_0p50_025","WALL TEMPERATURE-CONE_0p50_035","HRRPUA-CONE_0p50_035","WALL TEMPERATURE-CONE_0p50_050","HRRPUA-CONE_0p50_050","WALL TEMPERATURE-CONE_0p50_075","HRRPUA-CONE_0p50_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.244E+02, 0.000E+00, 1.556E+02, 0.000E+00, 1.858E+02, 0.000E+00, 2.436E+02, 0.000E+00, 3.228E+02, 2.035E-01, 4.363E+02, 1.164E+00
 2.000E+01, 2.569E+02, 0.000E+00, 3.205E+02, 0.000E+00, 3.775E+02, 0.000E+00, 4.740E+02, 1.552E+00, 5.851E+02, 5.647E+01, 7.161E+02, 2.058E+02
 3.000E+01, 3.148E+02, 0.000E+00, 3.816E+02, 0.000E+00, 4.375E+02, 0.000E+00, 5.259E+02, 6.735E+01, 6.238E+02, 1.974E+02, 7.405E+02, 2.439E+02
 4.000E+01, 3.420E+02, 0.000E+00, 4.064E+02, 0.000E+00, 4.592E+02, 5.709E+01, 5.420E+02, 1.287E+02, 6.352E+02, 1.630E+02, 7.486E+02, 9.499E+01
 5.000E+01, 3.564E+02, 0.000E+00, 4.187E+02, 3.523E+01, 4.696E+02, 1.119E+02, 5.498E+02, 1.279E+02, 6.411E+02, 9.055E+01, 7.530E+02, 3.238E+01
 6.000E+01, 3.649E+02, 0.000E+00, 4.257E+02, 9.172E+01, 4.755E+02, 1.032E+02, 5.543E+02, 8.597E+01, 6.445E+02, 4.102E+01, 7.556E+02, 2.314E+01
 7.000E+01, 3.702E+02, 0.000E+00, 4.301E+02, 7.791E+01, 4.792E+02, 6.914E+01, 5.571E+02, 4.766E+01, 6.466E+02, 2.130E+01, 7.572E+02, 2.237E+01
 8.000E+01, 3.737E+02, 0.000E+00, 4.329E+02, 4.597E+01, 4.815E+02, 4.263E+01, 5.589E+02, 2.931E+01, 6.480E+02, 1.583E+01, 7.582E+02, 2.160E+01
 9.000E+01, 3.760E+02, 2.178E+00, 4.347E+02, 3.245E+01, 4.831E+02, 2.966E+01, 5.601E+02, 1.791E+01, 6.488E+02, 1.490E+01, 7.588E+02, 2.077E+01
 1.000E+02, 3.776E+02, 4.845E+01, 4.360E+02, 2.397E+01, 4.841E+02, 2.173E+01, 5.608E+02, 1.123E+01, 6.494E+02, 1.404E+01, 7.592E+02, 1.936E+01
 1.100E+02, 3.787E+02, 9.042E+01, 4.368E+02, 1.703E+01, 4.847E+02, 1.527E+01, 5.613E+02, 8.012E+00, 6.497E+02, 1.397E+01, 7.594E+02, 1.779E+01
 1.200E+02, 3.795E+02, 7.812E+01, 4.374E+02, 1.253E+01, 4.852E+02, 1.041E+01, 5.616E+02, 6.941E+00, 6.499E+02, 1.419E+01, 7.595E+02, 1.622E+01
 1.300E+02, 3.800E+02, 4.944E+01, 4.377E+02, 9.574E+00, 4.855E+02, 7.158E+00, 5.618E+02, 6.263E+00, 6.500E+02, 1.433E+01, 7.596E+02, 1.466E+01
 1.400E+02, 3.803E+02, 3.148E+01, 4.380E+02, 7.825E+00, 4.857E+02, 5.190E+00, 5.619E+02, 5.581E+00, 6.501E+02, 1.384E+01, 7.597E+02, 1.309E+01
 1.500E+02, 3.806E+02, 2.261E+01, 4.381E+02, 6.140E+00, 4.858E+02, 3.973E+00, 5.620E+02, 4.992E+00, 6.502E+02, 1.321E+01, 7.597E+02, 1.152E+01
 1.600E+02, 3.807E+02, 1.744E+01, 4.383E+02, 5.046E+00, 4.859E+02, 3.283E+00, 5.620E+02, 4.918E+00, 6.502E+02, 1.258E+01, 7.597E+02, 9.951E+00
 1.700E+02, 3.808E+02, 1.350E+01, 4.383E+02, 4.070E+00, 4.859E+02, 3.302E+00, 5.621E+02, 4.919E+00, 6.502E+02, 1.194E+01, 7.597E+02, 8.465E+00
 1.800E+02, 3.809E+02, 1.063E+01, 4.384E+02, 3.080E+00, 4.859E+02, 3.328E+00, 5.621E+02, 4.920E+00, 6.502E+02, 1.131E+01, 7.597E+02, 7.473E+00
 1.900E+02, 3.810E+02, 8.479E+00, 4.384E+02, 2.189E+00, 4.860E+02, 3.353E+00, 5.621E+02, 4.915E+00, 6.502E+02, 1.069E+01, 7.598E+02, 6.563E+00
 2.000E+02, 3.810E+02, 7.540E+00, 4.384E+02, 1.835E+00, 4.860E+02, 3.385E+00, 5.621E+02, 4.858E+00, 6.503E+02, 1.025E+01, 7.598E+02, 5.652E+00
 2.100E+02, 3.810E+02, 6.623E+00, 4.385E+02, 1.598E+00, 4.860E+02, 3.428E+00, 5.621E+02, 4.786E+00, 6.503E+02, 9.846E+00, 7.598E+02, 4.742E+00
 2.200E+02, 3.811E+02, 5.706E+00, 4.385E+02, 1.395E+00, 4.860E+02, 3.480E+00, 5.621E+02, 4.713E+00, 6.503E+02, 9.443E+00, 7.598E+02, 3.831E+00
 2.300E+02, 3.811E+02, 4.789E+00, 4.385E+02, 1.191E+00, 4.860E+02, 3.534E+00, 5.621E+02, 4.639E+00, 6.503E+02, 9.040E+00, 7.598E+02, 2.921E+00
 2.400E+02, 3.811E+02, 3.967E+00, 4.385E+02, 9.857E-01, 4.860E+02, 3.587E+00, 5.621E+02, 4.564E+00, 6.503E+02, 8.637E+00, 7.598E+02, 2.010E+00
 2.500E+02, 3.811E+02, 3.491E+00, 4.385E+02, 7.797E-01, 4.860E+02, 3.639E+00, 5.621E+02, 4.489E+00, 6.503E+02, 8.234E+00, 7.598E+02, 1.278E+00
 2.600E+02, 3.811E+02, 3.047E+00, 4.385E+02, 5.729E-01, 4.860E+02, 3.691E+00, 5.621E+02, 4.412E+00, 6.503E+02, 7.827E+00, 7.598E+02, 1.198E+00
 2.700E+02, 3.811E+02, 2.603E+00, 4.385E+02, 4.253E-01, 4.860E+02, 3.668E+00, 5.621E+02, 4.352E+00, 6.503E+02, 7.405E+00, 7.598E+02, 1.179E+00
 2.800E+02, 3.811E+02, 2.159E+00, 4.385E+02, 4.466E-01, 4.860E+02, 3.583E+00, 5.621E+02, 4.314E+00, 6.503E+02, 6.981E+00, 7.598E+02, 1.159E+00
 2.900E+02, 3.811E+02, 1.727E+00, 4.385E+02, 4.734E-01, 4.860E+02, 3.497E+00, 5.621E+02, 4.275E+00, 6.503E+02, 6.556E+00, 7.598E+02, 1.140E+00
 3.000E+02, 3.811E+02, 1.572E+00, 4.385E+02, 4.917E-01, 4.860E+02, 3.419E+00, 5.621E+02, 4.235E+00, 6.503E+02, 6.132E+00, 7.598E+02, 1.121E+00
 3.100E+02, 3.811E+02, 1.537E+00, 4.385E+02, 5.098E-01, 4.860E+02, 3.388E+00, 5.621E+02, 4.194E+00, 6.503E+02, 5.708E+00, 7.598E+02, 1.101E+00
