s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_4p80_015,HRRPUA-CONE_4p80_015,WALL TEMPERATURE-CONE_4p80_035,HRRPUA-CONE_4p80_035,WALL TEMPERATURE-CONE_4p80_050,HRRPUA-CONE_4p80_050,WALL TEMPERATURE-CONE_4p80_075,HRRPUA-CONE_4p80_075
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 6.145E+01, 0.000E+00, 1.066E+02, 0.000E+00, 1.403E+02, 0.000E+00, 1.953E+02, 0.000E+00
 2.000E+01, 9.447E+01, 0.000E+00, 1.824E+02, 0.000E+00, 2.463E+02, 0.000E+00, 3.478E+02, 3.718E+00
 3.000E+01, 1.129E+02, 0.000E+00, 2.229E+02, 0.000E+00, 3.009E+02, 0.000E+00, 4.206E+02, 1.045E+02
 4.000E+01, 1.275E+02, 0.000E+00, 2.537E+02, 0.000E+00, 3.410E+02, 0.000E+00, 4.706E+02, 1.473E+02
 5.000E+01, 1.403E+02, 0.000E+00, 2.798E+02, 0.000E+00, 3.739E+02, 0.000E+00, 5.094E+02, 1.711E+02
 6.000E+01, 1.521E+02, 0.000E+00, 3.030E+02, 0.000E+00, 4.023E+02, 0.000E+00, 5.414E+02, 1.906E+02
 7.000E+01, 1.632E+02, 0.000E+00, 3.242E+02, 0.000E+00, 4.275E+02, 1.576E+01, 5.686E+02, 1.976E+02
 8.000E+01, 1.738E+02, 0.000E+00, 3.436E+02, 0.000E+00, 4.500E+02, 8.068E+01, 5.921E+02, 1.888E+02
 9.000E+01, 1.839E+02, 0.000E+00, 3.616E+02, 0.000E+00, 4.702E+02, 9.734E+01, 6.125E+02, 1.692E+02
 1.000E+02, 1.937E+02, 0.000E+00, 3.782E+02, 3.297E+01, 4.884E+02, 1.082E+02, 6.302E+02, 1.546E+02
 1.100E+02, 2.030E+02, 0.000E+00, 3.935E+02, 6.235E+01, 5.048E+02, 1.182E+02, 6.458E+02, 1.447E+02
 1.200E+02, 2.120E+02, 0.000E+00, 4.076E+02, 6.160E+01, 5.195E+02, 1.268E+02, 6.594E+02, 1.419E+02
 1.300E+02, 2.206E+02, 0.000E+00, 4.206E+02, 6.368E+01, 5.328E+02, 1.325E+02, 6.714E+02, 1.399E+02
 1.400E+02, 2.288E+02, 0.000E+00, 4.326E+02, 6.317E+01, 5.447E+02, 1.320E+02, 6.819E+02, 1.362E+02
 1.500E+02, 2.368E+02, 0.000E+00, 4.437E+02, 6.390E+01, 5.555E+02, 1.261E+02, 6.911E+02, 1.303E+02
 1.600E+02, 2.443E+02, 0.000E+00, 4.538E+02, 6.142E+01, 5.651E+02, 1.185E+02, 6.993E+02, 1.229E+02
 1.700E+02, 2.516E+02, 0.000E+00, 4.631E+02, 6.067E+01, 5.738E+02, 1.109E+02, 7.064E+02, 1.153E+02
 1.800E+02, 2.585E+02, 0.000E+00, 4.717E+02, 6.337E+01, 5.816E+02, 1.056E+02, 7.127E+02, 1.076E+02
 1.900E+02, 2.651E+02, 0.000E+00, 4.795E+02, 6.221E+01, 5.886E+02, 1.021E+02, 7.183E+02, 9.983E+01
 2.000E+02, 2.714E+02, 0.000E+00, 4.867E+02, 6.089E+01, 5.950E+02, 9.885E+01, 7.232E+02, 9.273E+01
 2.100E+02, 2.774E+02, 0.000E+00, 4.933E+02, 5.923E+01, 6.006E+02, 9.554E+01, 7.275E+02, 9.028E+01
 2.200E+02, 2.831E+02, 0.000E+00, 4.993E+02, 5.707E+01, 6.057E+02, 9.116E+01, 7.313E+02, 9.123E+01
 2.300E+02, 2.885E+02, 0.000E+00, 5.048E+02, 5.512E+01, 6.103E+02, 8.646E+01, 7.347E+02, 9.348E+01
 2.400E+02, 2.937E+02, 0.000E+00, 5.099E+02, 5.248E+01, 6.144E+02, 8.122E+01, 7.377E+02, 9.634E+01
 2.500E+02, 2.986E+02, 0.000E+00, 5.145E+02, 5.108E+01, 6.181E+02, 7.771E+01, 7.403E+02, 1.043E+02
 2.600E+02, 3.033E+02, 0.000E+00, 5.187E+02, 4.817E+01, 6.215E+02, 7.639E+01, 7.426E+02, 1.187E+02
 2.700E+02, 3.077E+02, 3.377E-01, 5.225E+02, 4.053E+01, 6.244E+02, 7.628E+01, 7.446E+02, 1.355E+02
 2.800E+02, 3.119E+02, 2.064E+00, 5.261E+02, 3.731E+01, 6.271E+02, 7.567E+01, 7.464E+02, 1.502E+02
 2.900E+02, 3.159E+02, 5.231E+00, 5.293E+02, 3.676E+01, 6.295E+02, 7.458E+01, 7.480E+02, 1.536E+02
 3.000E+02, 3.197E+02, 1.875E+01, 5.322E+02, 3.660E+01, 6.317E+02, 7.281E+01, 7.494E+02, 1.456E+02
 3.100E+02, 3.232E+02, 3.432E+01, 5.349E+02, 3.644E+01, 6.337E+02, 6.997E+01, 7.507E+02, 1.326E+02
 3.200E+02, 3.266E+02, 3.932E+01, 5.373E+02, 3.629E+01, 6.354E+02, 6.696E+01, 7.518E+02, 1.168E+02
 3.300E+02, 3.298E+02, 3.910E+01, 5.396E+02, 3.618E+01, 6.370E+02, 6.642E+01, 7.528E+02, 1.044E+02
 3.400E+02, 3.329E+02, 3.999E+01, 5.416E+02, 3.608E+01, 6.384E+02, 6.806E+01, 7.536E+02, 9.480E+01
 3.500E+02, 3.357E+02, 4.175E+01, 5.435E+02, 3.576E+01, 6.397E+02, 7.408E+01, 7.544E+02, 8.588E+01
 3.600E+02, 3.385E+02, 4.329E+01, 5.452E+02, 3.535E+01, 6.408E+02, 8.125E+01, 7.551E+02, 8.017E+01
 3.700E+02, 3.410E+02, 4.453E+01, 5.467E+02, 3.492E+01, 6.419E+02, 8.799E+01, 7.556E+02, 7.496E+01
 3.800E+02, 3.435E+02, 4.577E+01, 5.482E+02, 3.433E+01, 6.428E+02, 9.249E+01, 7.562E+02, 6.975E+01
 3.900E+02, 3.457E+02, 4.701E+01, 5.495E+02, 3.369E+01, 6.436E+02, 9.448E+01, 7.566E+02, 6.454E+01
 4.000E+02, 3.479E+02, 4.825E+01, 5.506E+02, 3.303E+01, 6.444E+02, 9.297E+01, 7.570E+02, 5.931E+01
 4.100E+02, 3.499E+02, 4.949E+01, 5.517E+02, 3.233E+01, 6.450E+02, 9.010E+01, 7.574E+02, 5.426E+01
 4.200E+02, 3.519E+02, 5.060E+01, 5.527E+02, 3.162E+01, 6.456E+02, 8.573E+01, 7.577E+02, 4.973E+01
 4.300E+02, 3.537E+02, 5.104E+01, 5.536E+02, 3.089E+01, 6.462E+02, 8.122E+01, 7.580E+02, 4.524E+01
 4.400E+02, 3.554E+02, 5.136E+01, 5.544E+02, 3.015E+01, 6.467E+02, 7.780E+01, 7.583E+02, 4.074E+01
 4.500E+02, 3.570E+02, 5.168E+01, 5.552E+02, 2.939E+01, 6.471E+02, 7.536E+01, 7.585E+02, 3.623E+01
