s,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_12p70_035","HRRPUA-CONE_12p70_035","WALL TEMPERATURE-CONE_12p70_050","HRRPUA-CONE_12p70_050","WALL TEMPERATURE-CONE_12p70_075","HRRPUA-CONE_12p70_075"
 5.400E+02, 5.404E+02, 3.730E+01, 6.314E+02, 7.956E+01, 7.437E+02, 1.081E+02
 5.500E+02, 5.405E+02, 3.835E+01, 6.314E+02, 7.319E+01, 7.438E+02, 1.077E+02
 5.600E+02, 5.406E+02, 3.940E+01, 6.315E+02, 6.762E+01, 7.438E+02, 1.072E+02
 5.700E+02, 5.406E+02, 4.045E+01, 6.315E+02, 6.351E+01, 7.438E+02, 1.068E+02
 5.800E+02, 5.407E+02, 4.139E+01, 6.315E+02, 5.950E+01, 7.438E+02, 1.054E+02
 5.900E+02, 5.407E+02, 4.086E+01, 6.316E+02, 5.624E+01, 7.438E+02, 9.695E+01
 6.000E+02, 5.408E+02, 3.988E+01, 6.316E+02, 5.586E+01, 7.438E+02, 8.615E+01
 6.100E+02, 5.408E+02, 3.889E+01, 6.316E+02, 5.578E+01, 7.438E+02, 7.768E+01
 6.200E+02, 5.408E+02, 3.790E+01, 6.316E+02, 5.664E+01, 7.439E+02, 6.972E+01
 6.300E+02, 5.409E+02, 3.691E+01, 6.316E+02, 5.939E+01, 7.439E+02, 6.175E+01
 6.400E+02, 5.409E+02, 3.592E+01, 6.316E+02, 6.330E+01, 7.439E+02, 5.376E+01
 6.500E+02, 5.409E+02, 3.493E+01, 6.317E+02, 6.809E+01, 7.439E+02, 4.577E+01
 6.600E+02, 5.409E+02, 3.394E+01, 6.317E+02, 7.173E+01, 7.439E+02, 3.907E+01
 6.700E+02, 5.409E+02, 3.300E+01, 6.317E+02, 7.011E+01, 7.439E+02, 3.353E+01
 6.800E+02, 5.410E+02, 3.254E+01, 6.317E+02, 7.882E+01, 7.439E+02, 2.806E+01
 6.900E+02, 5.410E+02, 3.220E+01, 6.317E+02, 9.321E+01, 7.439E+02, 2.448E+01
 7.000E+02, 5.410E+02, 3.187E+01, 6.317E+02, 1.064E+02, 7.439E+02, 2.170E+01
 7.100E+02, 5.410E+02, 3.225E+01, 6.317E+02, 1.130E+02, 7.439E+02, 1.891E+01
 7.200E+02, 5.410E+02, 3.348E+01, 6.317E+02, 1.191E+02, 7.439E+02, 1.612E+01
 7.300E+02, 5.410E+02, 3.510E+01, 6.317E+02, 1.237E+02, 7.439E+02, 1.387E+01
 7.400E+02, 5.410E+02, 3.776E+01, 6.317E+02, 1.280E+02, 7.439E+02, 1.369E+01
 7.500E+02, 5.410E+02, 4.048E+01, 6.317E+02, 1.298E+02, 7.439E+02, 1.371E+01
 7.600E+02, 5.411E+02, 4.321E+01, 6.317E+02, 1.277E+02, 7.439E+02, 1.373E+01
 7.700E+02, 5.411E+02, 4.593E+01, 6.317E+02, 1.223E+02, 7.439E+02, 1.376E+01
 7.800E+02, 5.411E+02, 4.916E+01, 6.317E+02, 1.168E+02, 7.439E+02, 1.378E+01
 7.900E+02, 5.411E+02, 5.472E+01, 6.317E+02, 1.113E+02, 7.439E+02, 1.380E+01
 8.000E+02, 5.411E+02, 6.014E+01, 6.317E+02, 1.044E+02, 7.439E+02, 9.304E+00
 8.100E+02, 5.411E+02, 6.255E+01, 6.317E+02, 9.141E+01, 7.439E+02, 0.000E+00
 8.200E+02, 5.411E+02, 6.433E+01, 6.317E+02, 7.094E+01, 7.439E+02, 0.000E+00
 8.300E+02, 5.411E+02, 6.585E+01, 6.317E+02, 5.646E+01, 7.439E+02, 0.000E+00
 8.400E+02, 5.411E+02, 6.652E+01, 6.317E+02, 4.761E+01, 7.439E+02, 0.000E+00
 8.500E+02, 5.411E+02, 6.711E+01, 6.317E+02, 4.165E+01, 7.439E+02, 0.000E+00
 8.600E+02, 5.411E+02, 6.770E+01, 6.317E+02, 3.686E+01, 7.439E+02, 0.000E+00
 8.700E+02, 5.411E+02, 6.842E+01, 6.317E+02, 3.310E+01, 7.439E+02, 0.000E+00
 8.800E+02, 5.411E+02, 6.983E+01, 6.317E+02, 3.066E+01, 7.439E+02, 0.000E+00
 8.900E+02, 5.411E+02, 7.141E+01, 6.317E+02, 2.840E+01, 7.439E+02, 0.000E+00
 9.000E+02, 5.411E+02, 7.543E+01, 6.317E+02, 2.638E+01, 7.439E+02, 0.000E+00
 9.100E+02, 5.411E+02, 8.118E+01, 6.317E+02, 2.515E+01, 7.439E+02, 0.000E+00
 9.200E+02, 5.411E+02, 8.727E+01, 6.317E+02, 2.408E+01, 7.439E+02, 0.000E+00
 9.300E+02, 5.411E+02, 9.333E+01, 6.317E+02, 2.304E+01, 7.439E+02, 0.000E+00
 9.400E+02, 5.411E+02, 9.581E+01, 6.317E+02, 2.201E+01, 7.439E+02, 0.000E+00
 9.500E+02, 5.411E+02, 9.715E+01, 6.317E+02, 2.094E+01, 7.439E+02, 0.000E+00
 9.600E+02, 5.411E+02, 9.886E+01, 6.317E+02, 1.996E+01, 7.439E+02, 0.000E+00
 9.700E+02, 5.411E+02, 1.049E+02, 6.317E+02, 1.932E+01, 7.439E+02, 0.000E+00
 9.800E+02, 5.411E+02, 1.114E+02, 6.317E+02, 1.871E+01, 7.439E+02, 0.000E+00
 9.900E+02, 5.411E+02, 1.153E+02, 6.317E+02, 1.809E+01, 7.439E+02, 0.000E+00
 1.000E+03, 5.411E+02, 1.190E+02, 6.317E+02, 1.769E+01, 7.439E+02, 0.000E+00
 1.010E+03, 5.411E+02, 1.250E+02, 6.317E+02, 1.734E+01, 7.439E+02, 0.000E+00
 1.020E+03, 5.411E+02, 1.315E+02, 6.317E+02, 1.698E+01, 7.439E+02, 0.000E+00
 1.030E+03, 5.411E+02, 1.375E+02, 6.317E+02, 1.662E+01, 7.439E+02, 0.000E+00
 1.040E+03, 5.411E+02, 1.407E+02, 6.317E+02, 1.624E+01, 7.439E+02, 0.000E+00
 1.050E+03, 5.411E+02, 1.435E+02, 6.317E+02, 1.586E+01, 7.439E+02, 0.000E+00
 1.060E+03, 5.411E+02, 1.463E+02, 6.317E+02, 1.547E+01, 7.439E+02, 0.000E+00
 1.070E+03, 5.411E+02, 1.492E+02, 6.317E+02, 1.507E+01, 7.439E+02, 0.000E+00
