s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-35","HRRPUA-50","HRRPUA-65"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.209E-01
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.099E+01
 4.000E+01, 0.000E+00, 0.000E+00, 1.838E+00, 3.816E+01
 5.000E+01, 0.000E+00, 0.000E+00, 1.658E+01, 6.480E+01
 6.000E+01, 0.000E+00, 0.000E+00, 3.541E+01, 8.072E+01
 7.000E+01, 0.000E+00, 0.000E+00, 5.363E+01, 8.040E+01
 8.000E+01, 0.000E+00, 0.000E+00, 6.489E+01, 7.106E+01
 9.000E+01, 0.000E+00, 0.000E+00, 6.884E+01, 6.510E+01
 1.000E+02, 0.000E+00, 9.257E-01, 6.226E+01, 6.312E+01
 1.100E+02, 0.000E+00, 9.000E+00, 5.689E+01, 6.279E+01
 1.200E+02, 0.000E+00, 2.070E+01, 5.329E+01, 6.229E+01
 1.300E+02, 0.000E+00, 3.219E+01, 5.211E+01, 6.137E+01
 1.400E+02, 0.000E+00, 4.336E+01, 5.184E+01, 6.040E+01
 1.500E+02, 0.000E+00, 5.014E+01, 5.167E+01, 5.994E+01
 1.600E+02, 0.000E+00, 5.448E+01, 5.113E+01, 6.042E+01
 1.700E+02, 0.000E+00, 5.198E+01, 5.043E+01, 6.140E+01
 1.800E+02, 0.000E+00, 4.770E+01, 4.981E+01, 6.286E+01
 1.900E+02, 0.000E+00, 4.462E+01, 4.946E+01, 6.462E+01
 2.000E+02, 0.000E+00, 4.212E+01, 4.972E+01, 6.652E+01
 2.100E+02, 0.000E+00, 4.122E+01, 5.028E+01, 6.875E+01
 2.200E+02, 0.000E+00, 4.069E+01, 5.107E+01, 7.131E+01
 2.300E+02, 0.000E+00, 4.066E+01, 5.218E+01, 7.401E+01
 2.400E+02, 0.000E+00, 4.055E+01, 5.339E+01, 7.689E+01
 2.500E+02, 0.000E+00, 4.023E+01, 5.466E+01, 8.015E+01
 2.600E+02, 0.000E+00, 3.984E+01, 5.614E+01, 8.422E+01
 2.700E+02, 0.000E+00, 3.938E+01, 5.780E+01, 8.988E+01
 2.800E+02, 0.000E+00, 3.903E+01, 5.960E+01, 9.866E+01
 2.900E+02, 0.000E+00, 3.879E+01, 6.146E+01, 1.115E+02
 3.000E+02, 0.000E+00, 3.887E+01, 6.343E+01, 1.261E+02
 3.100E+02, 0.000E+00, 3.913E+01, 6.559E+01, 1.384E+02
 3.200E+02, 0.000E+00, 3.954E+01, 6.817E+01, 1.435E+02
 3.300E+02, 0.000E+00, 4.003E+01, 7.152E+01, 1.427E+02
 3.400E+02, 0.000E+00, 4.071E+01, 7.591E+01, 1.443E+02
 3.500E+02, 0.000E+00, 4.143E+01, 8.236E+01, 1.477E+02
