s,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_42p00_015,HRRPUA-CONE_42p00_015,WALL TEMPERATURE-CONE_42p00_020,HRRPUA-CONE_42p00_020
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.634E+02, 0.000E+00, 2.043E+02, 0.000E+00
 2.000E+01, 2.576E+02, 0.000E+00, 3.176E+02, 0.000E+00
 3.000E+01, 2.896E+02, 0.000E+00, 3.515E+02, 0.000E+00
 4.000E+01, 3.077E+02, 0.000E+00, 3.697E+02, 0.000E+00
 5.000E+01, 3.193E+02, 0.000E+00, 3.810E+02, 0.000E+00
 6.000E+01, 3.275E+02, 0.000E+00, 3.887E+02, 2.260E+00
 7.000E+01, 3.336E+02, 0.000E+00, 3.945E+02, 8.901E+01
 8.000E+01, 3.385E+02, 0.000E+00, 3.991E+02, 1.660E+02
 9.000E+01, 3.425E+02, 0.000E+00, 4.029E+02, 1.159E+02
 1.000E+02, 3.459E+02, 1.386E+01, 4.062E+02, 5.340E+01
 1.100E+02, 3.490E+02, 9.518E+01, 4.090E+02, 2.214E+01
 1.200E+02, 3.516E+02, 1.298E+02, 4.115E+02, 1.257E+01
 1.300E+02, 3.540E+02, 8.957E+01, 4.138E+02, 7.875E+00
 1.400E+02, 3.562E+02, 5.530E+01, 4.158E+02, 5.914E+00
 1.500E+02, 3.582E+02, 4.077E+01, 4.177E+02, 4.703E+00
 1.600E+02, 3.600E+02, 3.470E+01, 4.194E+02, 4.149E+00
 1.700E+02, 3.617E+02, 3.363E+01, 4.210E+02, 3.598E+00
 1.800E+02, 3.633E+02, 3.292E+01, 4.224E+02, 3.047E+00
 1.900E+02, 3.647E+02, 3.220E+01, 4.238E+02, 2.495E+00
 2.000E+02, 3.661E+02, 3.111E+01, 4.251E+02, 1.944E+00
 2.100E+02, 3.673E+02, 2.783E+01, 4.262E+02, 1.391E+00
 2.200E+02, 3.685E+02, 2.415E+01, 4.273E+02, 8.390E-01
 2.300E+02, 3.696E+02, 2.047E+01, 4.284E+02, 4.325E-01
 2.400E+02, 3.706E+02, 1.679E+01, 4.293E+02, 4.119E-01
 2.500E+02, 3.716E+02, 1.429E+01, 4.302E+02, 4.119E-01
 2.600E+02, 3.725E+02, 1.291E+01, 4.310E+02, 4.119E-01
 2.700E+02, 3.734E+02, 1.154E+01, 4.318E+02, 4.120E-01
 2.800E+02, 3.742E+02, 1.016E+01, 4.326E+02, 4.120E-01
 2.900E+02, 3.749E+02, 8.785E+00, 4.332E+02, 4.120E-01
 3.000E+02, 3.756E+02, 7.410E+00, 4.339E+02, 4.120E-01
 3.100E+02, 3.763E+02, 6.237E+00, 4.345E+02, 4.120E-01
 3.200E+02, 3.769E+02, 5.628E+00, 4.351E+02, 4.121E-01
 3.300E+02, 3.775E+02, 5.053E+00, 4.356E+02, 4.121E-01
 3.400E+02, 3.780E+02, 4.478E+00, 4.361E+02, 4.121E-01
 3.500E+02, 3.785E+02, 3.903E+00, 4.366E+02, 4.121E-01
 3.600E+02, 3.790E+02, 3.328E+00, 4.370E+02, 4.121E-01
 3.700E+02, 3.795E+02, 2.753E+00, 4.374E+02, 4.121E-01
 3.800E+02, 3.799E+02, 2.178E+00, 4.378E+02, 4.121E-01
 3.900E+02, 3.803E+02, 1.626E+00, 4.381E+02, 4.122E-01
 4.000E+02, 3.807E+02, 1.450E+00, 4.385E+02, 4.122E-01
