s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_13p40_030,HRRPUA-CONE_13p40_030,WALL TEMPERATURE-CONE_13p40_035,HRRPUA-CONE_13p40_035,WALL TEMPERATURE-CONE_13p40_050,HRRPUA-CONE_13p40_050,WALL TEMPERATURE-CONE_13p40_075,HRRPUA-CONE_13p40_075
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.030E+02, 0.000E+00, 1.156E+02, 0.000E+00, 1.528E+02, 0.000E+00, 2.135E+02, 5.773E+01
 2.000E+01, 1.755E+02, 0.000E+00, 1.995E+02, 0.000E+00, 2.695E+02, 3.313E+01, 3.794E+02, 1.428E+02
 3.000E+01, 2.147E+02, 6.691E-01, 2.442E+02, 2.730E+01, 3.288E+02, 8.576E+01, 4.556E+02, 7.442E+01
 4.000E+01, 2.435E+02, 2.307E+01, 2.765E+02, 7.717E+01, 3.696E+02, 7.843E+01, 5.039E+02, 3.703E+01
 5.000E+01, 2.660E+02, 5.605E+01, 3.015E+02, 7.084E+01, 3.999E+02, 4.778E+01, 5.372E+02, 2.679E+01
 6.000E+01, 2.844E+02, 6.976E+01, 3.216E+02, 4.470E+01, 4.232E+02, 3.157E+01, 5.615E+02, 1.509E+01
 7.000E+01, 2.998E+02, 5.076E+01, 3.382E+02, 2.656E+01, 4.418E+02, 2.219E+01, 5.799E+02, 1.331E+01
 8.000E+01, 3.129E+02, 2.827E+01, 3.522E+02, 1.638E+01, 4.570E+02, 1.896E+01, 5.946E+02, 1.223E+01
 9.000E+01, 3.243E+02, 1.672E+01, 3.643E+02, 1.088E+01, 4.699E+02, 1.764E+01, 6.066E+02, 1.172E+01
 1.000E+02, 3.344E+02, 1.124E+01, 3.748E+02, 7.800E+00, 4.808E+02, 1.714E+01, 6.166E+02, 1.231E+01
 1.100E+02, 3.433E+02, 6.579E+00, 3.841E+02, 7.052E+00, 4.903E+02, 1.703E+01, 6.252E+02, 1.292E+01
 1.200E+02, 3.514E+02, 4.130E+00, 3.924E+02, 5.476E+00, 4.986E+02, 1.718E+01, 6.326E+02, 1.354E+01
 1.300E+02, 3.587E+02, 3.401E+00, 3.999E+02, 4.207E+00, 5.061E+02, 1.745E+01, 6.392E+02, 1.415E+01
 1.400E+02, 3.654E+02, 3.134E+00, 4.067E+02, 3.756E+00, 5.127E+02, 1.763E+01, 6.451E+02, 1.476E+01
 1.500E+02, 3.715E+02, 2.866E+00, 4.130E+02, 3.689E+00, 5.188E+02, 1.776E+01, 6.503E+02, 1.538E+01
 1.600E+02, 3.772E+02, 2.597E+00, 4.187E+02, 3.643E+00, 5.243E+02, 1.766E+01, 6.551E+02, 1.599E+01
 1.700E+02, 3.825E+02, 2.328E+00, 4.240E+02, 3.595E+00, 5.294E+02, 1.751E+01, 6.595E+02, 1.644E+01
 1.800E+02, 3.874E+02, 2.056E+00, 4.290E+02, 3.547E+00, 5.341E+02, 1.739E+01, 6.636E+02, 1.665E+01
 1.900E+02, 3.921E+02, 1.784E+00, 4.336E+02, 3.499E+00, 5.384E+02, 1.731E+01, 6.673E+02, 1.687E+01
 2.000E+02, 3.964E+02, 1.544E+00, 4.380E+02, 3.486E+00, 5.425E+02, 1.726E+01, 6.709E+02, 1.708E+01
 2.100E+02, 4.006E+02, 1.547E+00, 4.421E+02, 3.542E+00, 5.464E+02, 1.735E+01, 6.742E+02, 1.729E+01
 2.200E+02, 4.045E+02, 1.599E+00, 4.460E+02, 3.599E+00, 5.500E+02, 1.747E+01, 6.773E+02, 1.750E+01
 2.300E+02, 4.082E+02, 1.651E+00, 4.497E+02, 3.701E+00, 5.534E+02, 1.759E+01, 6.803E+02, 1.771E+01
 2.400E+02, 4.118E+02, 1.703E+00, 4.533E+02, 3.837E+00, 5.567E+02, 1.770E+01, 6.831E+02, 1.793E+01
 2.500E+02, 4.152E+02, 1.755E+00, 4.566E+02, 3.973E+00, 5.598E+02, 1.782E+01, 6.858E+02, 1.800E+01
 2.600E+02, 4.185E+02, 1.808E+00, 4.599E+02, 4.109E+00, 5.628E+02, 1.795E+01, 6.883E+02, 1.793E+01
 2.700E+02, 4.217E+02, 1.860E+00, 4.630E+02, 4.245E+00, 5.657E+02, 1.809E+01, 6.908E+02, 1.785E+01
 2.800E+02, 4.247E+02, 1.912E+00, 4.659E+02, 4.381E+00, 5.684E+02, 1.824E+01, 6.931E+02, 1.778E+01
 2.900E+02, 4.276E+02, 1.964E+00, 4.688E+02, 4.517E+00, 5.710E+02, 1.839E+01, 6.954E+02, 1.770E+01
 3.000E+02, 4.305E+02, 2.018E+00, 4.716E+02, 4.653E+00, 5.735E+02, 1.854E+01, 6.975E+02, 1.762E+01
 3.100E+02, 4.332E+02, 2.098E+00, 4.743E+02, 4.789E+00, 5.760E+02, 1.868E+01, 6.996E+02, 1.755E+01
 3.200E+02, 4.358E+02, 2.190E+00, 4.768E+02, 4.925E+00, 5.783E+02, 1.883E+01, 7.016E+02, 1.747E+01
 3.300E+02, 4.384E+02, 2.283E+00, 4.793E+02, 5.061E+00, 5.806E+02, 1.897E+01, 7.036E+02, 1.738E+01
 3.400E+02, 4.409E+02, 2.376E+00, 4.817E+02, 5.197E+00, 5.828E+02, 1.912E+01, 7.054E+02, 1.726E+01
 3.500E+02, 4.433E+02, 2.468E+00, 4.841E+02, 5.333E+00, 5.849E+02, 1.927E+01, 7.072E+02, 1.715E+01
 3.600E+02, 4.456E+02, 2.561E+00, 4.863E+02, 5.469E+00, 5.869E+02, 1.942E+01, 7.090E+02, 1.704E+01
 3.700E+02, 4.478E+02, 2.654E+00, 4.885E+02, 5.593E+00, 5.889E+02, 1.958E+01, 7.106E+02, 1.692E+01
