s,kW/m2,kW/m2
Time,"HRRPUA-CONE_18p00_050","HRRPUA-CONE_18p00_075"
 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00
 3.000E+00, 0.000E+00, 9.732E-03
 4.000E+00, 0.000E+00, 4.106E+00
 5.000E+00, 0.000E+00, 1.747E+01
 6.000E+00, 0.000E+00, 3.404E+01
 7.000E+00, 0.000E+00, 5.126E+01
 8.000E+00, 0.000E+00, 6.832E+01
 9.000E+00, 0.000E+00, 8.546E+01
 1.000E+01, 0.000E+00, 1.025E+02
 1.100E+01, 0.000E+00, 1.194E+02
 1.200E+01, 0.000E+00, 1.351E+02
 1.300E+01, 0.000E+00, 1.509E+02
 1.400E+01, 0.000E+00, 1.631E+02
 1.500E+01, 0.000E+00, 1.730E+02
 1.600E+01, 0.000E+00, 1.828E+02
 1.700E+01, 1.130E+00, 1.925E+02
 1.800E+01, 3.329E+00, 2.021E+02
 1.900E+01, 5.532E+00, 2.117E+02
 2.000E+01, 7.736E+00, 2.208E+02
 2.100E+01, 9.949E+00, 2.299E+02
 2.200E+01, 1.221E+01, 2.388E+02
 2.300E+01, 1.443E+01, 2.457E+02
 2.400E+01, 1.664E+01, 2.478E+02
 2.500E+01, 1.888E+01, 2.495E+02
 2.600E+01, 2.114E+01, 2.511E+02
 2.700E+01, 2.339E+01, 2.526E+02
 2.800E+01, 2.565E+01, 2.542E+02
 2.900E+01, 2.789E+01, 2.557E+02
 3.000E+01, 3.013E+01, 2.572E+02
 3.100E+01, 3.242E+01, 2.588E+02
 3.200E+01, 3.466E+01, 2.603E+02
 3.300E+01, 3.689E+01, 2.621E+02
 3.400E+01, 3.914E+01, 2.641E+02
 3.500E+01, 4.142E+01, 2.661E+02
 3.600E+01, 4.369E+01, 2.680E+02
 3.700E+01, 4.702E+01, 2.700E+02
 3.800E+01, 5.172E+01, 2.719E+02
 3.900E+01, 5.658E+01, 2.738E+02
 4.000E+01, 6.152E+01, 2.758E+02
 4.100E+01, 6.645E+01, 2.777E+02
 4.200E+01, 7.167E+01, 2.782E+02
 4.300E+01, 7.706E+01, 2.758E+02
 4.400E+01, 8.265E+01, 2.732E+02
 4.500E+01, 8.825E+01, 2.705E+02
 4.600E+01, 9.395E+01, 2.678E+02
 4.700E+01, 9.980E+01, 2.650E+02
 4.800E+01, 1.058E+02, 2.623E+02
 4.900E+01, 1.113E+02, 2.595E+02
 5.000E+01, 1.169E+02, 2.568E+02
 5.100E+01, 1.223E+02, 2.540E+02
 5.200E+01, 1.277E+02, 2.514E+02
 5.300E+01, 1.332E+02, 2.488E+02
 5.400E+01, 1.386E+02, 2.462E+02
 5.500E+01, 1.442E+02, 2.435E+02
 5.600E+01, 1.499E+02, 2.409E+02
 5.700E+01, 1.529E+02, 2.383E+02
 5.800E+01, 1.544E+02, 2.357E+02
 5.900E+01, 1.556E+02, 2.330E+02
 6.000E+01, 1.568E+02, 2.304E+02
 6.100E+01, 1.580E+02, 2.274E+02
 6.200E+01, 1.591E+02, 2.241E+02
 6.300E+01, 1.602E+02, 2.207E+02
 6.400E+01, 1.614E+02, 2.174E+02
 6.500E+01, 1.625E+02, 2.140E+02
 6.600E+01, 1.636E+02, 2.107E+02
 6.700E+01, 1.648E+02, 2.073E+02
 6.800E+01, 1.659E+02, 2.039E+02
 6.900E+01, 1.671E+02, 2.005E+02
 7.000E+01, 1.682E+02, 1.971E+02
 7.100E+01, 1.694E+02, 1.938E+02
 7.200E+01, 1.705E+02, 1.904E+02
 7.300E+01, 1.717E+02, 1.870E+02
 7.400E+01, 1.728E+02, 1.836E+02
 7.500E+01, 1.739E+02, 1.802E+02
 7.600E+01, 1.741E+02, 1.768E+02
 7.700E+01, 1.737E+02, 1.733E+02
 7.800E+01, 1.733E+02, 1.699E+02
 7.900E+01, 1.729E+02, 1.666E+02
 8.000E+01, 1.724E+02, 1.639E+02
 8.100E+01, 1.720E+02, 1.613E+02
 8.200E+01, 1.715E+02, 1.588E+02
 8.300E+01, 1.711E+02, 1.563E+02
 8.400E+01, 1.706E+02, 1.537E+02
 8.500E+01, 1.701E+02, 1.512E+02
 8.600E+01, 1.697E+02, 1.487E+02
 8.700E+01, 1.692E+02, 1.463E+02
 8.800E+01, 1.688E+02, 1.440E+02
 8.900E+01, 1.683E+02, 1.426E+02
 9.000E+01, 1.679E+02, 1.417E+02
 9.100E+01, 1.674E+02, 1.409E+02
 9.200E+01, 1.669E+02, 1.400E+02
 9.300E+01, 1.665E+02, 1.392E+02
 9.400E+01, 1.660E+02, 1.384E+02
 9.500E+01, 1.652E+02, 1.375E+02
 9.600E+01, 1.641E+02, 1.367E+02
 9.700E+01, 1.631E+02, 1.359E+02
 9.800E+01, 1.620E+02, 1.352E+02
 9.900E+01, 1.609E+02, 1.347E+02
