s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_3p20_025","HRRPUA-CONE_3p20_025","WALL TEMPERATURE-CONE_3p20_050","HRRPUA-CONE_3p20_050","WALL TEMPERATURE-CONE_3p20_075","HRRPUA-CONE_3p20_075","WALL TEMPERATURE-CONE_8p10_024","HRRPUA-CONE_8p10_024","WALL TEMPERATURE-CONE_8p10_049","HRRPUA-CONE_8p10_049","WALL TEMPERATURE-CONE_8p10_073","HRRPUA-CONE_8p10_073","WALL TEMPERATURE-CONE_27p00_023","HRRPUA-CONE_27p00_023","WALL TEMPERATURE-CONE_27p00_046","HRRPUA-CONE_27p00_046","WALL TEMPERATURE-CONE_27p00_069","HRRPUA-CONE_27p00_069"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 9.509E+01, 0.000E+00, 1.620E+02, 0.000E+00, 2.273E+02, 0.000E+00, 9.207E+01, 0.000E+00, 1.587E+02, 0.000E+00, 2.212E+02, 0.000E+00, 8.949E+01, 0.000E+00, 1.510E+02, 0.000E+00, 2.112E+02, 0.000E+00
 2.000E+01, 1.583E+02, 0.000E+00, 2.822E+02, 0.000E+00, 3.963E+02, 0.000E+00, 1.535E+02, 0.000E+00, 2.781E+02, 0.000E+00, 3.886E+02, 0.000E+00, 1.484E+02, 0.000E+00, 2.638E+02, 0.000E+00, 3.711E+02, 0.000E+00
 3.000E+01, 1.921E+02, 0.000E+00, 3.412E+02, 0.000E+00, 4.706E+02, 1.405E-01, 1.869E+02, 0.000E+00, 3.377E+02, 0.000E+00, 4.636E+02, 1.827E+02, 1.806E+02, 0.000E+00, 3.208E+02, 0.000E+00, 4.442E+02, 2.685E+02
 4.000E+01, 2.186E+02, 0.000E+00, 3.841E+02, 0.000E+00, 5.205E+02, 3.520E+02, 2.113E+02, 0.000E+00, 3.778E+02, 0.000E+00, 5.098E+02, 5.660E+02, 2.044E+02, 0.000E+00, 3.600E+02, 0.000E+00, 4.904E+02, 5.872E+02
 5.000E+01, 2.416E+02, 0.000E+00, 4.192E+02, 0.000E+00, 5.589E+02, 6.448E+02, 2.305E+02, 0.000E+00, 4.069E+02, 0.000E+00, 5.411E+02, 6.145E+02, 2.233E+02, 0.000E+00, 3.890E+02, 0.000E+00, 5.223E+02, 6.463E+02
 6.000E+01, 2.625E+02, 0.000E+00, 4.490E+02, 1.204E+02, 5.901E+02, 7.702E+02, 2.463E+02, 0.000E+00, 4.292E+02, 2.184E-01, 5.638E+02, 6.308E+02, 2.390E+02, 0.000E+00, 4.115E+02, 4.301E-01, 5.459E+02, 6.661E+02
 7.000E+01, 2.816E+02, 0.000E+00, 4.747E+02, 4.501E+02, 6.158E+02, 8.730E+02, 2.596E+02, 0.000E+00, 4.470E+02, 2.604E+02, 5.812E+02, 6.465E+02, 2.523E+02, 0.000E+00, 4.297E+02, 2.930E+02, 5.640E+02, 6.861E+02
 8.000E+01, 2.992E+02, 0.000E+00, 4.969E+02, 5.529E+02, 6.372E+02, 9.867E+02, 2.711E+02, 0.000E+00, 4.616E+02, 4.839E+02, 5.951E+02, 6.651E+02, 2.639E+02, 0.000E+00, 4.448E+02, 4.378E+02, 5.786E+02, 7.016E+02
 9.000E+01, 3.153E+02, 0.000E+00, 5.161E+02, 6.014E+02, 6.551E+02, 1.100E+03, 2.812E+02, 0.000E+00, 4.738E+02, 5.586E+02, 6.064E+02, 6.854E+02, 2.742E+02, 0.000E+00, 4.575E+02, 5.243E+02, 5.906E+02, 7.103E+02
 1.000E+02, 3.300E+02, 0.000E+00, 5.328E+02, 6.514E+02, 6.701E+02, 1.193E+03, 2.902E+02, 0.000E+00, 4.843E+02, 5.686E+02, 6.160E+02, 7.058E+02, 2.833E+02, 0.000E+00, 4.683E+02, 5.451E+02, 6.006E+02, 7.188E+02
 1.100E+02, 3.436E+02, 0.000E+00, 5.473E+02, 7.098E+02, 6.828E+02, 9.925E+02, 2.983E+02, 0.000E+00, 4.935E+02, 5.886E+02, 6.243E+02, 7.261E+02, 2.915E+02, 0.000E+00, 4.777E+02, 5.565E+02, 6.091E+02, 7.273E+02
 1.200E+02, 3.559E+02, 0.000E+00, 5.599E+02, 7.577E+02, 6.935E+02, 7.590E+02, 3.057E+02, 0.000E+00, 5.016E+02, 5.925E+02, 6.315E+02, 7.444E+02, 2.989E+02, 0.000E+00, 4.858E+02, 5.656E+02, 6.164E+02, 7.358E+02
 1.300E+02, 3.673E+02, 0.000E+00, 5.708E+02, 7.970E+02, 7.026E+02, 6.188E+02, 3.125E+02, 0.000E+00, 5.088E+02, 6.152E+02, 6.379E+02, 7.566E+02, 3.056E+02, 0.000E+00, 4.930E+02, 5.687E+02, 6.227E+02, 7.442E+02
 1.400E+02, 3.776E+02, 0.000E+00, 5.803E+02, 7.974E+02, 7.104E+02, 4.864E+02, 3.187E+02, 0.000E+00, 5.153E+02, 6.149E+02, 6.437E+02, 7.684E+02, 3.117E+02, 0.000E+00, 4.994E+02, 5.632E+02, 6.283E+02, 7.506E+02
 1.500E+02, 3.870E+02, 0.000E+00, 5.886E+02, 7.339E+02, 7.169E+02, 3.815E+02, 3.245E+02, 0.000E+00, 5.213E+02, 6.267E+02, 6.489E+02, 7.801E+02, 3.173E+02, 0.000E+00, 5.051E+02, 5.673E+02, 6.332E+02, 7.459E+02
 1.600E+02, 3.956E+02, 0.000E+00, 5.958E+02, 6.630E+02, 7.225E+02, 3.138E+02, 3.300E+02, 0.000E+00, 5.268E+02, 6.366E+02, 6.537E+02, 7.922E+02, 3.224E+02, 0.000E+00, 5.103E+02, 5.820E+02, 6.376E+02, 7.392E+02
 1.700E+02, 4.034E+02, 0.000E+00, 6.021E+02, 4.975E+02, 7.273E+02, 2.509E+02, 3.351E+02, 0.000E+00, 5.318E+02, 6.423E+02, 6.582E+02, 8.104E+02, 3.272E+02, 0.000E+00, 5.149E+02, 5.909E+02, 6.415E+02, 7.342E+02
 1.800E+02, 4.105E+02, 0.000E+00, 6.075E+02, 3.748E+02, 7.313E+02, 1.859E+02, 3.399E+02, 0.000E+00, 5.366E+02, 6.475E+02, 6.623E+02, 8.302E+02, 3.316E+02, 0.000E+00, 5.191E+02, 5.970E+02, 6.451E+02, 7.374E+02
