s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_14p29_025,HRRPUA-CONE_14p29_025,WALL TEMPERATURE-CONE_14p29_050,HRRPUA-CONE_14p29_050,WALL TEMPERATURE-CONE_14p29_075,HRRPUA-CONE_14p29_075
 1.080E+02, 4.907E+02, 4.063E+02, 6.551E+02, 6.544E-01, 7.644E+02, 3.739E-01
 1.100E+02, 4.908E+02, 4.036E+02, 6.552E+02, 6.089E-01, 7.645E+02, 4.221E-01
 1.120E+02, 4.910E+02, 4.010E+02, 6.554E+02, 5.633E-01, 7.646E+02, 4.345E-01
 1.140E+02, 4.911E+02, 3.961E+02, 6.555E+02, 5.177E-01, 7.647E+02, 3.654E-01
 1.160E+02, 4.913E+02, 3.873E+02, 6.556E+02, 4.720E-01, 7.648E+02, 2.931E-01
 1.180E+02, 4.914E+02, 3.782E+02, 6.557E+02, 4.264E-01, 7.649E+02, 2.208E-01
 1.200E+02, 4.916E+02, 3.692E+02, 6.558E+02, 3.807E-01, 7.650E+02, 1.485E-01
 1.220E+02, 4.917E+02, 3.596E+02, 6.559E+02, 3.350E-01, 7.651E+02, 7.617E-02
 1.240E+02, 4.918E+02, 3.418E+02, 6.560E+02, 2.892E-01, 7.651E+02, 1.107E-02
 1.260E+02, 4.920E+02, 3.205E+02, 6.561E+02, 2.434E-01, 7.652E+02, 0.000E+00
 1.280E+02, 4.921E+02, 2.949E+02, 6.562E+02, 1.976E-01, 7.653E+02, 0.000E+00
 1.300E+02, 4.922E+02, 2.649E+02, 6.563E+02, 1.542E-01, 7.654E+02, 0.000E+00
 1.320E+02, 4.923E+02, 2.334E+02, 6.564E+02, 1.525E-01, 7.655E+02, 0.000E+00
 1.340E+02, 4.924E+02, 2.010E+02, 6.565E+02, 1.660E-01, 7.655E+02, 0.000E+00
 1.360E+02, 4.926E+02, 1.645E+02, 6.566E+02, 1.795E-01, 7.656E+02, 0.000E+00
 1.380E+02, 4.927E+02, 1.243E+02, 6.567E+02, 1.929E-01, 7.657E+02, 0.000E+00
 1.400E+02, 4.928E+02, 9.643E+01, 6.567E+02, 2.064E-01, 7.658E+02, 0.000E+00
 1.420E+02, 4.929E+02, 7.841E+01, 6.568E+02, 2.199E-01, 7.658E+02, 0.000E+00
 1.440E+02, 4.930E+02, 6.335E+01, 6.569E+02, 2.334E-01, 7.659E+02, 0.000E+00
 1.460E+02, 4.931E+02, 5.157E+01, 6.570E+02, 2.468E-01, 7.660E+02, 0.000E+00
 1.480E+02, 4.932E+02, 4.387E+01, 6.571E+02, 2.603E-01, 7.660E+02, 0.000E+00
 1.500E+02, 4.933E+02, 3.686E+01, 6.571E+02, 2.738E-01, 7.661E+02, 0.000E+00
 1.520E+02, 4.934E+02, 3.002E+01, 6.572E+02, 2.872E-01, 7.662E+02, 0.000E+00
 1.540E+02, 4.935E+02, 2.342E+01, 6.573E+02, 3.007E-01, 7.662E+02, 0.000E+00
 1.560E+02, 4.936E+02, 1.934E+01, 6.574E+02, 3.141E-01, 7.663E+02, 0.000E+00
 1.580E+02, 4.936E+02, 1.625E+01, 6.574E+02, 3.259E-01, 7.663E+02, 0.000E+00
 1.600E+02, 4.937E+02, 1.322E+01, 6.575E+02, 3.367E-01, 7.664E+02, 0.000E+00
 1.620E+02, 4.938E+02, 1.021E+01, 6.576E+02, 3.474E-01, 7.664E+02, 0.000E+00
 1.640E+02, 4.939E+02, 7.548E+00, 6.576E+02, 3.582E-01, 7.665E+02, 0.000E+00
 1.660E+02, 4.940E+02, 6.410E+00, 6.577E+02, 3.690E-01, 7.666E+02, 0.000E+00
 1.680E+02, 4.941E+02, 5.483E+00, 6.578E+02, 3.797E-01, 7.666E+02, 0.000E+00
