s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-35","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.612E+01
 4.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.726E+01
 5.000E+01, 0.000E+00, 0.000E+00, 3.196E+00, 1.349E+02
 6.000E+01, 0.000E+00, 0.000E+00, 3.494E+01, 1.867E+02
 7.000E+01, 0.000E+00, 0.000E+00, 7.495E+01, 2.296E+02
 8.000E+01, 0.000E+00, 0.000E+00, 9.869E+01, 2.141E+02
 9.000E+01, 0.000E+00, 6.593E+00, 1.248E+02, 2.019E+02
 1.000E+02, 0.000E+00, 3.066E+01, 1.584E+02, 2.039E+02
 1.100E+02, 0.000E+00, 5.651E+01, 1.717E+02, 2.072E+02
 1.200E+02, 0.000E+00, 7.225E+01, 1.603E+02, 2.081E+02
 1.300E+02, 0.000E+00, 8.605E+01, 1.507E+02, 2.101E+02
 1.400E+02, 0.000E+00, 1.050E+02, 1.503E+02, 2.044E+02
 1.500E+02, 0.000E+00, 1.262E+02, 1.519E+02, 1.932E+02
 1.600E+02, 4.615E+00, 1.360E+02, 1.539E+02, 1.782E+02
 1.700E+02, 1.971E+01, 1.308E+02, 1.543E+02, 1.645E+02
 1.800E+02, 3.941E+01, 1.222E+02, 1.553E+02, 1.567E+02
 1.900E+02, 5.245E+01, 1.183E+02, 1.562E+02, 1.467E+02
 2.000E+02, 6.191E+01, 1.186E+02, 1.529E+02, 1.388E+02
 2.100E+02, 7.135E+01, 1.195E+02, 1.472E+02, 1.388E+02
 2.200E+02, 8.409E+01, 1.207E+02, 1.399E+02, 1.425E+02
 2.300E+02, 9.874E+01, 1.218E+02, 1.313E+02, 1.479E+02
 2.400E+02, 1.097E+02, 1.217E+02, 1.232E+02, 1.489E+02
 2.500E+02, 1.116E+02, 1.224E+02, 1.191E+02, 1.415E+02
