s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-35","HRRPUA-50","HRRPUA-75","HRRPUA-100"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 1.413E+01, 4.277E+01, 7.046E+01
 2.000E+01, 0.000E+00, 2.881E+01, 1.151E+02, 2.744E+02, 5.024E+02
 3.000E+01, 0.000E+00, 1.047E+02, 3.251E+02, 7.203E+02, 1.007E+03
 4.000E+01, 0.000E+00, 2.477E+02, 5.893E+02, 8.256E+02, 9.339E+02
 5.000E+01, 0.000E+00, 4.439E+02, 6.321E+02, 7.227E+02, 5.883E+02
 6.000E+01, 0.000E+00, 5.098E+02, 5.901E+02, 4.763E+02, 3.263E+02
 7.000E+01, 8.268E+00, 5.106E+02, 4.907E+02, 2.840E+02, 2.720E+02
 8.000E+01, 5.763E+01, 4.664E+02, 3.231E+02, 2.262E+02, 2.328E+02
 9.000E+01, 1.193E+02, 4.010E+02, 2.209E+02, 2.104E+02, 1.688E+02
 1.000E+02, 2.452E+02, 2.901E+02, 1.774E+02, 1.781E+02, 1.123E+02
 1.100E+02, 3.840E+02, 1.981E+02, 1.687E+02, 1.342E+02, 7.919E+01
 1.200E+02, 4.290E+02, 1.609E+02, 1.557E+02, 9.591E+01, 6.145E+01
 1.300E+02, 4.328E+02, 1.404E+02, 1.365E+02, 7.132E+01, 5.504E+01
 1.400E+02, 4.121E+02, 1.367E+02, 1.105E+02, 5.562E+01, 5.281E+01
 1.500E+02, 3.730E+02, 1.283E+02, 8.660E+01, 4.774E+01, 5.168E+01
 1.600E+02, 3.155E+02, 1.168E+02, 6.672E+01, 4.430E+01, 5.059E+01
 1.700E+02, 2.333E+02, 1.007E+02, 5.372E+01, 4.285E+01, 3.302E+01
 1.800E+02, 1.679E+02, 8.356E+01, 4.445E+01, 4.220E+01, 0.000E+00
 1.900E+02, 1.414E+02, 6.831E+01, 3.814E+01, 4.134E+01, 0.000E+00
 2.000E+02, 1.208E+02, 5.503E+01, 3.525E+01, 4.082E+01, 0.000E+00
 2.100E+02, 1.166E+02, 4.627E+01, 3.360E+01, 2.067E+01, 0.000E+00
 2.200E+02, 1.135E+02, 3.909E+01, 3.269E+01, 0.000E+00, 0.000E+00
 2.300E+02, 1.064E+02, 3.378E+01, 3.238E+01, 0.000E+00, 0.000E+00
 2.400E+02, 9.835E+01, 3.050E+01, 3.187E+01, 0.000E+00, 0.000E+00
 2.500E+02, 8.707E+01, 2.862E+01, 3.141E+01, 0.000E+00, 0.000E+00
 2.600E+02, 7.473E+01, 2.749E+01, 3.110E+01, 0.000E+00, 0.000E+00
 2.700E+02, 6.351E+01, 2.670E+01, 3.045E+01, 0.000E+00, 0.000E+00
 2.800E+02, 5.293E+01, 2.643E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.900E+02, 4.464E+01, 2.620E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.000E+02, 3.862E+01, 2.585E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.100E+02, 3.342E+01, 2.553E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.200E+02, 2.964E+01, 2.530E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.300E+02, 2.646E+01, 2.518E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.400E+02, 2.499E+01, 1.892E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.500E+02, 2.374E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.600E+02, 2.305E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
