s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_0p50_025","HRRPUA-CONE_0p50_025","WALL TEMPERATURE-CONE_0p50_035","HRRPUA-CONE_0p50_035","WALL TEMPERATURE-CONE_0p50_050","HRRPUA-CONE_0p50_050","WALL TEMPERATURE-CONE_0p50_075","HRRPUA-CONE_0p50_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 2.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 3.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 4.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 5.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 6.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 7.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 7.021E-01
 8.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 3.077E+02, 2.093E+00
 9.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 1.441E-02, 3.077E+02, 3.482E+00
 1.000E+01, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.156E+02, 2.087E+00, 4.986E+02, 5.387E+00
 1.100E+01, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.156E+02, 4.629E+00, 4.986E+02, 3.371E+01
 1.200E+01, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 3.548E+02, 8.641E+00, 6.164E+02, 7.519E+01
 1.300E+01, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 3.548E+02, 1.301E+01, 6.164E+02, 1.156E+02
 1.400E+01, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 4.571E+02, 2.429E+01, 6.817E+02, 1.572E+02
 1.500E+01, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 4.571E+02, 3.922E+01, 6.817E+02, 1.978E+02
 1.600E+01, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 5.273E+02, 5.340E+01, 7.168E+02, 2.363E+02
 1.700E+01, 2.700E+01, 0.000E+00, 2.700E+01, 1.441E-02, 5.273E+02, 6.985E+01, 7.168E+02, 2.727E+02
 1.800E+01, 2.700E+01, 0.000E+00, 2.700E+01, 1.444E-02, 5.728E+02, 9.316E+01, 7.359E+02, 3.098E+02
 1.900E+01, 2.700E+01, 0.000E+00, 2.700E+01, 3.095E+00, 5.728E+02, 1.161E+02, 7.359E+02, 3.329E+02
 2.000E+01, 2.700E+01, 0.000E+00, 1.594E+02, 1.005E+01, 6.021E+02, 1.403E+02, 7.473E+02, 3.251E+02
 2.100E+01, 2.700E+01, 0.000E+00, 1.594E+02, 1.675E+01, 6.021E+02, 1.603E+02, 7.473E+02, 3.136E+02
 2.200E+01, 2.700E+01, 0.000E+00, 2.613E+02, 2.888E+01, 6.210E+02, 1.752E+02, 7.545E+02, 3.012E+02
 2.300E+01, 2.700E+01, 0.000E+00, 2.613E+02, 4.426E+01, 6.210E+02, 1.900E+02, 7.545E+02, 2.872E+02
 2.400E+01, 2.700E+01, 0.000E+00, 3.425E+02, 5.727E+01, 6.334E+02, 2.025E+02, 7.593E+02, 2.705E+02
 2.500E+01, 2.700E+01, 0.000E+00, 3.425E+02, 6.575E+01, 6.334E+02, 2.073E+02, 7.593E+02, 2.534E+02
 2.600E+01, 2.700E+01, 0.000E+00, 4.054E+02, 7.159E+01, 6.419E+02, 2.098E+02, 7.629E+02, 2.359E+02
 2.700E+01, 2.700E+01, 0.000E+00, 4.054E+02, 8.643E+01, 6.419E+02, 2.119E+02, 7.629E+02, 2.183E+02
 2.800E+01, 2.700E+01, 0.000E+00, 4.524E+02, 9.519E+01, 6.480E+02, 2.128E+02, 7.658E+02, 2.011E+02
