s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_3p25_025,HRRPUA-CONE_3p25_025,WALL TEMPERATURE-CONE_3p25_050,HRRPUA-CONE_3p25_050,WALL TEMPERATURE-CONE_3p25_075,HRRPUA-CONE_3p25_075
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 2.000E+00, 4.584E+01, 0.000E+00, 6.468E+01, 0.000E+00, 8.352E+01, 0.000E+00
 4.000E+00, 7.992E+01, 0.000E+00, 1.324E+02, 0.000E+00, 1.843E+02, 0.000E+00
 6.000E+00, 1.045E+02, 0.000E+00, 1.805E+02, 0.000E+00, 2.548E+02, 0.000E+00
 8.000E+00, 1.210E+02, 0.000E+00, 2.125E+02, 0.000E+00, 3.008E+02, 0.000E+00
 1.000E+01, 1.342E+02, 0.000E+00, 2.378E+02, 0.000E+00, 3.362E+02, 0.000E+00
 1.200E+01, 1.453E+02, 0.000E+00, 2.586E+02, 0.000E+00, 3.650E+02, 0.000E+00
 1.400E+01, 1.550E+02, 0.000E+00, 2.765E+02, 0.000E+00, 3.890E+02, 0.000E+00
 1.600E+01, 1.637E+02, 0.000E+00, 2.922E+02, 0.000E+00, 4.095E+02, 0.000E+00
 1.800E+01, 1.716E+02, 0.000E+00, 3.062E+02, 0.000E+00, 4.275E+02, 0.000E+00
 2.000E+01, 1.789E+02, 0.000E+00, 3.189E+02, 0.000E+00, 4.434E+02, 0.000E+00
 2.200E+01, 1.857E+02, 0.000E+00, 3.305E+02, 0.000E+00, 4.577E+02, 0.000E+00
 2.400E+01, 1.920E+02, 0.000E+00, 3.412E+02, 0.000E+00, 4.706E+02, 0.000E+00
 2.600E+01, 1.980E+02, 0.000E+00, 3.512E+02, 0.000E+00, 4.824E+02, 0.000E+00
 2.800E+01, 2.037E+02, 0.000E+00, 3.605E+02, 0.000E+00, 4.933E+02, 0.000E+00
