s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-35","HRRPUA-50","HRRPUA-65"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 2.914E+00, 2.716E+01
 3.000E+01, 0.000E+00, 0.000E+00, 3.389E+01, 8.607E+01
 4.000E+01, 0.000E+00, 4.947E-01, 7.556E+01, 1.564E+02
 5.000E+01, 0.000E+00, 1.430E+01, 1.248E+02, 2.175E+02
 6.000E+01, 0.000E+00, 3.846E+01, 1.685E+02, 2.412E+02
 7.000E+01, 0.000E+00, 6.685E+01, 1.972E+02, 2.421E+02
 8.000E+01, 0.000E+00, 9.807E+01, 2.021E+02, 2.350E+02
 9.000E+01, 0.000E+00, 1.258E+02, 2.000E+02, 2.245E+02
 1.000E+02, 0.000E+00, 1.504E+02, 1.948E+02, 2.123E+02
 1.100E+02, 0.000E+00, 1.580E+02, 1.875E+02, 2.014E+02
 1.200E+02, 0.000E+00, 1.605E+02, 1.792E+02, 1.918E+02
 1.300E+02, 0.000E+00, 1.586E+02, 1.712E+02, 1.832E+02
 1.400E+02, 0.000E+00, 1.557E+02, 1.641E+02, 1.752E+02
 1.500E+02, 0.000E+00, 1.513E+02, 1.578E+02, 1.686E+02
 1.600E+02, 0.000E+00, 1.466E+02, 1.519E+02, 1.636E+02
 1.700E+02, 0.000E+00, 1.412E+02, 1.463E+02, 1.591E+02
 1.800E+02, 2.542E-01, 1.362E+02, 1.416E+02, 1.549E+02
 1.900E+02, 9.124E+00, 1.316E+02, 1.377E+02, 1.512E+02
 2.000E+02, 2.200E+01, 1.275E+02, 1.346E+02, 1.480E+02
 2.100E+02, 3.533E+01, 1.237E+02, 1.315E+02, 1.455E+02
 2.200E+02, 5.176E+01, 1.201E+02, 1.287E+02, 1.438E+02
 2.300E+02, 6.872E+01, 1.165E+02, 1.261E+02, 1.423E+02
 2.400E+02, 8.442E+01, 1.135E+02, 1.238E+02, 1.412E+02
 2.500E+02, 9.861E+01, 1.107E+02, 1.219E+02, 1.407E+02
 2.600E+02, 1.118E+02, 1.086E+02, 1.204E+02, 1.411E+02
 2.700E+02, 1.156E+02, 1.066E+02, 1.192E+02, 1.421E+02
 2.800E+02, 1.174E+02, 1.046E+02, 1.182E+02, 1.438E+02
 2.900E+02, 1.179E+02, 1.028E+02, 1.174E+02, 1.460E+02
 3.000E+02, 1.166E+02, 1.011E+02, 1.170E+02, 1.491E+02
 3.100E+02, 1.152E+02, 9.951E+01, 1.170E+02, 1.534E+02
 3.200E+02, 1.130E+02, 9.809E+01, 1.175E+02, 1.591E+02
 3.300E+02, 1.106E+02, 9.686E+01, 1.183E+02, 1.665E+02
 3.400E+02, 1.080E+02, 9.583E+01, 1.195E+02, 1.759E+02
 3.500E+02, 1.051E+02, 9.502E+01, 1.210E+02, 1.878E+02
