s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 9.800E+01, 3.875E+02, 0.000E+00, 0.000E+00
 9.900E+01, 3.868E+02, 0.000E+00, 0.000E+00
 1.000E+02, 3.858E+02, 0.000E+00, 0.000E+00
 1.010E+02, 3.847E+02, 0.000E+00, 0.000E+00
 1.020E+02, 3.830E+02, 0.000E+00, 0.000E+00
 1.030E+02, 3.813E+02, 0.000E+00, 0.000E+00
 1.040E+02, 3.796E+02, 0.000E+00, 0.000E+00
 1.050E+02, 3.779E+02, 0.000E+00, 0.000E+00
 1.060E+02, 3.760E+02, 0.000E+00, 0.000E+00
 1.070E+02, 3.735E+02, 0.000E+00, 0.000E+00
 1.080E+02, 3.705E+02, 0.000E+00, 0.000E+00
 1.090E+02, 3.668E+02, 0.000E+00, 0.000E+00
 1.100E+02, 3.624E+02, 0.000E+00, 0.000E+00
 1.110E+02, 3.575E+02, 0.000E+00, 0.000E+00
 1.120E+02, 3.520E+02, 0.000E+00, 0.000E+00
 1.130E+02, 3.458E+02, 0.000E+00, 0.000E+00
 1.140E+02, 3.392E+02, 0.000E+00, 0.000E+00
 1.150E+02, 3.318E+02, 0.000E+00, 0.000E+00
 1.160E+02, 3.239E+02, 0.000E+00, 0.000E+00
 1.170E+02, 3.148E+02, 0.000E+00, 0.000E+00
 1.180E+02, 3.045E+02, 0.000E+00, 0.000E+00
 1.190E+02, 2.931E+02, 0.000E+00, 0.000E+00
 1.200E+02, 2.805E+02, 0.000E+00, 0.000E+00
 1.210E+02, 2.669E+02, 0.000E+00, 0.000E+00
 1.220E+02, 2.526E+02, 0.000E+00, 0.000E+00
 1.230E+02, 2.383E+02, 0.000E+00, 0.000E+00
 1.240E+02, 2.230E+02, 0.000E+00, 0.000E+00
 1.250E+02, 2.075E+02, 0.000E+00, 0.000E+00
 1.260E+02, 1.920E+02, 0.000E+00, 0.000E+00
 1.270E+02, 1.768E+02, 0.000E+00, 0.000E+00
 1.280E+02, 1.618E+02, 0.000E+00, 0.000E+00
 1.290E+02, 1.470E+02, 0.000E+00, 0.000E+00
 1.300E+02, 1.328E+02, 0.000E+00, 0.000E+00
 1.310E+02, 1.190E+02, 0.000E+00, 0.000E+00
 1.320E+02, 1.061E+02, 0.000E+00, 0.000E+00
 1.330E+02, 9.418E+01, 0.000E+00, 0.000E+00
 1.340E+02, 8.282E+01, 0.000E+00, 0.000E+00
 1.350E+02, 7.260E+01, 0.000E+00, 0.000E+00
 1.360E+02, 6.353E+01, 0.000E+00, 0.000E+00
 1.370E+02, 5.540E+01, 0.000E+00, 0.000E+00
 1.380E+02, 4.841E+01, 0.000E+00, 0.000E+00
 1.390E+02, 4.270E+01, 0.000E+00, 0.000E+00
 1.400E+02, 3.748E+01, 0.000E+00, 0.000E+00
 1.410E+02, 3.291E+01, 0.000E+00, 0.000E+00
 1.420E+02, 2.849E+01, 0.000E+00, 0.000E+00
 1.430E+02, 2.423E+01, 0.000E+00, 0.000E+00
 1.440E+02, 2.050E+01, 0.000E+00, 0.000E+00
 1.450E+02, 1.692E+01, 0.000E+00, 0.000E+00
 1.460E+02, 1.403E+01, 0.000E+00, 0.000E+00
 1.470E+02, 1.135E+01, 0.000E+00, 0.000E+00
 1.480E+02, 9.314E+00, 0.000E+00, 0.000E+00
 1.490E+02, 6.815E+00, 0.000E+00, 0.000E+00
 1.500E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.510E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.520E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.530E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.540E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.550E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.560E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.570E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.580E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.590E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.600E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.610E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.620E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.630E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.640E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.650E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.660E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.670E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.680E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.690E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.700E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.710E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.720E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.730E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.740E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.750E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.760E+02, 0.000E+00, 0.000E+00, 0.000E+00
 1.770E+02, 0.000E+00, 0.000E+00, 0.000E+00
