s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-35","HRRPUA-50","HRRPUA-65"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.142E+00
 3.000E+01, 0.000E+00, 0.000E+00, 6.745E-01, 3.192E+01
 4.000E+01, 0.000E+00, 0.000E+00, 1.776E+01, 7.964E+01
 5.000E+01, 0.000E+00, 0.000E+00, 4.456E+01, 1.350E+02
 6.000E+01, 0.000E+00, 0.000E+00, 8.421E+01, 1.779E+02
 7.000E+01, 0.000E+00, 3.247E+00, 1.211E+02, 1.926E+02
 8.000E+01, 0.000E+00, 1.788E+01, 1.501E+02, 1.887E+02
 9.000E+01, 0.000E+00, 3.515E+01, 1.606E+02, 1.812E+02
 1.000E+02, 0.000E+00, 6.079E+01, 1.600E+02, 1.768E+02
 1.100E+02, 0.000E+00, 8.593E+01, 1.543E+02, 1.770E+02
 1.200E+02, 0.000E+00, 1.081E+02, 1.497E+02, 1.808E+02
 1.300E+02, 0.000E+00, 1.232E+02, 1.478E+02, 1.848E+02
 1.400E+02, 0.000E+00, 1.290E+02, 1.482E+02, 1.873E+02
 1.500E+02, 0.000E+00, 1.293E+02, 1.510E+02, 1.904E+02
 1.600E+02, 0.000E+00, 1.254E+02, 1.538E+02, 1.973E+02
 1.700E+02, 0.000E+00, 1.222E+02, 1.562E+02, 2.106E+02
 1.800E+02, 0.000E+00, 1.194E+02, 1.575E+02, 2.284E+02
 1.900E+02, 0.000E+00, 1.185E+02, 1.604E+02, 2.505E+02
 2.000E+02, 0.000E+00, 1.185E+02, 1.658E+02, 2.765E+02
 2.100E+02, 0.000E+00, 1.201E+02, 1.751E+02, 3.069E+02
 2.200E+02, 0.000E+00, 1.220E+02, 1.873E+02, 3.438E+02
 2.300E+02, 0.000E+00, 1.238E+02, 2.017E+02, 3.943E+02
 2.400E+02, 0.000E+00, 1.252E+02, 2.185E+02, 4.584E+02
 2.500E+02, 1.920E+00, 1.260E+02, 2.379E+02, 5.100E+02
 2.600E+02, 1.042E+01, 1.275E+02, 2.598E+02, 5.161E+02
 2.700E+02, 1.892E+01, 1.299E+02, 2.855E+02, 4.477E+02
 2.800E+02, 3.051E+01, 1.346E+02, 3.201E+02, 3.281E+02
 2.900E+02, 4.544E+01, 1.406E+02, 3.619E+02, 2.142E+02
 3.000E+02, 6.005E+01, 1.485E+02, 4.076E+02, 1.386E+02
 3.100E+02, 7.276E+01, 1.572E+02, 4.360E+02, 9.987E+01
 3.200E+02, 8.516E+01, 1.675E+02, 4.278E+02, 8.288E+01
 3.300E+02, 9.254E+01, 1.787E+02, 3.790E+02, 7.347E+01
 3.400E+02, 9.580E+01, 1.915E+02, 2.951E+02, 6.770E+01
 3.500E+02, 9.811E+01, 2.053E+02, 2.123E+02, 6.391E+01
