s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-35","HRRPUA-50","HRRPUA-65"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 6.070E-01, 9.553E+00
 3.000E+01, 0.000E+00, 0.000E+00, 1.425E+01, 4.084E+01
 4.000E+01, 0.000E+00, 0.000E+00, 3.763E+01, 9.482E+01
 5.000E+01, 0.000E+00, 2.103E+00, 7.625E+01, 1.546E+02
 6.000E+01, 0.000E+00, 1.385E+01, 1.175E+02, 2.023E+02
 7.000E+01, 0.000E+00, 2.809E+01, 1.558E+02, 2.266E+02
 8.000E+01, 0.000E+00, 5.221E+01, 1.807E+02, 2.250E+02
 9.000E+01, 0.000E+00, 7.799E+01, 1.892E+02, 2.135E+02
 1.000E+02, 0.000E+00, 1.043E+02, 1.868E+02, 1.991E+02
 1.100E+02, 0.000E+00, 1.271E+02, 1.784E+02, 1.871E+02
 1.200E+02, 0.000E+00, 1.422E+02, 1.685E+02, 1.789E+02
 1.300E+02, 0.000E+00, 1.505E+02, 1.590E+02, 1.733E+02
 1.400E+02, 0.000E+00, 1.500E+02, 1.523E+02, 1.687E+02
 1.500E+02, 0.000E+00, 1.467E+02, 1.475E+02, 1.633E+02
 1.600E+02, 0.000E+00, 1.411E+02, 1.438E+02, 1.579E+02
 1.700E+02, 0.000E+00, 1.348E+02, 1.407E+02, 1.527E+02
 1.800E+02, 0.000E+00, 1.283E+02, 1.370E+02, 1.479E+02
 1.900E+02, 0.000E+00, 1.237E+02, 1.332E+02, 1.440E+02
 2.000E+02, 0.000E+00, 1.197E+02, 1.296E+02, 1.409E+02
 2.100E+02, 3.395E+00, 1.170E+02, 1.260E+02, 1.388E+02
 2.200E+02, 1.045E+01, 1.146E+02, 1.228E+02, 1.375E+02
 2.300E+02, 1.739E+01, 1.126E+02, 1.201E+02, 1.369E+02
 2.400E+02, 2.917E+01, 1.106E+02, 1.179E+02, 1.371E+02
 2.500E+02, 4.316E+01, 1.082E+02, 1.161E+02, 1.380E+02
 2.600E+02, 5.727E+01, 1.058E+02, 1.150E+02, 1.396E+02
 2.700E+02, 7.164E+01, 1.035E+02, 1.143E+02, 1.426E+02
 2.800E+02, 8.596E+01, 1.012E+02, 1.140E+02, 1.475E+02
 2.900E+02, 9.630E+01, 9.899E+01, 1.141E+02, 1.550E+02
 3.000E+02, 1.044E+02, 9.712E+01, 1.147E+02, 1.657E+02
 3.100E+02, 1.109E+02, 9.545E+01, 1.156E+02, 1.805E+02
 3.200E+02, 1.111E+02, 9.403E+01, 1.170E+02, 1.993E+02
 3.300E+02, 1.108E+02, 9.276E+01, 1.195E+02, 2.220E+02
 3.400E+02, 1.088E+02, 9.194E+01, 1.233E+02, 2.490E+02
 3.500E+02, 1.058E+02, 9.127E+01, 1.284E+02, 2.797E+02
