s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_3p00_075","HRRPUA-CONE_3p00_075","WALL TEMPERATURE-CONE_6p00_050","HRRPUA-CONE_6p00_050","WALL TEMPERATURE-CONE_6p00_075","HRRPUA-CONE_6p00_075","WALL TEMPERATURE-CONE_6p00_092","HRRPUA-CONE_6p00_092","WALL TEMPERATURE-CONE_9p00_075","HRRPUA-CONE_9p00_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 2.420E+02, 0.000E+00, 1.740E+02, 0.000E+00, 2.441E+02, 0.000E+00, 2.900E+02, 0.000E+00, 2.417E+02, 0.000E+00
 2.000E+01, 4.211E+02, 2.050E+01, 3.048E+02, 0.000E+00, 4.252E+02, 1.292E+01, 4.989E+02, 1.582E+02, 4.239E+02, 1.030E+01
 3.000E+01, 4.951E+02, 2.138E+02, 3.671E+02, 0.000E+00, 5.006E+02, 1.864E+02, 5.779E+02, 2.642E+02, 5.003E+02, 1.809E+02
 4.000E+01, 5.415E+02, 1.640E+02, 4.081E+02, 0.000E+00, 5.456E+02, 1.785E+02, 6.225E+02, 2.144E+02, 5.453E+02, 2.262E+02
 5.000E+01, 5.753E+02, 1.260E+02, 4.375E+02, 1.009E+02, 5.755E+02, 1.498E+02, 6.511E+02, 1.741E+02, 5.754E+02, 2.187E+02
 6.000E+01, 6.019E+02, 1.265E+02, 4.595E+02, 1.584E+02, 5.966E+02, 1.567E+02, 6.708E+02, 1.517E+02, 5.970E+02, 1.908E+02
 7.000E+01, 6.238E+02, 1.414E+02, 4.765E+02, 1.557E+02, 6.123E+02, 1.648E+02, 6.852E+02, 1.468E+02, 6.135E+02, 1.696E+02
 8.000E+01, 6.421E+02, 1.612E+02, 4.902E+02, 1.322E+02, 6.246E+02, 1.372E+02, 6.965E+02, 1.533E+02, 6.263E+02, 1.475E+02
