s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_6p00_035,HRRPUA-CONE_6p00_035,WALL TEMPERATURE-CONE_6p00_050,HRRPUA-CONE_6p00_050,WALL TEMPERATURE-CONE_6p00_075,HRRPUA-CONE_6p00_075
 5.400E+02, 5.634E+02, 9.501E+01, 6.516E+02, 9.255E+01, 7.610E+02, 2.726E+01
 5.500E+02, 5.634E+02, 9.825E+01, 6.516E+02, 8.577E+01, 7.610E+02, 2.624E+01
 5.600E+02, 5.634E+02, 1.015E+02, 6.516E+02, 7.872E+01, 7.610E+02, 2.522E+01
 5.700E+02, 5.634E+02, 1.047E+02, 6.516E+02, 7.194E+01, 7.610E+02, 2.421E+01
 5.800E+02, 5.634E+02, 1.079E+02, 6.516E+02, 6.534E+01, 7.610E+02, 9.385E+00
 5.900E+02, 5.634E+02, 1.098E+02, 6.516E+02, 5.841E+01, 7.610E+02, 0.000E+00
 6.000E+02, 5.634E+02, 1.112E+02, 6.516E+02, 5.247E+01, 7.610E+02, 0.000E+00
 6.100E+02, 5.634E+02, 1.125E+02, 6.516E+02, 4.675E+01, 7.610E+02, 0.000E+00
 6.200E+02, 5.634E+02, 1.139E+02, 6.516E+02, 4.280E+01, 7.610E+02, 0.000E+00
 6.300E+02, 5.634E+02, 1.153E+02, 6.516E+02, 3.961E+01, 7.610E+02, 0.000E+00
 6.400E+02, 5.634E+02, 1.162E+02, 6.516E+02, 3.716E+01, 7.610E+02, 0.000E+00
 6.500E+02, 5.634E+02, 1.167E+02, 6.516E+02, 3.507E+01, 7.610E+02, 0.000E+00
 6.600E+02, 5.634E+02, 1.172E+02, 6.516E+02, 3.341E+01, 7.610E+02, 0.000E+00
 6.700E+02, 5.634E+02, 1.164E+02, 6.516E+02, 3.196E+01, 7.610E+02, 0.000E+00
 6.800E+02, 5.634E+02, 1.145E+02, 6.516E+02, 3.052E+01, 7.610E+02, 0.000E+00
 6.900E+02, 5.634E+02, 1.111E+02, 6.516E+02, 2.907E+01, 7.610E+02, 0.000E+00
 7.000E+02, 5.634E+02, 1.064E+02, 6.516E+02, 2.762E+01, 7.610E+02, 0.000E+00
 7.100E+02, 5.634E+02, 1.016E+02, 6.516E+02, 2.617E+01, 7.610E+02, 0.000E+00
 7.200E+02, 5.634E+02, 9.692E+01, 6.516E+02, 2.488E+01, 7.610E+02, 0.000E+00
 7.300E+02, 5.634E+02, 9.219E+01, 6.516E+02, 2.419E+01, 7.610E+02, 0.000E+00
 7.400E+02, 5.634E+02, 8.748E+01, 6.516E+02, 2.356E+01, 7.610E+02, 0.000E+00
 7.500E+02, 5.634E+02, 8.302E+01, 6.516E+02, 2.292E+01, 7.610E+02, 0.000E+00
 7.600E+02, 5.634E+02, 7.900E+01, 6.516E+02, 2.229E+01, 7.610E+02, 0.000E+00
 7.700E+02, 5.634E+02, 7.498E+01, 6.516E+02, 2.166E+01, 7.610E+02, 0.000E+00
 7.800E+02, 5.634E+02, 7.097E+01, 6.516E+02, 2.103E+01, 7.610E+02, 0.000E+00
