s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-35","HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+01, 0.000E+00, 0.000E+00, 0.000E+00
 1.800E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.300E+01, 0.000E+00, 0.000E+00, 0.000E+00
 2.700E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.200E+01, 0.000E+00, 0.000E+00, 0.000E+00
 3.600E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.100E+01, 0.000E+00, 0.000E+00, 0.000E+00
 4.500E+01, 0.000E+00, 0.000E+00, 1.733E+01
 5.000E+01, 0.000E+00, 0.000E+00, 1.262E+02
 5.400E+01, 0.000E+00, 0.000E+00, 1.574E+02
 5.900E+01, 0.000E+00, 0.000E+00, 1.543E+02
 6.300E+01, 0.000E+00, 0.000E+00, 1.526E+02
 6.800E+01, 0.000E+00, 0.000E+00, 1.512E+02
 7.200E+01, 0.000E+00, 0.000E+00, 1.502E+02
 7.700E+01, 0.000E+00, 1.203E+02, 1.485E+02
 8.100E+01, 0.000E+00, 1.182E+02, 1.452E+02
 8.600E+01, 0.000E+00, 1.162E+02, 1.414E+02
 9.000E+01, 0.000E+00, 1.149E+02, 1.381E+02
 9.500E+01, 0.000E+00, 1.140E+02, 1.352E+02
 9.900E+01, 0.000E+00, 1.132E+02, 1.319E+02
 1.040E+02, 0.000E+00, 1.126E+02, 1.281E+02
 1.080E+02, 0.000E+00, 1.120E+02, 1.241E+02
 1.130E+02, 1.387E+01, 1.110E+02, 1.196E+02
 1.170E+02, 3.914E+01, 1.093E+02, 1.153E+02
 1.220E+02, 9.467E+01, 1.071E+02, 1.113E+02
 1.260E+02, 9.357E+01, 1.050E+02, 1.074E+02
 1.310E+02, 9.249E+01, 1.032E+02, 1.034E+02
 1.350E+02, 9.150E+01, 1.016E+02, 9.932E+01
 1.400E+02, 9.087E+01, 9.990E+01, 9.538E+01
 1.440E+02, 9.035E+01, 9.795E+01, 9.158E+01
 1.490E+02, 8.989E+01, 9.585E+01, 8.810E+01
 1.530E+02, 8.949E+01, 9.363E+01, 8.495E+01
 1.580E+02, 8.914E+01, 9.122E+01, 8.228E+01
 1.620E+02, 8.870E+01, 8.871E+01, 8.018E+01
 1.670E+02, 8.790E+01, 8.631E+01, 7.827E+01
 1.710E+02, 8.673E+01, 8.407E+01, 7.645E+01
 1.760E+02, 8.534E+01, 8.192E+01, 7.478E+01
 1.800E+02, 8.398E+01, 7.971E+01, 7.343E+01
 1.850E+02, 8.277E+01, 7.745E+01, 7.228E+01
 1.890E+02, 8.171E+01, 7.516E+01, 7.118E+01
 1.940E+02, 8.070E+01, 7.292E+01, 7.012E+01
 1.980E+02, 7.962E+01, 7.075E+01, 6.898E+01
 2.030E+02, 7.842E+01, 6.862E+01, 6.777E+01
 2.070E+02, 7.712E+01, 6.662E+01, 6.665E+01
 2.120E+02, 7.577E+01, 6.480E+01, 6.569E+01
 2.160E+02, 7.435E+01, 6.308E+01, 6.472E+01
 2.210E+02, 7.284E+01, 6.159E+01, 6.364E+01
 2.250E+02, 7.126E+01, 6.038E+01, 6.257E+01
 2.300E+02, 6.970E+01, 5.929E+01, 6.165E+01
 2.340E+02, 6.821E+01, 5.823E+01, 6.078E+01
 2.390E+02, 6.680E+01, 5.722E+01, 5.988E+01
 2.430E+02, 6.544E+01, 5.625E+01, 5.897E+01
 2.480E+02, 6.407E+01, 5.541E+01, 5.823E+01
 2.520E+02, 6.266E+01, 5.470E+01, 5.763E+01
 2.570E+02, 6.123E+01, 5.406E+01, 5.683E+01
 2.610E+02, 5.979E+01, 5.344E+01, 5.568E+01
 2.660E+02, 5.837E+01, 5.285E+01, 5.451E+01
 2.700E+02, 5.698E+01, 5.225E+01, 5.347E+01
 2.750E+02, 5.563E+01, 5.162E+01, 5.257E+01
 2.790E+02, 5.429E+01, 5.094E+01, 5.197E+01
 2.840E+02, 5.303E+01, 5.027E+01, 5.161E+01
 2.880E+02, 5.186E+01, 4.967E+01, 5.161E+01
 2.930E+02, 5.075E+01, 4.914E+01, 5.194E+01
 2.970E+02, 4.970E+01, 4.861E+01, 5.266E+01
 3.020E+02, 4.880E+01, 4.804E+01, 5.378E+01
 3.060E+02, 4.803E+01, 4.743E+01, 5.496E+01
 3.110E+02, 4.733E+01, 4.683E+01, 5.613E+01
 3.150E+02, 4.665E+01, 4.629E+01, 5.729E+01
 3.200E+02, 4.600E+01, 4.580E+01, 5.842E+01
 3.240E+02, 4.537E+01, 4.532E+01, 5.955E+01
 3.290E+02, 4.475E+01, 4.482E+01, 6.074E+01
 3.330E+02, 4.419E+01, 4.431E+01, 6.195E+01
 3.380E+02, 4.371E+01, 4.382E+01, 6.301E+01
 3.420E+02, 4.328E+01, 4.343E+01, 6.393E+01
 3.470E+02, 4.288E+01, 4.311E+01, 6.460E+01
 3.510E+02, 4.249E+01, 4.273E+01, 6.501E+01
 3.560E+02, 4.211E+01, 4.219E+01, 6.525E+01
 3.600E+02, 4.174E+01, 4.152E+01, 6.530E+01
 3.650E+02, 4.136E+01, 4.086E+01, 6.513E+01
 3.690E+02, 4.096E+01, 4.025E+01, 6.460E+01
 3.740E+02, 4.054E+01, 3.970E+01, 6.392E+01
 3.780E+02, 4.011E+01, 3.921E+01, 6.324E+01
 3.830E+02, 3.971E+01, 3.887E+01, 6.260E+01
 3.870E+02, 3.934E+01, 3.862E+01, 6.217E+01
 3.920E+02, 3.901E+01, 3.848E+01, 6.190E+01
 3.960E+02, 3.868E+01, 3.852E+01, 6.157E+01
 4.010E+02, 3.833E+01, 3.869E+01, 6.113E+01
 4.050E+02, 3.796E+01, 3.899E+01, 6.049E+01
 4.100E+02, 3.757E+01, 3.950E+01, 5.952E+01
