s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-35","HRRPUA-50","HRRPUA-65"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.900E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.400E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 3.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.354E+01
 4.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.532E+01
 4.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.399E+02
 4.600E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.586E+02
 4.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.673E+02
 5.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.760E+02
 5.100E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.811E+02
 5.300E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.849E+02
 5.500E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.884E+02
 5.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.913E+02
 5.800E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.934E+02
 6.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.951E+02
