s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-70"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 6.879E+00
 2.000E+01, 0.000E+00, 9.044E+00, 1.204E+02
 3.000E+01, 0.000E+00, 8.766E+01, 2.326E+02
 4.000E+01, 0.000E+00, 1.640E+02, 2.841E+02
 5.000E+01, 0.000E+00, 2.118E+02, 2.910E+02
 6.000E+01, 0.000E+00, 2.256E+02, 2.881E+02
 7.000E+01, 0.000E+00, 2.283E+02, 2.761E+02
 8.000E+01, 0.000E+00, 2.267E+02, 2.561E+02
 9.000E+01, 0.000E+00, 2.205E+02, 2.370E+02
 1.000E+02, 1.329E+01, 2.103E+02, 2.233E+02
 1.100E+02, 5.213E+01, 1.972E+02, 2.133E+02
 1.200E+02, 8.986E+01, 1.858E+02, 2.054E+02
 1.300E+02, 1.144E+02, 1.770E+02, 1.997E+02
 1.400E+02, 1.358E+02, 1.705E+02, 1.930E+02
 1.500E+02, 1.445E+02, 1.647E+02, 1.874E+02
 1.600E+02, 1.472E+02, 1.604E+02, 1.853E+02
 1.700E+02, 1.483E+02, 1.570E+02, 1.807E+02
 1.800E+02, 1.480E+02, 1.528E+02, 1.738E+02
 1.900E+02, 1.470E+02, 1.489E+02, 1.696E+02
 2.000E+02, 1.443E+02, 1.461E+02, 1.672E+02
 2.100E+02, 1.410E+02, 1.453E+02, 1.653E+02
 2.200E+02, 1.359E+02, 1.427E+02, 1.641E+02
 2.300E+02, 1.303E+02, 1.380E+02, 1.614E+02
 2.400E+02, 1.251E+02, 1.347E+02, 1.602E+02
 2.500E+02, 1.204E+02, 1.325E+02, 1.606E+02
 2.600E+02, 1.164E+02, 1.311E+02, 1.587E+02
 2.700E+02, 1.134E+02, 1.299E+02, 1.554E+02
 2.800E+02, 1.108E+02, 1.291E+02, 1.540E+02
 2.900E+02, 1.083E+02, 1.282E+02, 1.541E+02
 3.000E+02, 1.059E+02, 1.263E+02, 1.569E+02
 3.100E+02, 1.042E+02, 1.255E+02, 1.617E+02
 3.200E+02, 1.028E+02, 1.260E+02, 1.665E+02
 3.300E+02, 1.013E+02, 1.255E+02, 1.702E+02
 3.400E+02, 9.953E+01, 1.238E+02, 1.716E+02
 3.500E+02, 9.777E+01, 1.217E+02, 1.759E+02
 3.600E+02, 9.623E+01, 1.208E+02, 1.797E+02
 3.700E+02, 9.493E+01, 1.206E+02, 1.814E+02
 3.800E+02, 9.436E+01, 1.212E+02, 1.824E+02
 3.900E+02, 9.423E+01, 1.236E+02, 1.842E+02
 4.000E+02, 9.323E+01, 1.266E+02, 1.872E+02
 4.100E+02, 9.133E+01, 1.295E+02, 1.932E+02
 4.200E+02, 8.936E+01, 1.323E+02, 2.011E+02
 4.300E+02, 8.789E+01, 1.338E+02, 2.079E+02
 4.400E+02, 8.675E+01, 1.346E+02, 2.144E+02
 4.500E+02, 8.594E+01, 1.374E+02, 2.157E+02
 4.600E+02, 8.534E+01, 1.401E+02, 2.029E+02
 4.700E+02, 8.481E+01, 1.417E+02, 1.741E+02
 4.800E+02, 8.429E+01, 1.423E+02, 1.431E+02
 4.900E+02, 8.387E+01, 1.430E+02, 1.101E+02
 5.000E+02, 8.360E+01, 1.441E+02, 8.357E+01
 5.100E+02, 8.326E+01, 1.455E+02, 6.741E+01
 5.200E+02, 8.252E+01, 1.482E+02, 3.593E+01
 5.300E+02, 8.165E+01, 1.522E+02, 0.000E+00
 5.400E+02, 8.133E+01, 1.572E+02, 0.000E+00
 5.500E+02, 8.159E+01, 1.616E+02, 0.000E+00
 5.600E+02, 8.175E+01, 1.654E+02, 0.000E+00
 5.700E+02, 8.153E+01, 1.694E+02, 0.000E+00
 5.800E+02, 8.099E+01, 1.689E+02, 0.000E+00
