s,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_17p70_035","HRRPUA-CONE_17p70_035","WALL TEMPERATURE-CONE_17p70_050","HRRPUA-CONE_17p70_050","WALL TEMPERATURE-CONE_17p70_075","HRRPUA-CONE_17p70_075"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.934E+02, 0.000E+00, 2.596E+02, 1.343E+01, 3.613E+02, 9.642E+00
 2.000E+01, 3.257E+02, 0.000E+00, 4.279E+02, 6.456E+01, 5.663E+02, 6.888E+01
 3.000E+01, 3.795E+02, 0.000E+00, 4.861E+02, 9.518E+01, 6.219E+02, 1.645E+02
 4.000E+01, 4.114E+02, 2.182E+00, 5.176E+02, 1.012E+02, 6.497E+02, 1.812E+02
 5.000E+01, 4.324E+02, 1.182E+01, 5.373E+02, 1.029E+02, 6.663E+02, 1.800E+02
 6.000E+01, 4.475E+02, 2.520E+01, 5.511E+02, 1.025E+02, 6.778E+02, 1.775E+02
 7.000E+01, 4.591E+02, 5.400E+01, 5.615E+02, 1.033E+02, 6.865E+02, 1.750E+02
 8.000E+01, 4.685E+02, 8.848E+01, 5.699E+02, 1.079E+02, 6.935E+02, 1.725E+02
 9.000E+01, 4.764E+02, 1.012E+02, 5.769E+02, 1.140E+02, 6.995E+02, 1.699E+02
 1.000E+02, 4.833E+02, 1.032E+02, 5.830E+02, 1.142E+02, 7.046E+02, 1.686E+02
 1.100E+02, 4.893E+02, 1.028E+02, 5.884E+02, 1.119E+02, 7.092E+02, 1.680E+02
 1.200E+02, 4.948E+02, 1.020E+02, 5.933E+02, 1.103E+02, 7.133E+02, 1.675E+02
 1.300E+02, 4.997E+02, 1.012E+02, 5.977E+02, 1.100E+02, 7.171E+02, 1.680E+02
 1.400E+02, 5.042E+02, 1.003E+02, 6.017E+02, 1.110E+02, 7.205E+02, 1.699E+02
 1.500E+02, 5.084E+02, 9.936E+01, 6.054E+02, 1.116E+02, 7.236E+02, 1.711E+02
 1.600E+02, 5.122E+02, 9.821E+01, 6.087E+02, 1.106E+02, 7.264E+02, 1.705E+02
 1.700E+02, 5.157E+02, 9.705E+01, 6.119E+02, 1.075E+02, 7.291E+02, 1.697E+02
 1.800E+02, 5.190E+02, 9.590E+01, 6.148E+02, 1.042E+02, 7.315E+02, 1.690E+02
 1.900E+02, 5.221E+02, 9.477E+01, 6.175E+02, 1.010E+02, 7.338E+02, 1.683E+02
 2.000E+02, 5.249E+02, 9.404E+01, 6.199E+02, 9.774E+01, 7.359E+02, 1.669E+02
 2.100E+02, 5.276E+02, 9.380E+01, 6.223E+02, 9.019E+01, 7.378E+02, 1.600E+02
 2.200E+02, 5.301E+02, 9.358E+01, 6.244E+02, 8.218E+01, 7.396E+02, 1.517E+02
 2.300E+02, 5.324E+02, 9.335E+01, 6.264E+02, 8.137E+01, 7.413E+02, 1.435E+02
 2.400E+02, 5.345E+02, 9.312E+01, 6.283E+02, 8.264E+01, 7.428E+02, 1.361E+02
 2.500E+02, 5.365E+02, 9.292E+01, 6.300E+02, 8.437E+01, 7.443E+02, 1.294E+02
 2.600E+02, 5.384E+02, 9.337E+01, 6.316E+02, 8.831E+01, 7.456E+02, 1.224E+02
 2.700E+02, 5.402E+02, 9.421E+01, 6.331E+02, 9.082E+01, 7.468E+02, 1.151E+02
 2.800E+02, 5.418E+02, 9.507E+01, 6.345E+02, 8.772E+01, 7.480E+02, 1.074E+02
 2.900E+02, 5.434E+02, 9.586E+01, 6.358E+02, 8.639E+01, 7.490E+02, 9.781E+01
 3.000E+02, 5.448E+02, 9.584E+01, 6.370E+02, 8.423E+01, 7.500E+02, 8.075E+01
 3.100E+02, 5.462E+02, 9.552E+01, 6.382E+02, 8.117E+01, 7.510E+02, 5.505E+01
 3.200E+02, 5.474E+02, 9.520E+01, 6.392E+02, 7.937E+01, 7.518E+02, 3.726E+01
 3.300E+02, 5.486E+02, 9.488E+01, 6.402E+02, 8.063E+01, 7.526E+02, 3.348E+01
 3.400E+02, 5.497E+02, 9.456E+01, 6.411E+02, 7.826E+01, 7.533E+02, 4.128E+01
 3.500E+02, 5.508E+02, 9.424E+01, 6.420E+02, 6.835E+01, 7.540E+02, 4.841E+01
 3.600E+02, 5.517E+02, 9.392E+01, 6.428E+02, 5.463E+01, 7.547E+02, 5.239E+01
 3.700E+02, 5.526E+02, 9.360E+01, 6.435E+02, 4.760E+01, 7.553E+02, 5.558E+01
 3.800E+02, 5.535E+02, 9.328E+01, 6.442E+02, 4.567E+01, 7.558E+02, 5.794E+01
 3.900E+02, 5.543E+02, 9.212E+01, 6.449E+02, 4.426E+01, 7.563E+02, 6.023E+01
 4.000E+02, 5.550E+02, 8.881E+01, 6.455E+02, 4.286E+01, 7.568E+02, 6.089E+01
 4.100E+02, 5.557E+02, 8.543E+01, 6.461E+02, 4.140E+01, 7.573E+02, 6.081E+01
 4.200E+02, 5.564E+02, 8.214E+01, 6.466E+02, 3.908E+01, 7.577E+02, 6.074E+01
 4.300E+02, 5.570E+02, 7.895E+01, 6.471E+02, 3.609E+01, 7.581E+02, 6.066E+01
 4.400E+02, 5.576E+02, 7.586E+01, 6.475E+02, 3.314E+01, 7.584E+02, 6.059E+01
 4.500E+02, 5.581E+02, 7.292E+01, 6.480E+02, 3.023E+01, 7.587E+02, 6.051E+01
 4.600E+02, 5.586E+02, 7.050E+01, 6.484E+02, 2.736E+01, 7.591E+02, 6.044E+01
 4.700E+02, 5.591E+02, 6.821E+01, 6.487E+02, 2.452E+01, 7.593E+02, 6.036E+01
 4.800E+02, 5.595E+02, 6.594E+01, 6.491E+02, 2.173E+01, 7.596E+02, 6.028E+01
 4.900E+02, 5.599E+02, 6.366E+01, 6.494E+02, 1.993E+01, 7.599E+02, 6.021E+01
 5.000E+02, 5.603E+02, 6.138E+01, 6.497E+02, 1.969E+01, 7.601E+02, 6.013E+01
 5.100E+02, 5.607E+02, 5.910E+01, 6.500E+02, 1.953E+01, 7.603E+02, 6.018E+01
 5.200E+02, 5.610E+02, 5.683E+01, 6.503E+02, 1.937E+01, 7.605E+02, 6.122E+01
 5.300E+02, 5.613E+02, 5.456E+01, 6.505E+02, 1.921E+01, 7.607E+02, 6.246E+01
 5.400E+02, 5.616E+02, 5.228E+01, 6.507E+02, 1.905E+01, 7.609E+02, 6.371E+01
 5.500E+02, 5.619E+02, 4.991E+01, 6.510E+02, 1.889E+01, 7.610E+02, 6.495E+01
 5.600E+02, 5.622E+02, 4.704E+01, 6.512E+02, 1.872E+01, 7.612E+02, 6.620E+01
 5.700E+02, 5.624E+02, 4.383E+01, 6.514E+02, 1.855E+01, 7.613E+02, 6.744E+01
 5.800E+02, 5.627E+02, 3.917E+01, 6.515E+02, 1.838E+01, 7.614E+02, 6.869E+01
 5.900E+02, 5.629E+02, 3.405E+01, 6.517E+02, 1.821E+01, 7.616E+02, 6.993E+01
 6.000E+02, 5.631E+02, 2.768E+01, 6.518E+02, 1.803E+01, 7.617E+02, 7.117E+01
 6.100E+02, 5.633E+02, 2.143E+01, 6.520E+02, 1.785E+01, 7.618E+02, 7.242E+01
 6.200E+02, 5.634E+02, 1.842E+01, 6.521E+02, 1.767E+01, 7.619E+02, 7.366E+01
 6.300E+02, 5.636E+02, 1.635E+01, 6.522E+02, 1.748E+01, 7.620E+02, 7.490E+01
 6.400E+02, 5.638E+02, 1.585E+01, 6.524E+02, 1.730E+01, 7.620E+02, 7.614E+01
 6.500E+02, 5.639E+02, 1.595E+01, 6.525E+02, 1.711E+01, 7.621E+02, 7.739E+01
 6.600E+02, 5.641E+02, 1.809E+01, 6.526E+02, 1.692E+01, 7.622E+02, 7.863E+01
 6.700E+02, 5.642E+02, 2.093E+01, 6.527E+02, 1.673E+01, 7.623E+02, 8.013E+01
 6.800E+02, 5.643E+02, 2.246E+01, 6.528E+02, 1.653E+01, 7.623E+02, 8.240E+01
 6.900E+02, 5.644E+02, 2.337E+01, 6.528E+02, 1.643E+01, 7.624E+02, 8.473E+01
 7.000E+02, 5.645E+02, 2.427E+01, 6.529E+02, 1.639E+01, 7.624E+02, 8.731E+01
 7.100E+02, 5.646E+02, 2.518E+01, 6.530E+02, 1.636E+01, 7.625E+02, 9.290E+01
 7.200E+02, 5.647E+02, 2.600E+01, 6.531E+02, 1.632E+01, 7.625E+02, 9.941E+01
 7.300E+02, 5.648E+02, 2.657E+01, 6.531E+02, 1.628E+01, 7.626E+02, 1.051E+02
 7.400E+02, 5.649E+02, 2.710E+01, 6.532E+02, 1.625E+01, 7.626E+02, 1.104E+02
 7.500E+02, 5.650E+02, 2.764E+01, 6.532E+02, 1.621E+01, 7.627E+02, 1.155E+02
 7.600E+02, 5.650E+02, 2.818E+01, 6.533E+02, 1.617E+01, 7.627E+02, 1.200E+02
 7.700E+02, 5.651E+02, 2.872E+01, 6.533E+02, 1.614E+01, 7.627E+02, 1.232E+02
 7.800E+02, 5.652E+02, 2.904E+01, 6.534E+02, 1.611E+01, 7.628E+02, 1.256E+02
 7.900E+02, 5.652E+02, 2.903E+01, 6.534E+02, 1.614E+01, 7.628E+02, 1.261E+02
 8.000E+02, 5.653E+02, 2.901E+01, 6.534E+02, 1.621E+01, 7.628E+02, 1.265E+02
 8.100E+02, 5.653E+02, 2.899E+01, 6.535E+02, 1.627E+01, 7.628E+02, 1.268E+02
 8.200E+02, 5.654E+02, 2.898E+01, 6.535E+02, 1.634E+01, 7.629E+02, 1.272E+02
 8.300E+02, 5.654E+02, 2.896E+01, 6.536E+02, 1.640E+01, 7.629E+02, 1.276E+02
 8.400E+02, 5.655E+02, 2.894E+01, 6.536E+02, 1.646E+01, 7.629E+02, 1.282E+02
 8.500E+02, 5.655E+02, 2.892E+01, 6.536E+02, 1.653E+01, 7.629E+02, 1.305E+02
 8.600E+02, 5.655E+02, 2.891E+01, 6.536E+02, 1.659E+01, 7.629E+02, 1.332E+02
 8.700E+02, 5.656E+02, 2.889E+01, 6.537E+02, 1.665E+01, 7.630E+02, 1.358E+02
 8.800E+02, 5.656E+02, 2.887E+01, 6.537E+02, 1.671E+01, 7.630E+02, 1.384E+02
 8.900E+02, 5.656E+02, 2.885E+01, 6.537E+02, 1.678E+01, 7.630E+02, 1.414E+02
 9.000E+02, 5.657E+02, 2.884E+01, 6.537E+02, 1.684E+01, 7.630E+02, 1.430E+02
 9.100E+02, 5.657E+02, 2.882E+01, 6.537E+02, 1.690E+01, 7.630E+02, 1.437E+02
 9.200E+02, 5.657E+02, 2.880E+01, 6.538E+02, 1.696E+01, 7.630E+02, 1.444E+02
 9.300E+02, 5.658E+02, 2.878E+01, 6.538E+02, 1.701E+01, 7.630E+02, 1.450E+02
 9.400E+02, 5.658E+02, 2.877E+01, 6.538E+02, 1.702E+01, 7.630E+02, 1.457E+02
