s,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_12p00_050,HRRPUA-CONE_12p00_050,WALL TEMPERATURE-CONE_12p00_075,HRRPUA-CONE_12p00_075
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 2.365E+02, 0.000E+00, 3.296E+02, 0.000E+00
 2.000E+01, 3.988E+02, 0.000E+00, 5.350E+02, 0.000E+00
 3.000E+01, 4.582E+02, 0.000E+00, 5.953E+02, 0.000E+00
 4.000E+01, 4.924E+02, 0.000E+00, 6.270E+02, 0.000E+00
 5.000E+01, 5.157E+02, 0.000E+00, 6.477E+02, 0.000E+00
 6.000E+01, 5.332E+02, 0.000E+00, 6.629E+02, 0.000E+00
 7.000E+01, 5.471E+02, 0.000E+00, 6.750E+02, 0.000E+00
 8.000E+01, 5.587E+02, 0.000E+00, 6.851E+02, 0.000E+00
 9.000E+01, 5.687E+02, 0.000E+00, 6.936E+02, 0.000E+00
 1.000E+02, 5.774E+02, 0.000E+00, 7.011E+02, 0.000E+00
 1.100E+02, 5.850E+02, 0.000E+00, 7.076E+02, 0.000E+00
 1.200E+02, 5.918E+02, 0.000E+00, 7.133E+02, 0.000E+00
 1.300E+02, 5.978E+02, 0.000E+00, 7.184E+02, 0.000E+00
 1.400E+02, 6.032E+02, 0.000E+00, 7.229E+02, 9.521E+01
 1.500E+02, 6.080E+02, 0.000E+00, 7.269E+02, 1.659E+02
 1.600E+02, 6.124E+02, 0.000E+00, 7.305E+02, 1.122E+02
 1.700E+02, 6.163E+02, 0.000E+00, 7.337E+02, 5.975E+01
 1.800E+02, 6.198E+02, 0.000E+00, 7.366E+02, 2.738E+01
 1.900E+02, 6.230E+02, 0.000E+00, 7.392E+02, 2.092E+01
 2.000E+02, 6.258E+02, 0.000E+00, 7.415E+02, 1.957E+01
 2.100E+02, 6.284E+02, 0.000E+00, 7.435E+02, 2.312E+01
 2.200E+02, 6.307E+02, 0.000E+00, 7.454E+02, 2.422E+01
 2.300E+02, 6.328E+02, 0.000E+00, 7.470E+02, 2.236E+01
 2.400E+02, 6.347E+02, 0.000E+00, 7.485E+02, 2.103E+01
 2.500E+02, 6.364E+02, 0.000E+00, 7.499E+02, 2.685E+01
 2.600E+02, 6.380E+02, 0.000E+00, 7.511E+02, 1.254E+01
 2.700E+02, 6.394E+02, 0.000E+00, 7.521E+02, 0.000E+00
 2.800E+02, 6.407E+02, 8.215E+00, 7.531E+02, 0.000E+00
 2.900E+02, 6.418E+02, 3.795E+01, 7.540E+02, 0.000E+00
 3.000E+02, 6.429E+02, 5.222E+01, 7.547E+02, 0.000E+00
 3.100E+02, 6.438E+02, 4.242E+01, 7.554E+02, 0.000E+00
 3.200E+02, 6.446E+02, 2.692E+01, 7.561E+02, 0.000E+00
 3.300E+02, 6.454E+02, 1.811E+01, 7.566E+02, 0.000E+00
 3.400E+02, 6.461E+02, 1.122E+01, 7.571E+02, 0.000E+00
 3.500E+02, 6.467E+02, 8.421E+00, 7.576E+02, 0.000E+00
 3.600E+02, 6.473E+02, 6.651E+00, 7.580E+02, 0.000E+00
 3.700E+02, 6.478E+02, 5.682E+00, 7.584E+02, 0.000E+00
 3.800E+02, 6.483E+02, 5.656E+00, 7.587E+02, 0.000E+00
 3.900E+02, 6.487E+02, 5.805E+00, 7.590E+02, 0.000E+00
 3.984E+02, 6.490E+02, 6.019E+00, 7.592E+02, 0.000E+00
