s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_3p20_025","HRRPUA-CONE_3p20_025","WALL TEMPERATURE-CONE_3p20_050","HRRPUA-CONE_3p20_050","WALL TEMPERATURE-CONE_3p20_075","HRRPUA-CONE_3p20_075","WALL TEMPERATURE-CONE_8p10_024","HRRPUA-CONE_8p10_024","WALL TEMPERATURE-CONE_8p10_049","HRRPUA-CONE_8p10_049","WALL TEMPERATURE-CONE_8p10_073","HRRPUA-CONE_8p10_073","WALL TEMPERATURE-CONE_27p00_023","HRRPUA-CONE_27p00_023","WALL TEMPERATURE-CONE_27p00_046","HRRPUA-CONE_27p00_046","WALL TEMPERATURE-CONE_27p00_069","HRRPUA-CONE_27p00_069"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 8.905E+01, 0.000E+00, 1.501E+02, 0.000E+00, 2.098E+02, 0.000E+00, 8.702E+01, 0.000E+00, 1.485E+02, 0.000E+00, 2.063E+02, 0.000E+00, 8.469E+01, 0.000E+00, 1.415E+02, 0.000E+00, 1.972E+02, 0.000E+00
 2.000E+01, 1.479E+02, 0.000E+00, 2.632E+02, 0.000E+00, 3.708E+02, 0.000E+00, 1.444E+02, 0.000E+00, 2.611E+02, 0.000E+00, 3.657E+02, 0.000E+00, 1.398E+02, 0.000E+00, 2.477E+02, 0.000E+00, 3.491E+02, 3.225E+01
 3.000E+01, 1.795E+02, 0.000E+00, 3.197E+02, 0.000E+00, 4.441E+02, 1.383E+02, 1.759E+02, 0.000E+00, 3.185E+02, 0.000E+00, 4.400E+02, 3.586E+01, 1.700E+02, 0.000E+00, 3.023E+02, 0.000E+00, 4.211E+02, 4.006E+02
 4.000E+01, 2.035E+02, 0.000E+00, 3.600E+02, 0.000E+00, 4.926E+02, 5.022E+02, 1.993E+02, 0.000E+00, 3.584E+02, 0.000E+00, 4.878E+02, 3.774E+02, 1.926E+02, 0.000E+00, 3.408E+02, 0.000E+00, 4.680E+02, 5.201E+02
 5.000E+01, 2.238E+02, 0.000E+00, 3.921E+02, 8.492E+00, 5.292E+02, 6.455E+02, 2.180E+02, 0.000E+00, 3.881E+02, 3.014E+01, 5.211E+02, 4.911E+02, 2.108E+02, 0.000E+00, 3.699E+02, 5.976E+01, 5.015E+02, 5.497E+02
 6.000E+01, 2.419E+02, 0.000E+00, 4.193E+02, 1.927E+02, 5.587E+02, 7.002E+02, 2.335E+02, 0.000E+00, 4.112E+02, 3.014E+02, 5.456E+02, 5.294E+02, 2.260E+02, 0.000E+00, 3.929E+02, 2.279E+02, 5.264E+02, 5.835E+02
 7.000E+01, 2.585E+02, 0.000E+00, 4.430E+02, 3.659E+02, 5.834E+02, 8.096E+02, 2.466E+02, 0.000E+00, 4.297E+02, 4.081E+02, 5.643E+02, 5.662E+02, 2.390E+02, 0.000E+00, 4.115E+02, 3.585E+02, 5.458E+02, 6.264E+02
 8.000E+01, 2.739E+02, 0.000E+00, 4.639E+02, 4.513E+02, 6.045E+02, 9.723E+02, 2.580E+02, 0.000E+00, 4.449E+02, 4.433E+02, 5.792E+02, 5.940E+02, 2.503E+02, 0.000E+00, 4.270E+02, 4.348E+02, 5.613E+02, 6.461E+02
 9.000E+01, 2.882E+02, 0.000E+00, 4.825E+02, 5.223E+02, 6.228E+02, 1.098E+03, 2.680E+02, 0.000E+00, 4.577E+02, 4.670E+02, 5.914E+02, 6.149E+02, 2.604E+02, 0.000E+00, 4.402E+02, 4.563E+02, 5.741E+02, 6.641E+02
 1.000E+02, 3.016E+02, 0.000E+00, 4.991E+02, 5.774E+02, 6.386E+02, 1.107E+03, 2.769E+02, 0.000E+00, 4.687E+02, 4.896E+02, 6.016E+02, 6.365E+02, 2.694E+02, 0.000E+00, 4.515E+02, 4.645E+02, 5.849E+02, 6.707E+02
 1.100E+02, 3.141E+02, 0.000E+00, 5.140E+02, 6.389E+02, 6.524E+02, 1.006E+03, 2.849E+02, 0.000E+00, 4.782E+02, 4.761E+02, 6.104E+02, 6.728E+02, 2.775E+02, 0.000E+00, 4.614E+02, 4.764E+02, 5.941E+02, 6.741E+02
 1.200E+02, 3.258E+02, 7.554E+00, 5.273E+02, 6.912E+02, 6.645E+02, 8.337E+02, 2.922E+02, 0.000E+00, 4.865E+02, 5.023E+02, 6.180E+02, 6.803E+02, 2.849E+02, 0.000E+00, 4.701E+02, 4.884E+02, 6.021E+02, 7.128E+02
 1.300E+02, 3.367E+02, 8.950E+01, 5.392E+02, 7.250E+02, 6.751E+02, 6.260E+02, 2.989E+02, 0.000E+00, 4.940E+02, 5.161E+02, 6.246E+02, 7.358E+02, 2.917E+02, 0.000E+00, 4.778E+02, 4.869E+02, 6.091E+02, 7.273E+02
 1.400E+02, 3.469E+02, 1.730E+02, 5.499E+02, 7.684E+02, 6.844E+02, 4.719E+02, 3.050E+02, 0.000E+00, 5.007E+02, 5.177E+02, 6.306E+02, 7.634E+02, 2.979E+02, 0.000E+00, 4.847E+02, 4.881E+02, 6.153E+02, 7.338E+02
 1.500E+02, 3.564E+02, 2.334E+02, 5.595E+02, 8.319E+02, 6.926E+02, 3.379E+02, 3.107E+02, 0.000E+00, 5.067E+02, 5.184E+02, 6.359E+02, 7.768E+02, 3.036E+02, 0.000E+00, 4.909E+02, 5.029E+02, 6.208E+02, 7.403E+02
 1.600E+02, 3.653E+02, 2.711E+02, 5.681E+02, 8.032E+02, 6.998E+02, 2.113E+02, 3.160E+02, 0.000E+00, 5.122E+02, 5.290E+02, 6.408E+02, 8.004E+02, 3.089E+02, 0.000E+00, 4.965E+02, 5.218E+02, 6.257E+02, 7.468E+02
 1.700E+02, 3.735E+02, 2.968E+02, 5.758E+02, 7.244E+02, 7.061E+02, 1.394E+02, 3.209E+02, 1.075E+01, 5.173E+02, 5.448E+02, 6.452E+02, 8.376E+02, 3.138E+02, 0.000E+00, 5.016E+02, 5.404E+02, 6.301E+02, 7.533E+02
 1.800E+02, 3.812E+02, 3.123E+02, 5.827E+02, 6.439E+02, 7.117E+02, 8.935E+01, 3.255E+02, 1.030E+02, 5.220E+02, 5.520E+02, 6.493E+02, 8.692E+02, 3.184E+02, 0.000E+00, 5.062E+02, 5.589E+02, 6.341E+02, 7.575E+02
