s,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_10p00_040,HRRPUA-CONE_10p00_040,WALL TEMPERATURE-CONE_10p00_050,HRRPUA-CONE_10p00_050
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 2.054E+02, 0.000E+00, 2.466E+02, 0.000E+00
 2.000E+01, 3.473E+02, 0.000E+00, 4.122E+02, 5.080E+01
 3.000E+01, 4.029E+02, 1.186E+01, 4.709E+02, 1.586E+02
 4.000E+01, 4.375E+02, 5.809E+01, 5.057E+02, 1.565E+02
 5.000E+01, 4.627E+02, 1.219E+02, 5.303E+02, 1.342E+02
 6.000E+01, 4.824E+02, 1.184E+02, 5.493E+02, 1.240E+02
 7.000E+01, 4.985E+02, 1.024E+02, 5.646E+02, 1.141E+02
 8.000E+01, 5.120E+02, 9.632E+01, 5.773E+02, 1.055E+02
 9.000E+01, 5.234E+02, 9.296E+01, 5.879E+02, 1.003E+02
 1.000E+02, 5.331E+02, 8.955E+01, 5.969E+02, 9.728E+01
 1.100E+02, 5.414E+02, 8.447E+01, 6.045E+02, 9.539E+01
 1.200E+02, 5.486E+02, 7.844E+01, 6.110E+02, 9.479E+01
 1.300E+02, 5.547E+02, 7.336E+01, 6.166E+02, 9.527E+01
 1.400E+02, 5.601E+02, 7.002E+01, 6.213E+02, 9.725E+01
 1.500E+02, 5.647E+02, 6.770E+01, 6.254E+02, 9.977E+01
 1.600E+02, 5.687E+02, 6.606E+01, 6.290E+02, 1.050E+02
 1.700E+02, 5.722E+02, 6.581E+01, 6.320E+02, 1.133E+02
 1.800E+02, 5.752E+02, 6.595E+01, 6.347E+02, 1.225E+02
 1.900E+02, 5.779E+02, 6.782E+01, 6.369E+02, 1.350E+02
 2.000E+02, 5.802E+02, 6.996E+01, 6.389E+02, 1.478E+02
 2.100E+02, 5.822E+02, 7.222E+01, 6.406E+02, 1.628E+02
 2.200E+02, 5.839E+02, 7.555E+01, 6.420E+02, 1.777E+02
 2.300E+02, 5.854E+02, 7.913E+01, 6.433E+02, 1.921E+02
 2.400E+02, 5.867E+02, 8.274E+01, 6.444E+02, 2.001E+02
 2.500E+02, 5.879E+02, 8.713E+01, 6.454E+02, 2.024E+02
 2.600E+02, 5.889E+02, 9.193E+01, 6.462E+02, 2.008E+02
 2.700E+02, 5.898E+02, 9.778E+01, 6.469E+02, 1.762E+02
 2.800E+02, 5.905E+02, 1.046E+02, 6.475E+02, 1.393E+02
 2.900E+02, 5.912E+02, 1.114E+02, 6.480E+02, 1.002E+02
 3.000E+02, 5.918E+02, 1.176E+02, 6.485E+02, 7.903E+01
 3.100E+02, 5.923E+02, 1.221E+02, 6.489E+02, 6.562E+01
 3.200E+02, 5.927E+02, 1.247E+02, 6.492E+02, 5.736E+01
 3.300E+02, 5.931E+02, 1.271E+02, 6.495E+02, 5.179E+01
 3.400E+02, 5.934E+02, 1.271E+02, 6.498E+02, 4.795E+01
 3.500E+02, 5.937E+02, 1.236E+02, 6.500E+02, 4.412E+01
 3.600E+02, 5.940E+02, 1.179E+02, 6.502E+02, 4.125E+01
 3.700E+02, 5.942E+02, 1.115E+02, 6.504E+02, 3.980E+01
