cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 6.5938812E+002, 1.7048382E-003, 3.6935719E-002, 4.6748045E-002, 3.8757928E-001, 8.7507335E-002, 3.6665134E-002, 3.9369337E-001, 3.0857349E-003
 7.5000000E-001, 7.9423605E+002, 5.1430851E-003, 4.5373811E-002, 5.0830109E-002, 2.7339523E-001, 1.0233374E-001, 3.9866752E-002, 4.7309058E-001, 3.5245700E-003
 1.2500000E+000, 8.7362696E+002, 6.7161428E-003, 5.0167943E-002, 5.1832749E-002, 2.1837957E-001, 1.0970734E-001, 4.0653136E-002, 5.1237984E-001, 3.6934371E-003
 1.7500000E+000, 9.2983130E+002, 7.3918290E-003, 5.3786443E-002, 5.1814784E-002, 1.8403117E-001, 1.1464922E-001, 4.0639046E-002, 5.3752774E-001, 3.7562711E-003
 2.2500000E+000, 9.6817671E+002, 8.2634084E-003, 5.6442602E-002, 5.1364762E-002, 1.5969089E-001, 1.1793824E-001, 4.0286088E-002, 5.5594248E-001, 3.7692311E-003
 2.7500000E+000, 9.9546633E+002, 9.6435851E-003, 5.8433302E-002, 5.0503216E-002, 1.4117690E-001, 1.2000233E-001, 3.9610366E-002, 5.7072771E-001, 3.7391516E-003
 3.2500000E+000, 1.0160122E+003, 1.1380977E-002, 5.9864441E-002, 4.9562752E-002, 1.2626727E-001, 1.2124657E-001, 3.8872747E-002, 5.8308706E-001, 3.6959197E-003
 3.7500000E+000, 1.0332299E+003, 1.3360001E-002, 6.1101325E-002, 4.8312967E-002, 1.1376868E-001, 1.2198523E-001, 3.7892523E-002, 5.9410614E-001, 3.6229310E-003
 4.2500000E+000, 1.0463264E+003, 1.5822642E-002, 6.1922742E-002, 4.6978438E-002, 1.0306245E-001, 1.2209874E-001, 3.6845834E-002, 6.0405770E-001, 3.5395012E-003
 4.7500000E+000, 1.0583560E+003, 1.8294212E-002, 6.2577589E-002, 4.5633113E-002, 9.3817081E-002, 1.2197634E-001, 3.5790677E-002, 6.1296332E-001, 3.4521025E-003
 5.2500000E+000, 1.0691146E+003, 2.0719963E-002, 6.3123584E-002, 4.4266213E-002, 8.5861851E-002, 1.2168726E-001, 3.4718598E-002, 6.2094288E-001, 3.3596432E-003
 5.7500000E+000, 1.0784897E+003, 2.3193455E-002, 6.3590438E-002, 4.2797681E-002, 7.8982218E-002, 1.2121054E-001, 3.3566809E-002, 6.2826716E-001, 3.2568710E-003
 6.2500000E+000, 1.0854966E+003, 2.5789261E-002, 6.3854853E-002, 4.1376313E-002, 7.2977245E-002, 1.2049702E-001, 3.2452010E-002, 6.3494029E-001, 3.1561355E-003
 6.7500000E+000, 1.0900943E+003, 2.8569942E-002, 6.3870782E-002, 4.0047160E-002, 6.7670260E-002, 1.1952073E-001, 3.1409537E-002, 6.4105921E-001, 3.0612371E-003
 7.2500000E+000, 1.0937106E+003, 3.1420937E-002, 6.3734929E-002, 3.8777626E-002, 6.2973140E-002, 1.1838569E-001, 3.0413824E-002, 6.4669040E-001, 2.9697310E-003
 7.7500000E+000, 1.0965597E+003, 3.4203967E-002, 6.3501393E-002, 3.7619606E-002, 5.8762804E-002, 1.1720419E-001, 2.9505573E-002, 6.5182608E-001, 2.8861098E-003
 8.2500000E+000, 1.0997937E+003, 3.6777013E-002, 6.3307211E-002, 3.6500613E-002, 5.4977831E-002, 1.1610323E-001, 2.8627932E-002, 6.5654918E-001, 2.8045475E-003
 8.7500000E+000, 1.1029210E+003, 3.9193306E-002, 6.3112788E-002, 3.5443452E-002, 5.1566338E-002, 1.1504785E-001, 2.7798786E-002, 6.6088779E-001, 2.7271451E-003
 9.2500000E+000, 1.1059233E+003, 4.1448638E-002, 6.2971123E-002, 3.4386170E-002, 4.8469372E-002, 1.1406127E-001, 2.6969545E-002, 6.6495149E-001, 2.6490118E-003
 9.7500000E+000, 1.1082226E+003, 4.3686730E-002, 6.2789010E-002, 3.3353162E-002, 4.5655628E-002, 1.1303833E-001, 2.6159343E-002, 6.6877796E-001, 2.5721054E-003
 1.0250000E+001, 1.1097857E+003, 4.5957419E-002, 6.2530424E-002, 3.2364741E-002, 4.3073819E-002, 1.1194688E-001, 2.5384111E-002, 6.7239658E-001, 2.4983099E-003
 1.0750000E+001, 1.1107820E+003, 4.8220016E-002, 6.2214699E-002, 3.1432727E-002, 4.0679319E-002, 1.1082188E-001, 2.4653119E-002, 6.7581496E-001, 2.4287106E-003
 1.1250000E+001, 1.1115980E+003, 5.0414406E-002, 6.1895347E-002, 3.0533191E-002, 3.8443699E-002, 1.0971632E-001, 2.3947600E-002, 6.7906254E-001, 2.3613510E-003
 1.1750000E+001, 1.1122599E+003, 5.2520071E-002, 6.1604033E-002, 2.9636755E-002, 3.6371107E-002, 1.0864976E-001, 2.3244514E-002, 6.8216263E-001, 2.2937252E-003
 1.2250000E+001, 1.1127544E+003, 5.4545658E-002, 6.1339452E-002, 2.8740714E-002, 3.4448020E-002, 1.0761847E-001, 2.2541737E-002, 6.8513051E-001, 2.2257437E-003
 1.2750000E+001, 1.1127763E+003, 5.6563659E-002, 6.1054495E-002, 2.7860633E-002, 3.2639580E-002, 1.0657184E-001, 2.1851476E-002, 6.8799545E-001, 2.1588850E-003
 1.3250000E+001, 1.1122865E+003, 5.8612404E-002, 6.0735986E-002, 2.6987387E-002, 3.0932051E-002, 1.0548539E-001, 2.1166578E-002, 6.9078856E-001, 2.0923812E-003
 1.3750000E+001, 1.1113293E+003, 6.0711997E-002, 6.0363861E-002, 2.6136722E-002, 2.9306382E-002, 1.0434457E-001, 2.0499390E-002, 6.9351223E-001, 2.0275962E-003
 1.4250000E+001, 1.1099294E+003, 6.2830647E-002, 5.9947879E-002, 2.5319176E-002, 2.7765898E-002, 1.0317045E-001, 1.9858178E-002, 6.9614322E-001, 1.9652802E-003
 1.4750000E+001, 1.1083764E+003, 6.5069693E-002, 5.9499331E-002, 2.4446452E-002, 2.6268167E-002, 1.0191051E-001, 1.9173688E-002, 6.9883873E-001, 1.8982471E-003
 1.5250000E+001, 1.1061483E+003, 6.7322778E-002, 5.9001497E-002, 2.3608570E-002, 2.4915938E-002, 1.0061111E-001, 1.8516526E-002, 7.0139445E-001, 1.8337708E-003
 1.5750000E+001, 1.1038551E+003, 6.9607594E-002, 5.8502521E-002, 2.2738085E-002, 2.3621057E-002, 9.9284955E-002, 1.7833792E-002, 7.0395355E-001, 1.7666089E-003
 1.6250000E+001, 1.1011632E+003, 7.1910316E-002, 5.7975982E-002, 2.1879917E-002, 2.2403269E-002, 9.7931253E-002, 1.7160719E-002, 7.0644836E-001, 1.7003116E-003
 1.6750000E+001, 1.0979030E+003, 7.4260606E-002, 5.7390810E-002, 2.1056141E-002, 2.1254183E-002, 9.6525625E-002, 1.6514620E-002, 7.0886936E-001, 1.6366518E-003
 1.7250000E+001, 1.0941575E+003, 7.6653463E-002, 5.6748901E-002, 2.0269557E-002, 2.0164233E-002, 9.5072780E-002, 1.5897691E-002, 7.1121895E-001, 1.5758364E-003
 1.7750000E+001, 1.0899381E+003, 7.9108050E-002, 5.6064202E-002, 1.9484967E-002, 1.9136426E-002, 9.3564276E-002, 1.5282327E-002, 7.1353917E-001, 1.5149965E-003
 1.8250000E+001, 1.0852382E+003, 8.1632923E-002, 5.5340369E-002, 1.8690026E-002, 1.8173746E-002, 9.1995492E-002, 1.4658844E-002, 7.1584389E-001, 1.4531989E-003
