cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot,z_rad,HF_vert,r_rad,HF_hori
 2.5000000E-001, 2.8915000E+002, 2.8915000E+002, 4.0922542E-003, 1.7479605E-013, 0.0000000E+000, 2.6482370E-004, 2.0857792E-001, 3.8830909E-004, 0.0000000E+000, 0.0000000E+000, 4.6186473E-003, 0.0000000E+000, 7.8641512E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7499397E-001, 1.8275667E+001, 8.6243141E+000
 2.6887755E+000, 8.6832926E+002, 8.6775253E+002, 3.4562027E-001, 7.1623176E+001, 8.4394127E+001, 1.4806788E-001, 7.6852650E-003, 4.3209336E-002, 6.8020304E-002, 1.3601678E-001, 1.2089627E-001, 6.0462492E-002, 5.4103612E-001, 6.8644056E-002, 9.8114985E-003, 3.8888889E+000, 2.5925004E-001, 2.2506950E+001, 5.8146732E+000
 5.1275510E+000, 9.3227551E+002, 9.3411296E+002, 8.6148477E-001, 7.0460966E+001, 8.9884742E+001, 1.7465928E-001, 1.0583825E-002, 4.6016268E-002, 6.8708318E-002, 9.3345735E-002, 1.2541166E-001, 6.1074060E-002, 5.7195736E-001, 7.1155634E-002, 1.0170486E-002, 7.7777778E+000, 2.9340756E-001, 2.6739865E+001, 4.0810122E+000
 7.5663265E+000, 9.5529743E+002, 9.5886355E+002, 1.1674320E+000, 7.1506802E+001, 9.4836393E+001, 2.1750911E-001, 1.3127386E-002, 4.7679499E-002, 6.7149206E-002, 7.7251402E-002, 1.2631875E-001, 5.9688183E-002, 5.8640251E-001, 7.0085593E-002, 1.0017542E-002, 1.1666667E+001, 3.4453335E-001, 3.0973743E+001, 3.1231483E+000
 1.0005102E+001, 9.7326343E+002, 9.7837926E+002, 1.4679955E+000, 7.3588487E+001, 1.0175423E+002, 2.6574514E-001, 1.5789931E-002, 4.9581809E-002, 6.4663502E-002, 6.4714344E-002, 1.2671396E-001, 5.7478668E-002, 5.9950328E-001, 6.7800239E-002, 9.6908892E-003, 1.5555556E+001, 3.7389557E-001, 3.5208237E+001, 2.4582681E+000
 1.2443878E+001, 9.8844821E+002, 9.9501530E+002, 1.7542780E+000, 7.8472951E+001, 1.1192874E+002, 3.1690287E-001, 1.8889865E-002, 5.1484248E-002, 6.1479271E-002, 5.4752003E-002, 1.2648408E-001, 5.4648241E-002, 6.1176920E-001, 6.4608900E-002, 9.2347418E-003, 1.9444444E+001, 3.7156397E-001, 3.9443149E+001, 2.0391235E+000
 1.4882653E+001, 1.0002610E+003, 1.0081320E+003, 2.0216885E+000, 8.2953482E+001, 1.2090387E+002, 3.6815220E-001, 2.2864083E-002, 5.3063248E-002, 5.7792237E-002, 4.6761979E-002, 1.2537328E-001, 5.1370878E-002, 6.2351021E-001, 6.0786093E-002, 8.6883365E-003, 2.3333333E+001, 3.5059331E-001, 4.3678356E+001, 1.7114102E+000
 1.7321429E+001, 1.0136197E+003, 1.0223784E+003, 2.4838269E+000, 9.0061636E+001, 1.3821631E+002, 4.7873623E-001, 3.2581945E-002, 5.4853661E-002, 5.0323667E-002, 3.4761305E-002, 1.2123248E-001, 4.4732148E-002, 6.4474024E-001, 5.2932551E-002, 7.5658064E-003, 2.7222222E+001, 3.2855698E-001, 4.7913781E+001, 1.4509971E+000
 1.9760204E+001, 1.0176059E+003, 1.0264679E+003, 2.6795239E+000, 9.3712351E+001, 1.4622981E+002, 5.3566949E-001, 3.7912073E-002, 5.5198058E-002, 4.6751770E-002, 3.0178529E-002, 1.1856625E-001, 4.1557129E-002, 6.5425226E-001, 4.9151809E-002, 7.0254138E-003, 3.1111111E+001, 3.1544510E-001, 5.2149371E+001, 1.1268309E+000
