cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 5.0000000E-001, 7.7170071E+002, 7.7488367E+002, 4.7393666E-002, 2.1901022E+002, 2.3063330E+002, 1.2797723E-001, 5.5399563E-003, 3.8268629E-002, 4.8749475E-002, 4.0349915E-001, 1.2689066E-001, 4.8749475E-002, 3.2830265E-001, 0.0000000E+000,-4.0000000E+000, 2.5527718E+001, 1.7626073E+001, 0.0000000E+000, 6.9089779E-001, 1.6155494E+001, 2.7261073E+000,-4.0000000E+000, 1.1912506E+003, 8.3989444E+002, 7.0582543E+002, 5.7758418E+002, 5.0140619E+002, 1.4171420E+002, 2.1078650E+002, 1.8839795E+002, 1.4172548E+002, 1.0187266E+002
 1.5000000E+000, 8.9440343E+002, 9.0154270E+002, 1.9684713E-001, 2.0748755E+002, 2.2191612E+002, 1.6578887E-001, 8.5824148E-003, 4.4539030E-002, 5.6332855E-002, 2.9753776E-001, 1.4731314E-001, 5.6332855E-002, 3.8936194E-001, 0.0000000E+000,-3.0000000E+000, 2.4121831E+001, 1.7255054E+001, 1.3761468E+000, 6.5092888E-001, 1.7279331E+001, 2.7261073E+000,-3.0000000E+000, 1.1323114E+003, 9.0738143E+002, 7.3370341E+002, 5.8884793E+002, 5.0482744E+002, 1.4350063E+002, 2.1666210E+002, 1.9360714E+002, 1.4424570E+002, 1.0180031E+002
 2.5000000E+000, 9.8544738E+002, 9.9602046E+002, 1.9684713E-001, 2.0970676E+002, 2.2651933E+002, 1.6578887E-001, 1.1743727E-002, 4.8970537E-002, 5.9469970E-002, 2.2868511E-001, 1.5952226E-001, 5.9469970E-002, 4.3213843E-001, 0.0000000E+000,-2.0000000E+000, 2.4121831E+001, 1.7255054E+001, 2.7522936E+000, 6.4913454E-001, 1.8403416E+001, 2.2411878E+000,-2.0000000E+000, 1.1323114E+003, 9.0738143E+002, 7.3370341E+002, 5.8884793E+002, 5.0482744E+002, 1.4350063E+002, 2.1666210E+002, 1.9360714E+002, 1.4424570E+002, 1.0180031E+002
 3.5000000E+000, 1.0519701E+003, 1.0654088E+003, 6.1445377E-001, 2.1246850E+002, 2.3122324E+002, 2.4009924E-001, 1.4484314E-002, 5.2396361E-002, 6.0165090E-002, 1.8249859E-001, 1.6722014E-001, 6.0165090E-002, 4.6307041E-001, 0.0000000E+000,-1.0000000E+000, 2.3067736E+001, 1.6889606E+001, 4.1284404E+000, 7.9429822E-001, 1.9527708E+001, 2.0272105E+000,-1.0000000E+000, 1.0717818E+003, 9.4249141E+002, 7.4836548E+002, 5.9638105E+002, 5.0636233E+002, 1.4612525E+002, 2.1398187E+002, 1.9720621E+002, 1.4484338E+002, 1.0030898E+002
 4.5000000E+000, 1.1019196E+003, 1.1177429E+003, 8.3449583E-001, 2.1582210E+002, 2.3646029E+002, 2.9301464E-001, 1.6765692E-002, 5.5169498E-002, 5.9600135E-002, 1.5032400E-001, 1.7231459E-001, 5.9600135E-002, 4.8622595E-001, 0.0000000E+000,-1.0000000E-002, 2.2586801E+001, 1.6696469E+001, 5.5045872E+000, 8.6854933E-001, 2.0652171E+001, 1.7294720E+000,-1.0000000E-002, 1.0436002E+003, 9.4899350E+002, 7.5139421E+002, 5.9942788E+002, 5.0665235E+002, 1.5109456E+002, 2.1793334E+002, 2.0028715E+002, 1.4635648E+002, 1.0038038E+002
 5.5000000E+000, 1.1417372E+003, 1.1596647E+003, 1.0496241E+000, 2.1740955E+002, 2.3957562E+002, 3.4962707E-001, 1.9024472E-002, 5.7563063E-002, 5.8023714E-002, 1.2649246E-001, 1.7561826E-001, 5.8023714E-002, 5.0525432E-001, 0.0000000E+000, 1.0000000E+000, 2.2558738E+001, 1.6642068E+001, 6.8807339E+000, 9.0639362E-001, 2.1776780E+001, 1.5872762E+000, 1.0000000E+000, 1.0497770E+003, 8.9777180E+002, 7.3448688E+002, 5.9108740E+002, 5.0463473E+002, 1.5564963E+002, 2.2289273E+002, 1.9654781E+002, 1.4767692E+002, 1.0109611E+002
 6.5000000E+000, 1.1722020E+003, 1.1916741E+003, 1.2588680E+000, 2.1658876E+002, 2.4008786E+002, 4.0722350E-001, 2.1782182E-002, 5.9466357E-002, 5.5806466E-002, 1.0765933E-001, 1.7729033E-001, 5.5806466E-002, 5.2218886E-001, 0.0000000E+000, 2.0000000E+000, 2.3310425E+001, 1.6893693E+001, 8.2568807E+000, 8.8414905E-001, 2.2901513E+001, 1.3836529E+000, 2.0000000E+000, 1.1026212E+003, 8.5273875E+002, 7.0644353E+002, 5.7987816E+002, 5.0250416E+002, 1.5858483E+002, 2.2060709E+002, 1.9411709E+002, 1.4543881E+002, 1.0340644E+002
 7.5000000E+000, 1.1949774E+003, 1.2154026E+003, 1.4559015E+000, 2.1585473E+002, 2.4121325E+002, 4.6653662E-001, 2.4993732E-002, 6.0880161E-002, 5.3280887E-002, 9.2407709E-002, 1.7766711E-001, 5.3280887E-002, 5.3748951E-001, 0.0000000E+000, 3.0000000E+000, 2.4842973E+001, 1.7254985E+001, 9.6330275E+000, 8.5476864E-001, 2.4026353E+001, 1.2818033E+000, 3.0000000E+000, 1.1777979E+003, 7.9938293E+002, 6.7198988E+002, 5.6497318E+002, 4.9723164E+002, 1.6525590E+002, 2.1491598E+002, 1.8692612E+002, 1.4084955E+002, 1.0646676E+002
 8.5000000E+000, 1.2112111E+003, 1.2321133E+003, 1.6418653E+000, 2.1932349E+002, 2.4703524E+002, 5.2597464E-001, 2.8712637E-002, 6.1845833E-002, 5.0559581E-002, 7.9572872E-002, 1.7694708E-001, 5.0559581E-002, 5.5180242E-001, 0.0000000E+000, 4.0000000E+000, 2.6879488E+001, 1.7577192E+001, 1.1009174E+001, 8.1877316E-001, 2.5151285E+001, 1.1341477E+000, 4.0000000E+000, 1.2185878E+003, 7.4649843E+002, 6.4098946E+002, 5.4991705E+002, 4.8785071E+002, 1.8067271E+002, 2.1046125E+002, 1.8153669E+002, 1.3826403E+002, 1.0555065E+002
