s,kg/m2/s,kW/m2,kW/m2,C,C
Time,MLRPUA,HEAT_FLUX,MLRPUA_ideal,T_SURF_MEAN,T_SURF_MAX
 0.0000000E+000, 0.0000000E+000, 1.9999990E+001, 1.6539992E-002, 2.5000000E+001, 2.5000000E+001
 2.0031407E+000, 1.0972836E-003, 2.1937746E+001, 1.8142516E-002, 3.7940183E+001, 3.8705812E+001
 4.0011039E+000, 7.0240062E-003, 3.0669534E+001, 2.5363705E-002, 5.7389665E+001, 6.3058077E+001
 6.0005889E+000, 2.0754963E-002, 4.1248737E+001, 3.4112706E-002, 6.4040683E+001, 6.5554072E+001
 8.0003989E+000, 2.7734815E-002, 4.4406541E+001, 3.6724209E-002, 6.4441042E+001, 6.5912206E+001
 1.0000233E+001, 2.9026351E-002, 4.4136491E+001, 3.6500878E-002, 6.4447771E+001, 6.5935586E+001
 1.2000696E+001, 2.9777381E-002, 4.3995549E+001, 3.6384319E-002, 6.4482294E+001, 6.5881927E+001
 1.4000088E+001, 3.0189747E-002, 4.3241773E+001, 3.5760946E-002, 6.4467310E+001, 6.5878641E+001
 1.6000549E+001, 3.1661465E-002, 4.4480117E+001, 3.6785057E-002, 6.4492749E+001, 6.5859097E+001
 1.8000877E+001, 3.2464817E-002, 4.4092454E+001, 3.6464459E-002, 6.4482193E+001, 6.5864976E+001
 2.0000675E+001, 3.3152059E-002, 4.4030886E+001, 3.6413543E-002, 6.4470407E+001, 6.5853674E+001
 2.2000811E+001, 3.3052691E-002, 4.3663234E+001, 3.6109494E-002, 6.4481471E+001, 6.5733436E+001
 2.4000689E+001, 3.3623419E-002, 4.4046745E+001, 3.6426658E-002, 6.4480584E+001, 6.5817071E+001
 2.6001056E+001, 2.2721835E-002, 2.9202547E+001, 2.4150506E-002, 6.3861112E+001, 6.5798460E+001
 2.8001123E+001, 1.5764952E-002, 2.1074597E+001, 1.7428692E-002, 6.2837329E+001, 6.5509292E+001
 3.0000176E+001, 1.6730071E-002, 2.2514305E+001, 1.8619330E-002, 6.2973074E+001, 6.5703530E+001
 3.2000873E+001, 1.6802966E-002, 2.2554630E+001, 1.8652679E-002, 6.3059182E+001, 6.5528043E+001
 3.4000913E+001, 1.6309487E-002, 2.1708138E+001, 1.7952630E-002, 6.2923472E+001, 6.5639389E+001
 3.6000916E+001, 1.5733680E-002, 2.1034929E+001, 1.7395886E-002, 6.2786873E+001, 6.5505169E+001
 3.8000285E+001, 1.6702145E-002, 2.2198656E+001, 1.8358289E-002, 6.2934709E+001, 6.5687423E+001
 4.0001369E+001, 1.6021924E-002, 2.1367721E+001, 1.7671106E-002, 6.2736953E+001, 6.5554899E+001
 4.2001144E+001, 1.6186184E-002, 2.1403383E+001, 1.7700597E-002, 6.2839663E+001, 6.5628723E+001
 4.4000471E+001, 1.6504025E-002, 2.1850565E+001, 1.8070417E-002, 6.2872646E+001, 6.5582988E+001
 4.6001759E+001, 1.6678340E-002, 2.1954648E+001, 1.8156494E-002, 6.2900302E+001, 6.5641803E+001
 4.8000158E+001, 1.7295492E-002, 2.2703900E+001, 1.8776125E-002, 6.2995354E+001, 6.5653168E+001
 5.0001656E+001, 1.6851384E-002, 2.2031599E+001, 1.8220132E-002, 6.2925405E+001, 6.5601853E+001
 5.2001549E+001, 1.7654476E-002, 2.3074049E+001, 1.9082238E-002, 6.3086595E+001, 6.5689609E+001
 5.4001207E+001, 1.7578994E-002, 2.2791169E+001, 1.8848297E-002, 6.3079255E+001, 6.5626393E+001
 5.6000993E+001, 1.7392897E-002, 2.2631562E+001, 1.8716301E-002, 6.2980092E+001, 6.5653980E+001
 5.8000703E+001, 1.7897012E-002, 2.3100791E+001, 1.9104354E-002, 6.3076714E+001, 6.5614336E+001
 6.0001610E+001, 1.7710260E-002, 2.2830437E+001, 1.8880771E-002, 6.3076863E+001, 6.5610291E+001
 6.2000046E+001, 1.6676418E-002, 2.1572612E+001, 1.7840550E-002, 6.2897812E+001, 6.5565506E+001
 6.4001030E+001, 1.7561641E-002, 2.2620104E+001, 1.8706826E-002, 6.3064118E+001, 6.5614849E+001
 6.6001078E+001, 1.7821537E-002, 2.2879686E+001, 1.8921500E-002, 6.3046051E+001, 6.5654325E+001
 6.8000544E+001, 1.7655414E-002, 2.2714906E+001, 1.8785227E-002, 6.3064012E+001, 6.5609647E+001
 7.0000518E+001, 1.7309819E-002, 2.2130414E+001, 1.8301853E-002, 6.2961616E+001, 6.5588671E+001
 7.2000127E+001, 1.7767570E-002, 2.2780778E+001, 1.8839703E-002, 6.3089875E+001, 6.5608790E+001
 7.4000175E+001, 1.8915836E-002, 2.4146013E+001, 1.9968753E-002, 6.3237909E+001, 6.5659891E+001
 7.6000820E+001, 1.7238356E-002, 2.1907492E+001, 1.8117496E-002, 6.3038547E+001, 6.5582421E+001
 7.8001499E+001, 1.8130378E-002, 2.3100549E+001, 1.9104154E-002, 6.3125998E+001, 6.5628727E+001
 8.0001318E+001, 1.8103709E-002, 2.3040695E+001, 1.9054655E-002, 6.3137275E+001, 6.5630355E+001
 8.2001562E+001, 1.7942882E-002, 2.2716275E+001, 1.8786359E-002, 6.3059557E+001, 6.5603339E+001
 8.4000368E+001, 1.7912765E-002, 2.2742115E+001, 1.8807729E-002, 6.3043994E+001, 6.5641466E+001
