cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot,z_rad,HF_vert,r_rad,HF_hori
 2.5000000E-001, 7.4996172E+002, 7.5326094E+002, 1.9804573E-001, 2.3786198E+002, 2.4841554E+002, 1.6361697E-001, 4.5561990E-003, 2.6975494E-002, 3.5397449E-002, 4.4472488E-001, 9.2969494E-002, 3.7241070E-002, 3.5627336E-001, 4.6715211E-002, 1.0537454E-003, 0.0000000E+000, 1.1452127E-001, 1.8275667E+001, 3.6051549E+000
 1.2550505E+000, 8.7923137E+002, 8.8628814E+002, 3.3395189E-001, 2.3613654E+002, 2.5106114E+002, 1.7274977E-001, 8.0398721E-003, 3.1391704E-002, 4.0179200E-002, 3.4787263E-001, 1.0715431E-001, 4.2271319E-002, 4.2097741E-001, 5.1256449E-002, 1.1561688E-003, 3.8888889E+000, 1.0119257E-001, 2.2506950E+001, 2.3845907E+000
 2.2601010E+000, 9.7258623E+002, 9.8319496E+002, 4.5086438E-001, 2.4130901E+002, 2.5877239E+002, 1.8900873E-001, 1.1336269E-002, 3.4857526E-002, 4.2474722E-002, 2.7942478E-001, 1.1673549E-001, 4.4685166E-002, 4.6825179E-001, 5.2761584E-002, 1.1900901E-003, 7.7777778E+000, 1.1549316E-001, 2.6739865E+001, 1.7121645E+000
 3.2651515E+000, 1.0375045E+003, 1.0509620E+003, 5.9763140E-001, 2.4058497E+002, 2.5995267E+002, 2.1706433E-001, 1.4586683E-002, 3.7578886E-002, 4.2791725E-002, 2.3296385E-001, 1.2267918E-001, 4.5016895E-002, 5.0213193E-001, 5.2220023E-002, 1.1778325E-003, 1.1666667E+001, 1.5580648E-001, 3.0973743E+001, 1.2932728E+000
 4.2702020E+000, 1.0836602E+003, 1.0994083E+003, 7.6809155E-001, 2.4074236E+002, 2.6155314E+002, 2.6224204E-001, 1.7411651E-002, 3.9742910E-002, 4.2400542E-002, 1.9939447E-001, 1.2672078E-001, 4.4603566E-002, 5.2749591E-001, 5.1050049E-002, 1.1514004E-003, 1.5555556E+001, 1.8456469E-001, 3.5208237E+001, 9.7171255E-001
 5.2752525E+000, 1.1185649E+003, 1.1361183E+003, 9.5057088E-001, 2.3836663E+002, 2.6012363E+002, 3.1713531E-001, 1.9850780E-002, 4.1534073E-002, 4.1536992E-002, 1.7492294E-001, 1.2948951E-001, 4.3693276E-002, 5.4678776E-001, 4.9515988E-002, 1.1167566E-003, 1.9444444E+001, 1.7909942E-001, 3.9443149E+001, 7.7662919E-001
 6.2803030E+000, 1.1450834E+003, 1.1638950E+003, 1.1372721E+000, 2.3363254E+002, 2.5623882E+002, 3.7614883E-001, 2.2102995E-002, 4.2990063E-002, 4.0491853E-002, 1.5615706E-001, 1.3137738E-001, 4.2592081E-002, 5.6215896E-001, 4.7890019E-002, 1.0800430E-003, 2.3333333E+001, 1.5538176E-001, 4.3678356E+001, 6.5108308E-001
 7.2853535E+000, 1.1631361E+003, 1.1826964E+003, 1.3239384E+000, 2.2972237E+002, 2.5329832E+002, 4.3480702E-001, 2.4581757E-002, 4.4137508E-002, 3.9235039E-002, 1.4105329E-001, 1.3241400E-001, 4.1268294E-002, 5.7524670E-001, 4.6099538E-002, 1.0396211E-003, 2.7222222E+001, 1.3592797E-001, 4.7913781E+001, 5.5141259E-001
 8.2904040E+000, 1.1759536E+003, 1.1959078E+003, 1.5064937E+000, 2.2622945E+002, 2.5075601E+002, 4.9358302E-001, 2.7350070E-002, 4.4925679E-002, 3.7986997E-002, 1.2829587E-001, 1.3273335E-001, 3.9953998E-002, 5.8675634E-001, 4.4376363E-002, 1.0007236E-003, 3.1111111E+001, 1.2954338E-001, 5.2149371E+001, 4.5689529E-001
 9.2954545E+000, 1.1845887E+003, 1.2046899E+003, 1.6819496E+000, 2.2543409E+002, 2.5115456E+002, 5.5162942E-001, 3.0245718E-002, 4.5524758E-002, 3.6682995E-002, 1.1731898E-001, 1.3260983E-001, 3.8580934E-002, 5.9710773E-001, 4.2638804E-002, 9.6150432E-004, 3.5000000E+001, 1.3400902E-001, 5.6385088E+001, 3.9388290E-001
 1.0300505E+001, 1.1883799E+003, 1.2082252E+003, 1.8491571E+000, 2.2665302E+002, 2.5385385E+002, 6.0608195E-001, 3.3569974E-002, 4.5842330E-002, 3.5318234E-002, 1.0769295E-001, 1.3185555E-001, 3.7144117E-002, 6.0671965E-001, 4.0873495E-002, 9.2166301E-004, 3.8888889E+001, 1.3835964E-001, 6.0620905E+001, 3.4180545E-001
 1.1305556E+001, 1.1885332E+003, 1.2078363E+003, 2.0047222E+000, 2.3174097E+002, 2.6094332E+002, 6.6011917E-001, 3.7038598E-002, 4.6017659E-002, 3.3918452E-002, 9.9124584E-002, 1.3077659E-001, 3.5670539E-002, 6.1567005E-001, 3.9097893E-002, 8.8159143E-004, 4.2777778E+001, 1.4730725E-001, 6.4856804E+001, 2.9023386E-001
