cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot,z_rad,HF_vert,r_rad,HF_hori
 1.0000000E+000, 9.0721929E+002, 9.1958496E+002, 2.9259213E-001, 4.9782763E+001, 7.0378443E+001, 1.1091770E-001, 4.7074166E-003, 4.7757635E-002, 8.1207102E-002, 1.7654828E-001, 1.3935749E-001, 6.4079512E-002, 4.8132954E-001, 7.8936142E-002, 2.0894311E-003, 0.0000000E+000, 1.3330078E-001, 1.8275667E+001, 4.2325233E+000
 3.0000000E+000, 9.5128745E+002, 9.6641786E+002, 6.1307929E-001, 5.4867396E+001, 7.9830954E+001, 1.2982218E-001, 4.7064377E-003, 4.9539002E-002, 8.3787180E-002, 1.4893025E-001, 1.4419225E-001, 6.6115245E-002, 4.9755325E-001, 8.3079203E-002, 2.2009083E-003, 3.8888889E+000, 1.2410361E-001, 2.2506950E+001, 2.9658661E+000
 5.0000000E+000, 9.9463417E+002, 1.0142957E+003, 9.8858428E-001, 5.9927454E+001, 9.1442996E+001, 1.6304654E-001, 5.1602626E-003, 5.1613684E-002, 8.5094302E-002, 1.2311048E-001, 1.4847084E-001, 6.7145820E-002, 5.1412729E-001, 8.5875116E-002, 2.2838420E-003, 7.7777778E+000, 1.3646930E-001, 2.6739865E+001, 2.0536296E+000
 7.0000000E+000, 1.0306378E+003, 1.0551105E+003, 1.3628132E+000, 6.2123992E+001, 9.9567384E+001, 2.0301050E-001, 6.6286426E-003, 5.3886707E-002, 8.4170606E-002, 1.0200316E-001, 1.5128869E-001, 6.6415091E-002, 5.3034317E-001, 8.6010228E-002, 2.3067354E-003, 1.1666667E+001, 1.5842313E-001, 3.0973743E+001, 1.5816883E+000
 9.0000000E+000, 1.0306378E+003, 1.0551105E+003, 1.3628132E+000, 6.2123992E+001, 9.9567384E+001, 2.0301050E-001, 6.6286426E-003, 5.3886707E-002, 8.4170606E-002, 1.0200316E-001, 1.5128869E-001, 6.6415091E-002, 5.3034317E-001, 8.6010228E-002, 2.3067354E-003, 1.5555556E+001, 1.7281526E-001, 3.5208237E+001, 1.2387928E+000
 1.1000000E+001, 1.0797474E+003, 1.1116940E+003, 2.0365946E+000, 6.1173541E+001, 1.1084319E+002, 2.8869903E-001, 1.2403173E-002, 5.8622579E-002, 7.7104577E-002, 7.0851812E-002, 1.5309041E-001, 6.0833533E-002, 5.6212848E-001, 7.9834081E-002, 2.2044279E-003, 1.9444444E+001, 1.7368730E-001, 3.9443149E+001, 1.0235630E+000
 1.3000000E+001, 1.0949538E+003, 1.1292534E+003, 2.3257596E+000, 6.0435479E+001, 1.1639347E+002, 3.3732263E-001, 1.6743099E-002, 6.0487828E-002, 7.2189771E-002, 5.9409277E-002, 1.5213086E-001, 5.6952197E-002, 5.7735132E-001, 7.4964710E-002, 2.1081290E-003, 2.3333333E+001, 1.6555129E-001, 4.3678356E+001, 8.5536735E-001
 1.5000000E+001, 1.1057757E+003, 1.1413664E+003, 2.5828507E+000, 5.9870817E+001, 1.2358841E+002, 3.8916686E-001, 2.1943852E-002, 6.1787986E-002, 6.7000050E-002, 4.9887701E-002, 1.5008991E-001, 5.2854196E-002, 5.9195370E-001, 6.9695423E-002, 1.9983334E-003, 2.7222222E+001, 1.5586287E-001, 4.7913781E+001, 7.2194994E-001
 1.7000000E+001, 1.1057757E+003, 1.1413664E+003, 2.5828507E+000, 5.9870817E+001, 1.2358841E+002, 3.8916686E-001, 2.1943852E-002, 6.1787986E-002, 6.7000050E-002, 4.9887701E-002, 1.5008991E-001, 5.2854196E-002, 5.9195370E-001, 6.9695423E-002, 1.9983334E-003, 3.1111111E+001, 1.4937735E-001, 5.2149371E+001, 5.4815951E-001
 1.9000000E+001, 1.1154205E+003, 1.1503345E+003, 3.0058757E+000, 6.4905233E+001, 1.4696068E+002, 4.9453780E-001, 3.4071084E-002, 6.2880958E-002, 5.6581957E-002, 3.5208784E-002, 1.4366930E-001, 4.4628673E-002, 6.1900816E-001, 5.8937310E-002, 1.7622838E-003, 3.5000000E+001, 1.4702450E-001, 5.6385088E+001, 4.7261141E-001
 2.1000000E+001, 1.1155146E+003, 1.1484528E+003, 3.1737160E+000, 7.2125497E+001, 1.6399094E+002, 5.5260206E-001, 4.0734707E-002, 6.2742891E-002, 5.1604974E-002, 2.9476673E-002, 1.3959346E-001, 4.0699571E-002, 6.3146083E-001, 5.3761002E-002, 1.6438047E-003, 3.8888889E+001, 1.4702450E-001, 6.0620905E+001, 4.1029089E-001
 2.3000000E+001, 1.1155146E+003, 1.1484528E+003, 3.1737160E+000, 7.2125497E+001, 1.6399094E+002, 5.5260206E-001, 4.0734707E-002, 6.2742891E-002, 5.1604974E-002, 2.9476673E-002, 1.3959346E-001, 4.0699571E-002, 6.3146083E-001, 5.3761002E-002, 1.6438047E-003, 4.2777778E+001, 1.4740206E-001, 6.4856804E+001, 3.5844026E-001
 2.5000000E+001, 1.1093190E+003, 1.1354114E+003, 3.4342147E+000, 8.8931224E+001, 2.0413335E+002, 6.8477234E-001, 5.4876817E-002, 6.1354997E-002, 4.2250999E-002, 2.0266003E-002, 1.3021185E-001, 3.3315778E-002, 6.5455075E-001, 4.3997949E-002, 1.4121926E-003, 4.6666667E+001, 1.4852119E-001, 6.9092768E+001, 2.7825083E-001
 2.7000000E+001, 1.1025578E+003, 1.1241613E+003, 3.5309491E+000, 9.7993404E+001, 2.2368849E+002, 7.5751466E-001, 6.2253560E-002, 6.0191556E-002, 3.7854249E-002, 1.6661167E-002, 1.2502244E-001, 2.9845431E-002, 6.6524837E-001, 3.9402043E-002, 1.2995167E-003, 5.0555556E+001, 1.4887041E-001, 7.3328788E+001, 2.2766503E-001
 2.9000000E+001, 1.0924843E+003, 1.1089268E+003, 3.6099898E+000, 1.0833838E+002, 2.4337205E+002, 8.2975308E-001, 6.9565485E-002, 5.8850020E-002, 3.3702425E-002, 1.3604133E-002, 1.1975154E-001, 2.6568563E-002, 6.7527406E-001, 3.5058647E-002, 1.1913285E-003, 5.4444444E+001, 1.4781836E-001, 7.7564853E+001, 2.0295854E-001
 3.1000000E+001, 1.0804643E+003, 1.0913962E+003, 3.6739676E+000, 1.1912660E+002, 2.6257750E+002, 8.9766267E-001, 7.6716751E-002, 5.7398410E-002, 2.9785025E-002, 1.1045267E-002, 1.1449452E-001, 2.3476840E-002, 6.8462824E-001, 3.0954562E-002, 1.0877813E-003, 5.8333333E+001, 1.4550276E-001, 8.1800956E+001, 1.8169008E-001
