cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 1.8340909E+001, 1.0976415E+003, 1.1072944E+003, 2.5856435E+000, 1.2238384E+002, 2.2322510E+002, 7.4599053E-001, 3.9546004E-002, 5.5577579E-002, 3.3883461E-002, 3.2646440E-002, 1.3172840E-001, 2.9985552E-002, 6.6229365E-001, 3.5346690E-002, 5.8190864E-003
 1.9345960E+001, 1.0981312E+003, 1.1060577E+003, 2.6792661E+000, 1.2487217E+002, 2.3150264E+002, 7.8595754E-001, 4.2999073E-002, 5.5383515E-002, 3.2458087E-002, 3.0091625E-002, 1.2929719E-001, 2.8719026E-002, 6.6724685E-001, 3.3873098E-002, 5.6033332E-003
 2.0351010E+001, 1.0974761E+003, 1.1033468E+003, 2.7653628E+000, 1.2776311E+002, 2.4037607E+002, 8.2589053E-001, 4.6512056E-002, 5.5112978E-002, 3.1055047E-002, 2.7729339E-002, 1.2679465E-001, 2.7472536E-002, 6.7204725E-001, 3.2419067E-002, 5.3893969E-003
 2.1356061E+001, 1.0959110E+003, 1.0995884E+003, 2.8453013E+000, 1.3121393E+002, 2.4935868E+002, 8.6585025E-001, 5.0068974E-002, 5.4791529E-002, 2.9658410E-002, 2.5548604E-002, 1.2423148E-001, 2.6231861E-002, 6.7672075E-001, 3.0968189E-002, 5.1752058E-003
 2.2361111E+001, 1.0933198E+003, 1.0947093E+003, 2.9173295E+000, 1.3505143E+002, 2.5822497E+002, 9.0799138E-001, 5.3669924E-002, 5.4409796E-002, 2.8279190E-002, 2.3536532E-002, 1.2161174E-001, 2.5006813E-002, 6.8126088E-001, 2.9532907E-002, 4.9624358E-003
 2.3366162E+001, 1.0899763E+003, 1.0890715E+003, 2.9840756E+000, 1.3891838E+002, 2.6668617E+002, 9.4737732E-001, 5.7271835E-002, 5.4003171E-002, 2.6906474E-002, 2.1682306E-002, 1.1896721E-001, 2.3787605E-002, 6.8567792E-001, 2.8100988E-002, 4.7497658E-003
 2.4371212E+001, 1.0857290E+003, 1.0824961E+003, 3.0439702E+000, 1.4329489E+002, 2.7510153E+002, 9.8551360E-001, 6.0889816E-002, 5.3553863E-002, 2.5552135E-002, 1.9967756E-002, 1.1629178E-001, 2.2584836E-002, 6.8997257E-001, 2.6686725E-002, 4.5390579E-003
 2.5376263E+001, 1.0803381E+003, 1.0747999E+003, 3.0975385E+000, 1.4789655E+002, 2.8303563E+002, 1.0236366E+000, 6.4551224E-002, 5.3045096E-002, 2.4217756E-002, 1.8395702E-002, 1.1356488E-001, 2.1399952E-002, 6.9414890E-001, 2.5292047E-002, 4.3303831E-003
 2.6381313E+001, 1.0735055E+003, 1.0656151E+003, 3.1444664E+000, 1.5299761E+002, 2.9064603E+002, 1.0619210E+000, 6.8301678E-002, 5.2447702E-002, 2.2909414E-002, 1.6951762E-002, 1.1075594E-001, 2.0238424E-002, 6.9822258E-001, 2.3925153E-002, 4.1245753E-003
 2.7386364E+001, 1.0655803E+003, 1.0552839E+003, 3.1858203E+000, 1.5849743E+002, 2.9808782E+002, 1.1010799E+000, 7.2022203E-002, 5.1782286E-002, 2.1672881E-002, 1.5630585E-002, 1.0796305E-001, 1.9140891E-002, 7.0209518E-001, 2.2634789E-002, 3.9289967E-003
