cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,cm,kW/m2,cm,kW/m2
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot,z_rad,HF_vert,r_rad,HF_hori
 5.0000000E-001, 5.5605652E+002, 5.4601966E+002, 9.8857649E-002, 4.6546764E+001, 5.2001681E+001, 6.3578796E-002, 4.0811272E-003, 2.5184532E-002, 5.5134981E-002, 5.3922649E-001, 6.1123010E-002, 3.4448517E-002, 2.6698552E-001, 3.6213250E-002, 3.8911077E-003, 0.0000000E+000, 2.2953049E-001, 1.8275667E+001, 5.8732341E+000
 1.5000000E+000, 6.7163858E+002, 6.6621359E+002, 2.0780686E-001, 6.7145528E+001, 7.9341076E+001, 9.9545728E-002, 5.3739112E-003, 3.3855867E-002, 7.3242953E-002, 3.8530366E-001, 8.1608131E-002, 4.5762265E-002, 3.5649934E-001, 5.4523373E-002, 5.8586973E-003, 3.8888889E+000, 2.0768851E-001, 2.2506950E+001, 4.1963465E+000
 2.5000000E+000, 7.4664483E+002, 7.4320490E+002, 3.0151198E-001, 1.0657105E+002, 1.2673726E+002, 1.4314378E-001, 6.3587991E-003, 3.8442839E-002, 8.0972135E-002, 3.1129149E-001, 9.1271860E-002, 5.0591028E-002, 4.0077984E-001, 6.4421190E-002, 6.9227673E-003, 7.7777778E+000, 2.1520181E-001, 2.6739865E+001, 3.1378157E+000
 3.5000000E+000, 8.0799390E+002, 8.0710065E+002, 4.0236453E-001, 1.3554099E+002, 1.6231680E+002, 1.7541610E-001, 7.7425779E-003, 4.2021160E-002, 8.4969808E-002, 2.6033317E-001, 9.7528265E-002, 5.3088031E-002, 4.3302099E-001, 7.0798172E-002, 7.6089241E-003, 1.1666667E+001, 2.5958889E-001, 3.0973743E+001, 2.4367932E+000
 4.5000000E+000, 8.6101650E+002, 8.6232723E+002, 5.3682905E-001, 1.4746051E+002, 1.7891983E+002, 2.0634792E-001, 9.3663615E-003, 4.5321103E-002, 8.7033480E-002, 2.1944221E-001, 1.0227077E-001, 5.4376404E-002, 4.6037355E-001, 7.5248098E-002, 8.0883328E-003, 1.5555556E+001, 3.0219877E-001, 3.5208237E+001, 1.8905530E+000
 5.5000000E+000, 9.0736755E+002, 9.1095260E+002, 6.9829513E-001, 1.5478842E+002, 1.9053695E+002, 2.3658422E-001, 1.1173087E-002, 4.8542382E-002, 8.7317663E-002, 1.8674485E-001, 1.0580213E-001, 5.4552629E-002, 4.8397598E-001, 7.7616882E-002, 8.3445464E-003, 1.9444444E+001, 3.0712712E-001, 3.9443149E+001, 1.5325752E+000
 6.5000000E+000, 9.4584672E+002, 9.5153408E+002, 8.7133987E-001, 1.5888200E+002, 1.9905256E+002, 2.6984978E-001, 1.3413872E-002, 5.1435285E-002, 8.6243907E-002, 1.6078318E-001, 1.0813916E-001, 5.3880283E-002, 5.0447779E-001, 7.8253455E-002, 8.4147933E-003, 2.3333333E+001, 2.8448568E-001, 4.3678356E+001, 1.2982311E+000
 7.5000000E+000, 9.7756833E+002, 9.8515968E+002, 1.0482043E+000, 1.6033614E+002, 2.0431400E+002, 3.0644918E-001, 1.5994056E-002, 5.3853774E-002, 8.4388335E-002, 1.4028239E-001, 1.0949684E-001, 5.2719507E-002, 5.2209939E-001, 7.7793286E-002, 8.3671206E-003, 2.7222222E+001, 2.6099508E-001, 4.7913781E+001, 1.1094568E+000
 8.5000000E+000, 1.0013697E+003, 1.0102846E+003, 1.2214788E+000, 1.5881256E+002, 2.0627825E+002, 3.4617742E-001, 1.8808822E-002, 5.5871565E-002, 8.2039136E-002, 1.2384534E-001, 1.1013251E-001, 5.1250388E-002, 5.3747124E-001, 7.6565359E-002, 8.2368595E-003, 3.1111111E+001, 2.5098964E-001, 5.2149371E+001, 9.2676450E-001
 9.5000000E+000, 1.0201906E+003, 1.0296915E+003, 1.3880525E+000, 1.5727500E+002, 2.0967462E+002, 3.8589119E-001, 2.1785772E-002, 5.7530119E-002, 7.9458748E-002, 1.1027041E-001, 1.1025460E-001, 4.9636930E-002, 5.5112541E-001, 7.4886739E-002, 8.0580416E-003, 3.5000000E+001, 2.5482830E-001, 5.6385088E+001, 8.0467743E-001
 1.0500000E+001, 1.0354750E+003, 1.0452241E+003, 1.5449943E+000, 1.5571704E+002, 2.1300021E+002, 4.2821649E-001, 2.5008014E-002, 5.8889170E-002, 7.6638851E-002, 9.8779088E-002, 1.0992094E-001, 4.7873909E-002, 5.6365526E-001, 7.2798667E-002, 7.8351253E-003, 3.8888889E+001, 2.5995537E-001, 6.0620905E+001, 7.0288900E-001
 1.1500000E+001, 1.0480131E+003, 1.0576473E+003, 1.6909029E+000, 1.5519205E+002, 2.1766027E+002, 4.7269043E-001, 2.8502441E-002, 5.9973947E-002, 7.3592894E-002, 8.9000697E-002, 1.0916658E-001, 4.5969719E-002, 5.7531906E-001, 7.0345111E-002, 7.5728376E-003, 4.2777778E+001, 2.7147066E-001, 6.4856804E+001, 5.9905027E-001
 1.2500000E+001, 1.0566758E+003, 1.0657488E+003, 1.8263819E+000, 1.5505865E+002, 2.2272657E+002, 5.1585707E-001, 3.2208172E-002, 6.0704326E-002, 7.0576655E-002, 8.0567143E-002, 1.0807087E-001, 4.4084255E-002, 5.8606704E-001, 6.7832058E-002, 7.3039538E-003, 4.6666667E+001, 2.7883701E-001, 6.9092768E+001, 4.9790258E-001
 1.3500000E+001, 1.0617314E+003, 1.0695677E+003, 1.9509574E+000, 1.5625787E+002, 2.2955158E+002, 5.5824221E-001, 3.5932950E-002, 6.1157587E-002, 6.7725879E-002, 7.3203618E-002, 1.0679591E-001, 4.2302326E-002, 5.9587232E-001, 6.5412696E-002, 7.0449489E-003, 5.0555556E+001, 2.7886706E-001, 7.3328788E+001, 4.3048314E-001
 1.4500000E+001, 1.0652228E+003, 1.0713512E+003, 2.0661198E+000, 1.5847269E+002, 2.3809853E+002, 6.0051458E-001, 3.9548198E-002, 6.1470810E-002, 6.5023873E-002, 6.6638794E-002, 1.0546948E-001, 4.0613439E-002, 6.0490110E-001, 6.3086673E-002, 6.7958617E-003, 5.4444444E+001, 2.7314915E-001, 7.7564853E+001, 3.8400868E-001
