cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 6.9863967E+002, 6.9851161E+002, 3.0670018E-003, 1.1884075E+002, 1.3954375E+002, 2.1924480E-004, 1.5482196E-003, 4.4553997E-002, 5.2454417E-002, 1.9858167E-001, 1.3358762E-001, 4.1140719E-002, 5.1784818E-001, 3.8231193E-003
 1.2550505E+000, 8.6658677E+002, 8.7682093E+002,-9.2815418E-003, 1.0143346E+002, 1.2807461E+002, 8.3274247E-002, 2.7276707E-003, 4.9803079E-002, 5.5465566E-002, 1.2413647E-001, 1.4495413E-001, 4.3502404E-002, 5.6853508E-001, 4.2316422E-003
 2.2601010E+000, 9.6267328E+002, 9.8054200E+002, 1.0763766E-001, 1.1917552E+002, 1.5415503E+002, 1.1100928E-001, 3.7360244E-003, 5.3072512E-002, 5.5052692E-002, 9.4324582E-002, 1.4886773E-001, 4.3178582E-002, 5.9097323E-001, 4.2692781E-003
 3.2651515E+000, 1.0305927E+003, 1.0554077E+003, 2.9054249E-001, 1.3135309E+002, 1.7261477E+002, 1.3735447E-001, 5.4126549E-003, 5.5606956E-002, 5.3544047E-002, 7.6217173E-002, 1.5027181E-001, 4.1995331E-002, 6.0645320E-001, 4.1865473E-003
 4.2702020E+000, 1.0824375E+003, 1.1132345E+003, 5.0006541E-001, 1.3801080E+002, 1.8447264E+002, 1.7301205E-001, 7.5946897E-003, 5.7878433E-002, 5.1299872E-002, 6.3706403E-002, 1.5030721E-001, 4.0235194E-002, 6.1891940E-001, 4.0287068E-003
 5.2752525E+000, 1.1209135E+003, 1.1561792E+003, 7.1908559E-001, 1.3749173E+002, 1.8771255E+002, 2.1438970E-001, 1.0400973E-002, 5.9605082E-002, 4.8872573E-002, 5.4344528E-002, 1.4935682E-001, 3.8331430E-002, 6.2950574E-001, 3.8484429E-003
 6.2803030E+000, 1.1491812E+003, 1.1873552E+003, 9.3912041E-001, 1.3339918E+002, 1.8749783E+002, 2.6189741E-001, 1.3807365E-002, 6.0843689E-002, 4.6358686E-002, 4.7003163E-002, 1.4763153E-001, 3.6359754E-002, 6.3890588E-001, 3.6566527E-003
 7.2853535E+000, 1.1697383E+003, 1.2093953E+003, 1.1558221E+000, 1.2860191E+002, 1.8798945E+002, 3.1366301E-001, 1.7589446E-002, 6.1686152E-002, 4.3867472E-002, 4.1108562E-002, 1.4540389E-001, 3.4405860E-002, 6.4733716E-001, 3.4637628E-003
 8.2904040E+000, 1.1853018E+003, 1.2252421E+003, 1.3639005E+000, 1.2550618E+002, 1.9266960E+002, 3.6846310E-001, 2.1490491E-002, 6.2239616E-002, 4.1490824E-002, 3.6245337E-002, 1.4294258E-001, 3.2541823E-002, 6.5491387E-001, 3.2783653E-003
 9.2954545E+000, 1.1965853E+003, 1.2360839E+003, 1.5611955E+000, 1.2463381E+002, 1.9984239E+002, 4.2467150E-001, 2.5372932E-002, 6.2579399E-002, 3.9257335E-002, 3.2197595E-002, 1.4038743E-001, 3.0790066E-002, 6.6171773E-001, 3.1033032E-003
 1.0300505E+001, 1.2046736E+003, 1.2433231E+003, 1.7460644E+000, 1.2596509E+002, 2.0854548E+002, 4.8009788E-001, 2.9179606E-002, 6.2732286E-002, 3.7199878E-002, 2.8750647E-002, 1.3781945E-001, 2.9176375E-002, 6.6784766E-001, 2.9415721E-003
 1.1305556E+001, 1.2104655E+003, 1.2480087E+003, 1.9182688E+000, 1.2918073E+002, 2.1843290E+002, 5.3472529E-001, 3.2955523E-002, 6.2756519E-002, 3.5246224E-002, 2.5750660E-002, 1.3521899E-001, 2.7644097E-002, 6.7351696E-001, 2.7874647E-003
 1.2310606E+001, 1.2143239E+003, 1.2505917E+003, 2.0764213E+000, 1.3409833E+002, 2.2922295E+002, 5.9061227E-001, 3.6770866E-002, 6.2724342E-002, 3.3282903E-002, 2.3124599E-002, 1.3252885E-001, 2.6104238E-002, 6.7893814E-001, 2.6320740E-003
 1.3315657E+001, 1.2157952E+003, 1.2505874E+003, 2.2224261E+000, 1.3991619E+002, 2.3974388E+002, 6.4451185E-001, 4.0690763E-002, 6.2567300E-002, 3.1354253E-002, 2.0805926E-002, 1.2971825E-001, 2.4591571E-002, 6.8412405E-001, 2.4792948E-003
 1.4320707E+001, 1.2152408E+003, 1.2482137E+003, 2.3560022E+000, 1.4585747E+002, 2.5039435E+002, 6.9631489E-001, 4.4763543E-002, 6.2267505E-002, 2.9459098E-002, 1.8727282E-002, 1.2676206E-001, 2.3105175E-002, 6.8913905E-001, 2.3290135E-003
 1.5325758E+001, 1.2120558E+003, 1.2427519E+003, 2.4783116E+000, 1.5183196E+002, 2.6104807E+002, 7.4390248E-001, 4.8886941E-002, 6.1803841E-002, 2.7683157E-002, 1.6890358E-002, 1.2374823E-001, 2.1712280E-002, 6.9384712E-001, 2.1882561E-003
 1.6330808E+001, 1.2076935E+003, 1.2359610E+003, 2.5879670E+000, 1.5797634E+002, 2.7184811E+002, 7.9180659E-001, 5.3051807E-002, 6.1231561E-002, 2.5981906E-002, 1.5209634E-002, 1.2069036E-001, 2.0377965E-002, 6.9836227E-001, 2.0535578E-003
 1.7335859E+001, 1.2019606E+003, 1.2274493E+003, 2.6871000E+000, 1.6419837E+002, 2.8270812E+002, 8.4061428E-001, 5.7252476E-002, 6.0572416E-002, 2.4333672E-002, 1.3693615E-002, 1.1758802E-001, 1.9085233E-002, 7.0270326E-001, 1.9229271E-003
 1.8340909E+001, 1.1947234E+003, 1.2169722E+003, 2.7751834E+000, 1.7047755E+002, 2.9375293E+002, 8.9100331E-001, 6.1523341E-002, 5.9832899E-002, 2.2711570E-002, 1.2331831E-002, 1.1441347E-001, 1.7812996E-002, 7.0692064E-001, 1.7943229E-003
