cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 4.0862245E+001, 1.1070328E+003, 8.9406377E-002, 4.1419481E-002, 1.7995333E-002, 1.4241922E-002, 1.0432538E-001, 1.7995333E-002, 7.1461617E-001, 0.0000000E+000
 4.2892857E+001, 1.0910219E+003, 9.5144693E-002, 4.0338963E-002, 1.5952407E-002, 1.2082180E-002, 1.0014957E-001, 1.5952407E-002, 7.2037978E-001, 0.0000000E+000
 4.4923469E+001, 1.0724132E+003, 1.0102242E-001, 3.9066354E-002, 1.4069551E-002, 1.0198791E-002, 9.5748105E-002, 1.4069551E-002, 7.2582523E-001, 0.0000000E+000
 4.6954082E+001, 1.0515795E+003, 1.0696906E-001, 3.7626718E-002, 1.2361001E-002, 8.5675246E-003, 9.1185219E-002, 1.2361001E-002, 7.3092947E-001, 0.0000000E+000
 4.8984694E+001, 1.0291270E+003, 1.1283436E-001, 3.6087301E-002, 1.0829656E-002, 7.1767945E-003, 8.6598071E-002, 1.0829656E-002, 7.3564416E-001, 0.0000000E+000
 5.1015306E+001, 1.0056744E+003, 1.1855402E-001, 3.4506919E-002, 9.4366452E-003, 5.9763931E-003, 8.2065692E-002, 9.4366452E-003, 7.4002369E-001, 0.0000000E+000
 5.3045918E+001, 9.8129267E+002, 1.2400857E-001, 3.2922525E-002, 8.2102572E-003, 4.9553281E-003, 7.7689956E-002, 8.2102572E-003, 7.4400310E-001, 0.0000000E+000
 5.5076531E+001, 9.5712342E+002, 1.2912761E-001, 3.1383193E-002, 7.1283339E-003, 4.0821748E-003, 7.3546958E-002, 7.1283339E-003, 7.4760340E-001, 0.0000000E+000
 5.7107143E+001, 9.3299193E+002, 1.3393067E-001, 2.9902012E-002, 6.1612896E-003, 3.3259875E-003, 6.9633583E-002, 6.1612896E-003, 7.5088517E-001, 0.0000000E+000
 5.9137755E+001, 9.0881683E+002, 1.3849051E-001, 2.8457086E-002, 5.2940247E-003, 2.6726575E-003, 6.5891197E-002, 5.2940247E-003, 7.5390050E-001, 0.0000000E+000
 6.1168367E+001, 8.8520293E+002, 1.4274203E-001, 2.7080915E-002, 4.5213070E-003, 2.1255963E-003, 6.2379468E-002, 4.5213070E-003, 7.5662938E-001, 0.0000000E+000
 6.3198980E+001, 8.6203069E+002, 1.4672214E-001, 2.5771540E-002, 3.8225195E-003, 1.6689495E-003, 5.9074090E-002, 3.8225195E-003, 7.5911824E-001, 0.0000000E+000
 6.5229592E+001, 8.3912765E+002, 1.5040741E-001, 2.4525073E-002, 3.2184712E-003, 1.3146122E-003, 5.5987902E-002, 3.2184712E-003, 7.6132806E-001, 0.0000000E+000
 6.7260204E+001, 8.1691722E+002, 1.5376575E-001, 2.3361536E-002, 2.7043191E-003, 1.0373767E-003, 5.3156166E-002, 2.7043191E-003, 7.6327054E-001, 0.0000000E+000
 6.9290816E+001, 7.9569373E+002, 1.5682042E-001, 2.2274152E-002, 2.2773081E-003, 8.1633984E-004, 5.0562699E-002, 2.2773081E-003, 7.6497178E-001, 0.0000000E+000
 7.1321429E+001, 7.7475831E+002, 1.5964370E-001, 2.1246097E-002, 1.9141255E-003, 6.4182791E-004, 4.8150819E-002, 1.9141255E-003, 7.6648931E-001, 0.0000000E+000
 7.3352041E+001, 7.5396401E+002, 1.6229939E-001, 2.0259250E-002, 1.5994870E-003, 5.0391488E-004, 4.5869229E-002, 1.5994870E-003, 7.6786924E-001, 0.0000000E+000
 7.5382653E+001, 7.3358504E+002, 1.6481480E-001, 1.9305324E-002, 1.3282651E-003, 3.9437693E-004, 4.3696326E-002, 1.3282651E-003, 7.6913265E-001, 0.0000000E+000
 7.7413265E+001, 7.1419772E+002, 1.6712925E-001, 1.8417552E-002, 1.0927321E-003, 3.0466145E-004, 4.1690817E-002, 1.0927321E-003, 7.7027225E-001, 0.0000000E+000
 7.9443878E+001, 6.9573900E+002, 1.6928341E-001, 1.7581967E-002, 8.8682102E-004, 2.2909899E-004, 3.9818821E-002, 8.8682102E-004, 7.7131306E-001, 0.0000000E+000
 8.1474490E+001, 6.7820161E+002, 1.7127755E-001, 1.6800359E-002, 7.0761986E-004, 1.6718756E-004, 3.8081022E-002, 7.0761986E-004, 7.7225864E-001, 0.0000000E+000
 8.3505102E+001, 6.6133957E+002, 1.7313867E-001, 1.6060251E-002, 5.5506188E-004, 1.2215124E-004, 3.6452439E-002, 5.5506188E-004, 7.7311637E-001, 0.0000000E+000
 8.5535714E+001, 6.4540487E+002, 1.7486395E-001, 1.5359167E-002, 4.3537269E-004, 9.1302614E-005, 3.4934315E-002, 4.3537269E-004, 7.7388052E-001, 0.0000000E+000
 8.7566327E+001, 6.2930176E+002, 1.7653871E-001, 1.4666118E-002, 3.3765452E-004, 6.8112066E-005, 3.3454001E-002, 3.3765452E-004, 7.7459775E-001, 0.0000000E+000
 8.9596939E+001, 6.1396493E+002, 1.7810407E-001, 1.4008419E-002, 2.6111941E-004, 5.0809968E-005, 3.2065251E-002, 2.6111941E-004, 7.7524921E-001, 0.0000000E+000
 9.1627551E+001, 5.9941866E+002, 1.7957730E-001, 1.3381376E-002, 2.0113824E-004, 3.7849175E-005, 3.0754105E-002, 2.0113824E-004, 7.7584709E-001, 0.0000000E+000
 9.3658163E+001, 5.8615651E+002, 1.8088064E-001, 1.2822008E-002, 1.5497086E-004, 2.8526909E-005, 2.9591743E-002, 1.5497086E-004, 7.7636714E-001, 0.0000000E+000
 9.5688776E+001, 5.7400870E+002, 1.8207812E-001, 1.2303371E-002, 1.1963239E-004, 2.1638769E-005, 2.8521421E-002, 1.1963239E-004, 7.7683618E-001, 0.0000000E+000
 9.7719388E+001, 5.6319851E+002, 1.8313413E-001, 1.1843138E-002, 9.2783774E-005, 1.6600244E-005, 2.7576101E-002, 9.2783774E-005, 7.7724446E-001, 0.0000000E+000
 9.9750000E+001, 5.5264420E+002, 1.8415849E-001, 1.1394373E-002, 7.0244172E-005, 1.2485747E-005, 2.6657945E-002, 7.0244172E-005, 7.7763622E-001, 0.0000000E+000
